"AddressOriginal","AddressNew","Geometry"
"新北市板橋區華江一路５８２號八樓","新北市板橋區溪頭里華江一路582號","POINT (121.4657521336795 25.032836811563339)"
"新北市板橋區華江一路５６６號四樓","新北市板橋區溪頭里華江一路566號","POINT (121.4658276016788 25.033321149314471)"
"新北市板橋區華江一路５６６號十樓","新北市板橋區溪頭里華江一路566號","POINT (121.4658276016788 25.033321149314471)"
"新北市板橋區華江一路５６６號十九樓","新北市板橋區溪頭里華江一路566號","POINT (121.4658276016788 25.033321149314471)"
"新北市土城區中央路四段２７９巷２８號十二樓","新北市土城區頂新里中央路四段279巷28號","POINT (121.4121843478957 24.952759771596)"
"新北市板橋區漢生西路１６９之２號十六樓","新北市板橋區文德里漢生西路169之2號","POINT (121.4631624005488 25.023728891473521)"
"新北市板橋區民生路三段３２３號九樓之９","新北市板橋區宏翠里民生路三段323號","POINT (121.4632476089576 25.031315122309351)"
"新北市土城區青雲路３５０之１號十樓","新北市土城區清和里青雲路350之1號","POINT (121.4580959021242 24.974515974176619)"
"新北市土城區青雲路３５０之１號三樓","新北市土城區清和里青雲路350之1號","POINT (121.4580959021242 24.974515974176619)"
"新北市土城區青雲路３５０之７號六樓","新北市土城區清和里青雲路350之7號","POINT (121.457953959669 24.974589305515131)"
"新北市土城區青雲路３５０之７號十一樓","新北市土城區清和里青雲路350之7號","POINT (121.457953959669 24.974589305515131)"
"新北市土城區青雲路３５２之１號十四樓","新北市土城區清和里青雲路352之1號","POINT (121.458583420461 24.97427263837001)"
"新北市土城區青雲路３５２之６號十三樓","新北市土城區清和里青雲路352之6號","POINT (121.45832421174249 24.97436133633407)"
"新北市土城區青雲路３５２之６號十四樓","新北市土城區清和里青雲路352之6號","POINT (121.45832421174249 24.97436133633407)"
"新北市土城區青雲路３５２之５號十三樓","新北市土城區清和里青雲路352之5號","POINT (121.4583139121515 24.9742695261609)"
"新北市樹林區俊英街１１６巷４１弄３３號四樓","新北市樹林區圳安里俊英街116巷41弄33號","POINT (121.428152302361 25.007124565380931)"
"新北市永和區文化路１３５巷３２弄７號三樓","新北市永和區文化里文化路135巷32弄7號","POINT (121.5105909162296 25.014007820011209)"
"新北市樹林區大義路２４２號三樓","新北市樹林區柑園里大義路242號","POINT (121.3783913126391 24.945973374537161)"
"新北市鶯歌區鶯桃路３９３號五樓","新北市鶯歌區鳳祥里鶯桃路393號","POINT (121.3332458721034 24.963874507458911)"
"新北市鶯歌區鶯桃路１８２巷９６弄１６號五樓","新北市鶯歌區永昌里鶯桃路182巷96弄16號","POINT (121.3396880934009 24.957163446313931)"
"新北市樹林區中正路２７號十樓","新北市樹林區圳福里中正路27號","POINT (121.42709206532879 24.999459931572709)"
"新北市樹林區龍興街５６號四樓","新北市樹林區三興里龍興街56號","POINT (121.403118198854 25.015285316609969)"
"新北市蘆洲區民族路３１４巷１１之１號七樓","新北市蘆洲區復興里民族路314巷11之1號","POINT (121.4778490291766 25.090547807054481)"
"新北市三重區溪尾街４２之６號三樓","新北市三重區福隆里溪尾街42之6號","POINT (121.4906296380734 25.07699904483021)"
"新北市蘆洲區長安街２２巷３９弄１９號三樓","新北市蘆洲區九芎里長安街22巷39弄19號","POINT (121.4643302116975 25.080870917588229)"
"新北市蘆洲區環堤大道２８號十二樓","新北市蘆洲區永康里環堤大道28號","POINT (121.4566330426623 25.083550930279671)"
"新北市三重區三賢街２６號二樓","新北市三重區富貴里三賢街26號","POINT (121.4897287381398 25.08848790361769)"
"新北市蘆洲區長安街６８巷８弄５號五樓","新北市蘆洲區九芎里長安街68巷8弄5號","POINT (121.4633504116066 25.08024657329797)"
"新北市中和區中正路７９７號二十一樓之二","新北市中和區平河里中正路797號","POINT (121.4847325791981 25.000466087354329)"
"新北市永和區秀朗路二段１２６巷２０號五樓","新北市永和區秀林里秀朗路二段126巷20號","POINT (121.5245142424005 25.001133242619868)"
"新北市中和區景平路２６８號十八樓","新北市中和區秀明里景平路268號","POINT (121.51440256558909 24.992573234853211)"
"新北市中和區景新街４６７巷２０弄１１０號四樓","新北市中和區景南里景新街467巷20弄110號","POINT (121.5147556183358 24.986786043548321)"
"新北市中和區中山路三段８４巷１弄２號","新北市中和區員山里中山路三段84巷1弄2號","POINT (121.47766702556361 25.0062082629927)"
