"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"10008010","南投市","八卦路1647巷","八卦路1665巷"
"10008010","南投市","八卦路1665巷","八卦路1647巷"
"10008010","南投市","八卦路1447巷28弄","八卦路1447巷10弄"
"10008010","南投市","八卦路1447巷","八卦路"
"10008010","南投市","八卦路1447巷","八卦路1410巷"
"10008010","南投市","八卦路1447巷","八卦路1447巷10弄"
"10008010","南投市","八卦路1447巷","八卦路1447巷28弄"
"10008010","南投市","猴探井街146巷","猴探井街"
"10008010","南投市","猴探井街","八卦路353巷12弄"
"10008010","南投市","猴探井街","八德路"
"10008010","南投市","猴探井街","猴探井街145巷"
"10008010","南投市","猴探井街","猴探井街17巷"
"10008010","南投市","猴探井街","猴探井街1巷"
"10008010","南投市","猴探井街145巷","猴探井街"
"10008010","南投市","八卦路1447巷10弄","八卦路1447巷"
"10008010","南投市","八卦路1507巷","八卦路"
"10008010","南投市","八卦路1507巷","八卦路1503巷"
"10008010","南投市","八卦路","八卦路1030巷"
"10008010","南投市","八卦路","八卦路1066巷"
"10008010","南投市","八卦路","八卦路109巷"
"10008010","南投市","八卦路","八卦路1100巷"
"10008010","南投市","八卦路","八卦路1116巷"
"10008010","南投市","八卦路","八卦路1146巷"
"10008010","南投市","八卦路","八卦路1165巷"
"10008010","南投市","八卦路","八卦路1207巷"
"10008010","南投市","八卦路","八卦路1260巷"
"10008010","南投市","八卦路","八卦路1274巷"
"10008010","南投市","八卦路","八卦路1275巷"
"10008010","南投市","八卦路","八卦路12巷"
"10008010","南投市","八卦路","八卦路1308巷"
"10008010","南投市","八卦路","八卦路1381巷"
"10008010","南投市","八卦路","八卦路1410巷"
"10008010","南投市","八卦路","八卦路1440巷"
"10008010","南投市","八卦路","八卦路1447巷"
"10008010","南投市","八卦路","八卦路1453巷"
"10008010","南投市","八卦路","八卦路1503巷"
"10008010","南投市","八卦路","八卦路1507巷"
"10008010","南投市","八卦路","八卦路1556巷"
"10008010","南投市","八卦路","八卦路169巷"
"10008010","南投市","八卦路","八卦路223巷"
"10008010","南投市","八卦路","八卦路253巷"
"10008010","南投市","八卦路","八卦路26巷"
"10008010","南投市","八卦路","八卦路31巷"
"10008010","南投市","八卦路","八卦路340巷"
