"TOWNCODE","TOWNNAME","RoadList","IntersectionList","IntersectionRoadName","Geometry"
"10008010","南投市","八卦路1647巷","八卦路1665巷","10008010 八卦路1647巷與八卦路1665巷交叉口","POINT (120.62961413098742 23.956102338851906)"
"10008010","南投市","八卦路1665巷","八卦路1647巷","10008010 八卦路1665巷與八卦路1647巷交叉口","POINT (120.62961413098742 23.956102338851906)"
"10008010","南投市","八卦路1447巷28弄","八卦路1447巷10弄","10008010 八卦路1447巷28弄與八卦路1447巷10弄交叉口","POINT (120.63334202411522 23.946494199747576)"
"10008010","南投市","八卦路1447巷","八卦路","10008010 八卦路1447巷與八卦路交叉口","POINT (120.63558803236185 23.946120629463508)"
"10008010","南投市","八卦路1447巷","八卦路1410巷","10008010 八卦路1447巷與八卦路1410巷交叉口","POINT (120.63558803236185 23.946120629463508)"
"10008010","南投市","八卦路1447巷","八卦路1447巷10弄","10008010 八卦路1447巷與八卦路1447巷10弄交叉口","POINT (120.63489809497116 23.946348543750332)"
"10008010","南投市","八卦路1447巷","八卦路1447巷28弄","10008010 八卦路1447巷與八卦路1447巷28弄交叉口","POINT (120.6334085937317 23.94627970604364)"
"10008010","南投市","猴探井街146巷","猴探井街","10008010 猴探井街146巷與猴探井街交叉口","POINT (120.63399539327281 23.909105614132841)"
"10008010","南投市","猴探井街","八卦路353巷12弄","10008010 猴探井街與八卦路353巷12弄交叉口","POINT (120.63779219335515 23.908892093495353)"
"10008010","南投市","猴探井街","八德路","10008010 猴探井街與八德路交叉口","POINT (120.63694010999814 23.908887104955966)"
"10008010","南投市","猴探井街","猴探井街145巷","10008010 猴探井街與猴探井街145巷交叉口","POINT (120.63402760698853 23.909058822406791)"
"10008010","南投市","猴探井街","猴探井街17巷","10008010 猴探井街與猴探井街17巷交叉口","POINT (120.63736992927886 23.908871231921864)"
"10008010","南投市","猴探井街","猴探井街1巷","10008010 猴探井街與猴探井街1巷交叉口","POINT (120.63827858628781 23.908983452924076)"
"10008010","南投市","猴探井街145巷","猴探井街","10008010 猴探井街145巷與猴探井街交叉口","POINT (120.63402760698853 23.909058822406791)"
"10008010","南投市","八卦路1447巷10弄","八卦路1447巷","10008010 八卦路1447巷10弄與八卦路1447巷交叉口","POINT (120.63489809497116 23.946348543750332)"
"10008010","南投市","八卦路1507巷","八卦路","10008010 八卦路1507巷與八卦路交叉口","POINT (120.63534900874981 23.952018078571541)"
"10008010","南投市","八卦路1507巷","八卦路1503巷","10008010 八卦路1507巷與八卦路1503巷交叉口","POINT (120.63494843362332 23.951843381666777)"
"10008010","南投市","八卦路","八卦路1030巷","10008010 八卦路與八卦路1030巷交叉口","POINT (120.63864967804022 23.931100192220129)"
"10008010","南投市","八卦路","八卦路1066巷","10008010 八卦路與八卦路1066巷交叉口","POINT (120.63826532758287 23.932219238427137)"
"10008010","南投市","八卦路","八卦路109巷","10008010 八卦路與八卦路109巷交叉口","POINT (120.63827286300227 23.895201446889303)"
"10008010","南投市","八卦路","八卦路1100巷","10008010 八卦路與八卦路1100巷交叉口","POINT (120.63784349248329 23.933847331489233)"
"10008010","南投市","八卦路","八卦路1116巷","10008010 八卦路與八卦路1116巷交叉口","POINT (120.63802578236403 23.934466433778937)"
"10008010","南投市","八卦路","八卦路1146巷","10008010 八卦路與八卦路1146巷交叉口","POINT (120.63812051335106 23.935597173870519)"
"10008010","南投市","八卦路","八卦路1165巷","10008010 八卦路與八卦路1165巷交叉口","POINT (120.63793526110351 23.937462778784266)"
"10008010","南投市","八卦路","八卦路1207巷","10008010 八卦路與八卦路1207巷交叉口","POINT (120.63775753438279 23.938981634794686)"
"10008010","南投市","八卦路","八卦路1260巷","10008010 八卦路與八卦路1260巷交叉口","POINT (120.63762086081408 23.939668435350086)"
