"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"10020010","東區","北新路","文化路"
"10020010","東區","北新路","北新路159巷"
"10020010","東區","北新路","北新路250巷"
"10020010","東區","北新路","北新路250巷5弄"
"10020010","東區","北新路","北新路253巷"
"10020010","東區","北新路250巷","北新路250巷5弄"
"10020010","東區","北新路253巷","北新路"
"10020010","東區","北新路159巷","北新路"
"10020010","東區","北新路1巷","北新路"
"10020010","東區","文化路","中山路"
"10020010","東區","文化路","中正路"
"10020010","東區","文化路","文化路193巷"
"10020010","東區","文化路","文化路53巷"
"10020010","東區","文化路","文化路7巷"
"10020010","東區","文化路","文化路936巷"
"10020010","東區","文化路","文化路988巷"
"10020010","東區","文化路","北榮街"
"10020010","東區","文化路","民族路"
"10020010","東區","文化路","民權路"
"10020010","東區","文化路","民權路332巷"
"10020010","東區","文化路","光彩街"
"10020010","東區","文化路","光華路"
"10020010","東區","文化路","林森西路"
"10020010","東區","文化路","長榮街"
"10020010","東區","文化路","垂楊路"
"10020010","東區","文化路","興中街85巷"
"10020010","東區","文化路988巷","文化路"
"10020010","東區","文化路936巷11弄","文化路936巷"
"10020010","東區","仁德街","惠安街31巷"
"10020010","東區","忠孝路798巷","忠孝路"
"10020010","東區","文化路769巷","文化路"
"10020010","東區","忠孝北街","成功三街"
"10020010","東區","忠孝北街","忠孝北街113巷"
"10020010","東區","忠孝北街","忠孝北街141巷"
"10020010","東區","忠孝北街","忠孝北街202巷"
"10020010","東區","忠孝北街","忠孝北街33巷"
"10020010","東區","忠孝北街","忠孝路"
"10020010","東區","忠孝路798巷7弄","忠孝路798巷"
"10020010","東區","忠孝路798巷15弄","忠孝路798巷"
"10020010","東區","忠孝路798巷27弄","忠孝路798巷"
"10020010","東區","忠孝北街202巷","忠孝北街"
"10020010","東區","忠孝北街202巷","忠孝北街202巷1弄"
"10020010","東區","忠孝北街202巷","忠孝路798巷"
"10020010","東區","忠孝北街202巷","忠孝路798巷27弄"
"10020010","東區","工業街","台林街"
"10020010","東區","工業街","忠孝路"
"10020010","東區","工業街","保忠一街100巷"
"10020010","東區","工業街","保忠一街120巷"
"10020010","東區","工業街","保忠三街62巷"
"10020010","東區","保忠一街","忠孝路"
"10020010","東區","保忠一街","保忠一街100巷"
"10020010","東區","保忠一街","保忠一街120巷"
"10020010","東區","保忠一街","保忠一街68巷"
"10020010","東區","保忠一街","保忠二街"
"10020010","東區","保忠一街","保忠三街62巷"
"10020010","東區","保忠一街","保順路"
"10020010","東區","忠孝北街152巷","忠孝北街"
"10020010","東區","忠孝北街152巷","忠孝北街141巷"
"10020010","東區","忠孝北街141巷1弄","忠孝北街141巷"
"10020010","東區","忠孝北街141巷1弄","忠孝北街141巷2弄"
