"TOWNCODE","TOWNNAME","RoadList","IntersectionList","IntersectionRoadName","Geometry"
"10020010","東區","博東路","維新路","10020010 博東路與維新路交叉口","POINT (120.45647267027755 23.490479943994274)"
"10020010","東區","吳鳳南路18巷","崇文街111巷","10020010 吳鳳南路18巷與崇文街111巷交叉口","POINT (120.4533575320246 23.471606111432948)"
"10020010","東區","吳鳳南路18巷","崇文街119巷","10020010 吳鳳南路18巷與崇文街119巷交叉口","POINT (120.4533575320246 23.471606111432948)"
"10020010","東區","崇文街111巷","吳鳳南路18巷","10020010 崇文街111巷與吳鳳南路18巷交叉口","POINT (120.4533575320246 23.471606111432948)"
"10020010","東區","崇文街111巷","崇文街119巷","10020010 崇文街111巷與崇文街119巷交叉口","POINT (120.4533575320246 23.471606111432948)"
"10020010","東區","崇文街119巷","崇文街111巷","10020010 崇文街119巷與崇文街111巷交叉口","POINT (120.4533575320246 23.471606111432948)"
"10020010","東區","義教街706巷31弄","義教街706巷","10020010 義教街706巷31弄與義教街706巷交叉口","POINT (120.45327763535465 23.499271681243158)"
"10020010","東區","義教街706巷21弄","義教街706巷","10020010 義教街706巷21弄與義教街706巷交叉口","POINT (120.45339492763389 23.499068538782069)"
"10020010","東區","吳鳳北路36巷","吳鳳北路","10020010 吳鳳北路36巷與吳鳳北路交叉口","POINT (120.4536932858166 23.475305754157262)"
"10020010","東區","共和路243巷","忠孝路","10020010 共和路243巷與忠孝路交叉口","POINT (120.45368787099847 23.487147879371207)"
"10020010","東區","垂楊路","市宅街22巷","10020010 垂楊路與市宅街22巷交叉口","POINT (120.46011933933608 23.47471512620217)"
"10020010","東區","垂楊路","市宅街40巷","10020010 垂楊路與市宅街40巷交叉口","POINT (120.45896886002493 23.474604214612839)"
"10020010","東區","垂楊路","民國路","10020010 垂楊路與民國路交叉口","POINT (120.46096807631568 23.474905903884405)"
"10020010","東區","垂楊路","共和路","10020010 垂楊路與共和路交叉口","POINT (120.45612079793659 23.474478171030796)"
"10020010","東區","垂楊路","吳鳳北路","10020010 垂楊路與吳鳳北路交叉口","POINT (120.45380824705308 23.474271139001928)"
"10020010","東區","垂楊路","和平路","10020010 垂楊路與和平路交叉口","POINT (120.45779623850569 23.474617029052695)"
"10020010","東區","垂楊路","垂楊路211巷","10020010 垂楊路與垂楊路211巷交叉口","POINT (120.4556579510537 23.474286367222135)"
"10020010","東區","垂楊路","垂楊路227巷","10020010 垂楊路與垂楊路227巷交叉口","POINT (120.45432005572604 23.474160226513277)"
"10020010","東區","垂楊路","宣信街472巷","10020010 垂楊路與宣信街472巷交叉口","POINT (120.45710161025113 23.474416116011014)"
"10020010","東區","吳鳳南路","世賢路四段","10020010 吳鳳南路與世賢路四段交叉口","POINT (120.45465996798316 23.466148759957377)"
"10020010","東區","吳鳳南路","立仁路","10020010 吳鳳南路與立仁路交叉口","POINT (120.456416145189 23.462240130077987)"
"10020010","東區","吳鳳南路","吳鳳北路","10020010 吳鳳南路與吳鳳北路交叉口","POINT (120.45382367222476 23.47411333406319)"
"10020010","東區","吳鳳南路","吳鳳南路17巷","10020010 吳鳳南路與吳鳳南路17巷交叉口","POINT (120.45401855261423 23.473337189459755)"
