"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"10010010","太保市","祥和三路西段","祥和三路東段"
"10010010","太保市","祥和三路東段","太保二路"
"10010010","太保市","祥和三路東段","太保三路"
"10010010","太保市","祥和三路東段","太保五路"
"10010010","太保市","祥和三路東段","文化南街"
"10010010","太保市","祥和三路東段","祥和三路東段205巷"
"10010010","太保市","祥和三路東段","祥和三路東段85巷"
"10010010","太保市","祥和三路東段","棒球三街"
"10010010","太保市","祥和三路東段","學府路一段"
"10010010","太保市","學府路一段","太保二路"
"10010010","太保市","學府路一段","祥和三路東段"
"10010010","太保市","學府路一段","學府路二段"
"10010010","太保市","學府路二段","學府路一段"
"10010010","太保市","太子大道","嘉朴東路一段"
"10010010","太保市","太子大道","嘉朴路西段"
"10010010","太保市","嘉朴東路一段","太子大道"
"10010010","太保市","嘉朴東路一段","太保二路"
"10010010","太保市","嘉朴東路一段","博愛路"
"10010010","太保市","嘉朴東路一段","嘉朴路西段"
"10010010","太保市","太保一路","太保二路2巷"
"10010010","太保市","太保一路","祥和三路東段"
"10010010","太保市","太保一路","棒球二街"
"10010010","太保市","太保一路","棒球三街"
"10010010","太保市","棒球三街","太保一路"
"10010010","太保市","棒球二街","太保一路"
"10010010","太保市","棒球二街","文昌街"
"10010010","太保市","棒球一街","太保一路"
"10010010","太保市","棒球一街","太保二路"
"10010010","太保市","棒球一街","文昌街"
"10010010","太保市","棒球一街","縣府三街"
"10010010","太保市","棒球一街","縣府五街"
"10010010","太保市","祥和二路西段","太保一路"
"10010010","太保市","祥和二路西段","祥和二路東段"
"10010010","太保市","祥和二路東段","太保一路"
"10010010","太保市","祥和二路東段","太保二路"
"10010010","太保市","祥和二路東段","太保三路"
"10010010","太保市","祥和二路東段","太保五路"
"10010010","太保市","祥和二路東段","文化北街"
"10010010","太保市","祥和一路西段","太保一路"
"10010010","太保市","祥和一路西段","祥和一路東段"
"10010010","太保市","祥和一路東段","公園北街"
"10010010","太保市","祥和一路東段","太保一路"
"10010010","太保市","祥和一路東段","太保二路"
"10010010","太保市","祥和一路東段","太保三路"
"10010010","太保市","祥和一路東段","太保五路"
"10010010","太保市","祥和一路東段","祥和一路東段25巷"
"10010010","太保市","文昌街","祥和三路東段"
"10010010","太保市","文昌街","棒球二街"
"10010010","太保市","文昌街","棒球三街"
"10010010","太保市","健康路183巷3弄","太子大道"
"10010010","太保市","健康路183巷3弄","健康路183巷"
"10010010","太保市","健康路183巷3弄","健康路183巷1弄"
"10010010","太保市","健康路183巷5弄","太子大道"
"10010010","太保市","健康路183巷5弄","健康路183巷"
"10010010","太保市","健康路183巷5弄","健康路183巷3弄"
"10010010","太保市","健康路183巷5弄","健康路183巷8弄"
"10010010","太保市","故宮大道","太子大道"
"10010010","太保市","故宮大道","保鐵一路三段"
"10010010","太保市","故宮大道","故宮東路"
"10010010","太保市","故宮大道","高鐵大道"
"10010010","太保市","故宮大道","博學路"
"10010010","太保市","縣府六街","太保三路"
"10010010","太保市","縣府六街","太保五路"
"10010010","太保市","縣府六街","文化南街"
"10010010","太保市","縣府六街","學府路一段"
"10010010","太保市","太保二路2巷","太保二路"
"10010010","太保市","太保二路69巷","太保二路"
"10010010","太保市","太保二路69巷","太保二路2巷"
"10010010","太保市","縣府五街","太保三路"
"10010010","太保市","縣府五街","太保五路"
"10010010","太保市","縣府五街","文化南街"
"10010010","太保市","縣府五街","祥和三路東段205巷"
"10010010","太保市","縣府五街","祥和三路東段85巷"
"10010010","太保市","縣府五街","縣府三街"
"10010010","太保市","縣府五街","縣府五街45巷"
"10010010","太保市","健康路","健康路183巷"
"10010010","太保市","健康路","博愛路"
"10010010","太保市","健康路","博學路"
"10010010","太保市","健康路183巷1弄","健康路183巷"
"10010010","太保市","健康路183巷2弄","健康路183巷"
"10010010","太保市","健康路183巷2弄","健康路183巷1弄"
"10010010","太保市","故宮東路","故宮大道"
"10010010","太保市","故宮東路","故宮北路"
"10010010","太保市","健康路183巷","故宮大道"
"10010010","太保市","健康路183巷","健康路183巷10弄"
"10010010","太保市","健康路183巷","健康路183巷3弄"
"10010010","太保市","健康路183巷","健康路183巷6弄"
"10010010","太保市","健康路183巷6弄","健康路183巷"
"10010010","太保市","健康路183巷6弄","健康路183巷3弄"
"10010010","太保市","健康路183巷8弄","健康路183巷"
"10010010","太保市","健康路183巷10弄","健康路183巷"
"10010010","太保市","太保二路","嘉朴東路一段"
"10010010","太保市","博愛路","太保二路"
"10010010","太保市","博愛路","信義一路"
"10010010","太保市","博愛路","信義二路"
"10010010","太保市","博愛路","健康路"
"10010010","太保市","博愛路","嘉朴東路一段"
"10010010","太保市","縣府二街","太保三路"
"10010010","太保市","縣府二街","太保五路"
"10010010","太保市","縣府二街","文化北街"
"10010010","太保市","縣府二街","祥和一路東段25巷"
"10010010","太保市","祥和一路東段25巷","太保二路69巷"
