"TOWNCODE","TOWNNAME","RoadList","IntersectionList","IntersectionRoadName","Geometry"
"10010010","太保市","祥和三路西段","祥和三路東段","10010010 祥和三路西段與祥和三路東段交叉口","POINT (120.29053779278502 23.455066968365941)"
"10010010","太保市","祥和三路東段","太保二路","10010010 祥和三路東段與太保二路交叉口","POINT (120.29472046407818 23.454410983979756)"
"10010010","太保市","祥和三路東段","太保三路","10010010 祥和三路東段與太保三路交叉口","POINT (120.29599710748062 23.45418746198186)"
"10010010","太保市","祥和三路東段","太保五路","10010010 祥和三路東段與太保五路交叉口","POINT (120.29815583382469 23.453851224354594)"
"10010010","太保市","祥和三路東段","文化南街","10010010 祥和三路東段與文化南街交叉口","POINT (120.29719710616155 23.453999706920968)"
"10010010","太保市","祥和三路東段","祥和三路東段205巷","10010010 祥和三路東段與祥和三路東段205巷交叉口","POINT (120.29764407101709 23.453930468116653)"
"10010010","太保市","祥和三路東段","祥和三路東段85巷","10010010 祥和三路東段與祥和三路東段85巷交叉口","POINT (120.29537738825593 23.454285265052988)"
"10010010","太保市","祥和三路東段","棒球三街","10010010 祥和三路東段與棒球三街交叉口","POINT (120.29117504069563 23.454968631996792)"
"10010010","太保市","祥和三路東段","學府路一段","10010010 祥和三路東段與學府路一段交叉口","POINT (120.29472046407818 23.454410983979756)"
"10010010","太保市","學府路一段","太保二路","10010010 學府路一段與太保二路交叉口","POINT (120.29472046407818 23.454410983979756)"
"10010010","太保市","學府路一段","祥和三路東段","10010010 學府路一段與祥和三路東段交叉口","POINT (120.29472046407818 23.454410983979756)"
"10010010","太保市","學府路一段","學府路二段","10010010 學府路一段與學府路二段交叉口","POINT (120.29122709615365 23.450388089838498)"
"10010010","太保市","學府路二段","學府路一段","10010010 學府路二段與學府路一段交叉口","POINT (120.29122709615365 23.450388089838498)"
"10010010","太保市","太子大道","嘉朴東路一段","10010010 太子大道與嘉朴東路一段交叉口","POINT (120.2923717613478 23.46035224356126)"
"10010010","太保市","太子大道","嘉朴路西段","10010010 太子大道與嘉朴路西段交叉口","POINT (120.2923717613478 23.46035224356126)"
"10010010","太保市","嘉朴東路一段","太子大道","10010010 嘉朴東路一段與太子大道交叉口","POINT (120.2923717613478 23.46035224356126)"
"10010010","太保市","嘉朴東路一段","太保二路","10010010 嘉朴東路一段與太保二路交叉口","POINT (120.29578105525161 23.4598079549732)"
"10010010","太保市","嘉朴東路一段","博愛路","10010010 嘉朴東路一段與博愛路交叉口","POINT (120.29579761806565 23.4598969806612)"
"10010010","太保市","嘉朴東路一段","嘉朴路西段","10010010 嘉朴東路一段與嘉朴路西段交叉口","POINT (120.2923717613478 23.46035224356126)"
"10010010","太保市","太保一路","太保二路2巷","10010010 太保一路與太保二路2巷交叉口","POINT (120.29347585722508 23.458292850934356)"
"10010010","太保市","太保一路","祥和三路東段","10010010 太保一路與祥和三路東段交叉口","POINT (120.29279150642299 23.454711731661121)"
"10010010","太保市","太保一路","棒球二街","10010010 太保一路與棒球二街交叉口","POINT (120.29292937698926 23.455442661949348)"
"10010010","太保市","太保一路","棒球三街","10010010 太保一路與棒球三街交叉口","POINT (120.29267725385228 23.454109052790614)"
"10010010","太保市","棒球三街","太保一路","10010010 棒球三街與太保一路交叉口","POINT (120.29267725385228 23.454109052790614)"
"10010010","太保市","棒球二街","太保一路","10010010 棒球二街與太保一路交叉口","POINT (120.29292937698926 23.455442661949348)"
"10010010","太保市","棒球二街","文昌街","10010010 棒球二街與文昌街交叉口","POINT (120.29419861537383 23.455217406058466)"
"10010010","太保市","棒球一街","太保一路","10010010 棒球一街與太保一路交叉口","POINT (120.29305053635324 23.45608293967598)"
"10010010","太保市","棒球一街","太保二路","10010010 棒球一街與太保二路交叉口","POINT (120.29497721422706 23.455789402758796)"
"10010010","太保市","棒球一街","文昌街","10010010 棒球一街與文昌街交叉口","POINT (120.29432558705628 23.455889134875747)"
"10010010","太保市","棒球一街","縣府三街","10010010 棒球一街與縣府三街交叉口","POINT (120.29565842369732 23.455682939216331)"
"10010010","太保市","棒球一街","縣府五街","10010010 棒球一街與縣府五街交叉口","POINT (120.29565842369732 23.455682939216331)"
"10010010","太保市","祥和二路西段","太保一路","10010010 祥和二路西段與太保一路交叉口","POINT (120.29329510338641 23.457245022939503)"
"10010010","太保市","祥和二路西段","祥和二路東段","10010010 祥和二路西段與祥和二路東段交叉口","POINT (120.29329510338641 23.457245022939503)"
"10010010","太保市","祥和二路東段","太保一路","10010010 祥和二路東段與太保一路交叉口","POINT (120.29329510338641 23.457245022939503)"
