"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"10017030","暖暖區","八堵路","八堵路127巷"
"10017030","暖暖區","八堵路","八堵路169巷"
"10017030","暖暖區","八堵路","八堵路185巷"
"10017030","暖暖區","八堵路","八堵路49巷"
"10017030","暖暖區","八堵路","金華街"
"10017030","暖暖區","八堵路","國安路"
"10017030","暖暖區","八堵路","源遠路"
"10017030","暖暖區","八堵路","過港路"
"10017030","暖暖區","八堵路185巷","八堵路"
"10017030","暖暖區","東西向快速萬里瑞濱線","暖暖交流道"
"10017030","暖暖區","八堵路127巷","八堵路"
"10017030","暖暖區","源遠路","八堵路"
"10017030","暖暖區","源遠路","水源路"
"10017030","暖暖區","源遠路","水源路2巷"
"10017030","暖暖區","源遠路","暖暖街"
"10017030","暖暖區","源遠路","暖碇路"
"10017030","暖暖區","源遠路","源遠路102巷"
"10017030","暖暖區","源遠路","源遠路138巷"
"10017030","暖暖區","源遠路","源遠路152巷"
"10017030","暖暖區","源遠路","源遠路193巷"
"10017030","暖暖區","源遠路","源遠路199巷"
"10017030","暖暖區","源遠路","源遠路213巷"
"10017030","暖暖區","源遠路","源遠路226巷"
"10017030","暖暖區","源遠路","源遠路270巷"
"10017030","暖暖區","源遠路","源遠路292巷"
"10017030","暖暖區","源遠路","源遠路325巷"
"10017030","暖暖區","源遠路","源遠路89巷"
"10017030","暖暖區","源遠路","過港路"
"10017030","暖暖區","源遠路","碇內街"
"10017030","暖暖區","金華街","八堵路"
"10017030","暖暖區","八堵交流道","暖暖交流道"
"10017030","暖暖區","暖暖交流道","八堵交流道"
"10017030","暖暖區","暖暖交流道","水源路"
"10017030","暖暖區","暖暖交流道","東西向快速萬里瑞濱線"
"10017030","暖暖區","暖暖交流道","源遠路"
"10017030","暖暖區","過港路","八堵路"
"10017030","暖暖區","過港路","尚仁街"
"10017030","暖暖區","過港路","暖中路"
"10017030","暖暖區","過港路","源遠路"
"10017030","暖暖區","過港路","寧靜街"
"10017030","暖暖區","過港路","興隆街"
"10017030","暖暖區","水源路","水源路2巷"
"10017030","暖暖區","水源路","水源路36巷"
"10017030","暖暖區","水源路","東勢街"
"10017030","暖暖區","水源路","暖暖交流道"
"10017030","暖暖區","水源路","源遠路"
"10017030","暖暖區","水源路36巷","水源路"
"10017030","暖暖區","尚仁街","過港路"
"10017030","暖暖區","水源路1巷","水源路"
"10017030","暖暖區","水源路2巷","水源路"
"10017030","暖暖區","暖暖街281巷","東勢街"
"10017030","暖暖區","暖暖街281巷","暖暖街"
"10017030","暖暖區","暖暖街281巷","暖暖街197巷"
"10017030","暖暖區","暖暖街281巷","暖暖街245巷"
"10017030","暖暖區","國安路30巷","國安路"
"10017030","暖暖區","暖暖街","東勢街"
"10017030","暖暖區","暖暖街","暖暖街196巷"
"10017030","暖暖區","暖暖街","暖暖街197巷"
"10017030","暖暖區","暖暖街","暖暖街245巷"
"10017030","暖暖區","暖暖街","暖暖街246巷"
"10017030","暖暖區","暖暖街","暖暖街335巷"
"10017030","暖暖區","暖暖街","暖暖街530巷"
"10017030","暖暖區","暖暖街","暖暖街610巷"
"10017030","暖暖區","暖暖街","源遠路"
"10017030","暖暖區","暖暖街","過港路"
"10017030","暖暖區","暖暖街246巷","暖暖街196巷"
"10017030","暖暖區","暖暖街246巷","暖暖街245巷"
"10017030","暖暖區","暖暖街196巷","暖暖街197巷"
"10017030","暖暖區","暖暖街196巷","暖暖街246巷"
"10017030","暖暖區","暖暖街335巷","暖暖街"
"10017030","暖暖區","國安路","八堵路"
"10017030","暖暖區","暖暖街379巷","暖暖街"
"10017030","暖暖區","暖暖街379巷","暖暖街335巷"
"10017030","暖暖區","東勢街","東勢坑產業道路"
"10017030","暖暖區","東勢街","東勢街26巷"
"10017030","暖暖區","東勢街","暖暖街"
"10017030","暖暖區","東勢街","暖暖街246巷"
"10017030","暖暖區","東勢街","暖暖街281巷"
"10017030","暖暖區","八堵路2巷","八堵路"
"10017030","暖暖區","暖暖街530巷","暖暖街530巷84弄"
"10017030","暖暖區","暖暖街530巷","暖暖街570巷"
"10017030","暖暖區","暖暖街530巷","暖暖街610巷"
"10017030","暖暖區","暖暖街530巷","暖興產業道路"
"10017030","暖暖區","暖暖街530巷84弄","暖暖街530巷"
"10017030","暖暖區","暖暖街570巷","暖暖街"
"10017030","暖暖區","暖暖街570巷","暖暖街530巷"
"10017030","暖暖區","暖暖街570巷","暖興產業道路"
"10017030","暖暖區","寧靜街","暖中路"
"10017030","暖暖區","寧靜街","過港路"
"10017030","暖暖區","寧靜街","寧靜街60巷"
"10017030","暖暖區","南榮路","八堵路"
"10017030","暖暖區","東勢街26巷71弄","東勢街26巷"
"10017030","暖暖區","暖暖街610巷","暖暖街530巷"
"10017030","暖暖區","東勢街26巷","東勢街"
"10017030","暖暖區","東碇路","東勢街"
