"TOWNCODE","TOWNNAME","RoadList","IntersectionList","IntersectionRoadName","Geometry"
"10002030","蘇澳鎮","南澳平交道","蘇花公路","10002030 南澳平交道與蘇花公路交叉口","POINT (121.78903632396725 24.463303120442731)"
"10002030","蘇澳鎮","蘇花公路","南澳平交道","10002030 蘇花公路與南澳平交道交叉口","POINT (121.78903632396725 24.463303120442731)"
"10002030","蘇澳鎮","蘇花公路","蘇花路二段","10002030 蘇花公路與蘇花路二段交叉口","POINT (121.79136344566655 24.46188075359396)"
"10002030","蘇澳鎮","蘇花公路","蘇港路","10002030 蘇花公路與蘇港路交叉口","POINT (121.84606777940451 24.594231056318222)"
"10002030","蘇澳鎮","蘇花路二段","南強路","10002030 蘇花路二段與南強路交叉口","POINT (121.79332521418735 24.462445097063608)"
"10002030","蘇澳鎮","蘇花路二段","蘇花公路","10002030 蘇花路二段與蘇花公路交叉口","POINT (121.79136344566655 24.46188075359396)"
"10002030","蘇澳鎮","蘇花路二段","蘇花路二段148巷","10002030 蘇花路二段與蘇花路二段148巷交叉口","POINT (121.79642368170755 24.463372366441604)"
"10002030","蘇澳鎮","蘇花路二段","蘇花路二段33巷","10002030 蘇花路二段與蘇花路二段33巷交叉口","POINT (121.78929172693177 24.461138358748315)"
"10002030","蘇澳鎮","蘇花路二段","蘇花路三段","10002030 蘇花路二段與蘇花路三段交叉口","POINT (121.82355369085019 24.48254222074695)"
"10002030","蘇澳鎮","蘇花路二段148巷","蘇花路二段","10002030 蘇花路二段148巷與蘇花路二段交叉口","POINT (121.79642368170755 24.463372366441604)"
"10002030","蘇澳鎮","南澳南路","南強路","10002030 南澳南路與南強路交叉口","POINT (121.79888446154871 24.45849140215654)"
"10002030","蘇澳鎮","南澳南路","海岸路","10002030 南澳南路與海岸路交叉口","POINT (121.79979148718746 24.448513440243119)"
"10002030","蘇澳鎮","海岸路","南澳南路","10002030 海岸路與南澳南路交叉口","POINT (121.79979148718746 24.448513440243119)"
"10002030","蘇澳鎮","大通路","蘇花路二段326巷","10002030 大通路與蘇花路二段326巷交叉口","POINT (121.80131674816948 24.463474180489072)"
"10002030","蘇澳鎮","蘇花路二段322巷","大通路","10002030 蘇花路二段322巷與大通路交叉口","POINT (121.80131674816948 24.463474180489072)"
"10002030","蘇澳鎮","蘇花路二段322巷","蘇花路二段326巷","10002030 蘇花路二段322巷與蘇花路二段326巷交叉口","POINT (121.80131674816948 24.463474180489072)"
"10002030","蘇澳鎮","蘇花路二段326巷","大通路","10002030 蘇花路二段326巷與大通路交叉口","POINT (121.80131674816948 24.463474180489072)"
"10002030","蘇澳鎮","南澳路","南澳南路","10002030 南澳路與南澳南路交叉口","POINT (121.80643200023667 24.463229278908159)"
"10002030","蘇澳鎮","朝陽路","南澳南路","10002030 朝陽路與南澳南路交叉口","POINT (121.80643200023667 24.463229278908159)"
"10002030","蘇澳鎮","朝陽路","南澳路","10002030 朝陽路與南澳路交叉口","POINT (121.80643200023667 24.463229278908159)"
"10002030","蘇澳鎮","朝陽路","娜娘路","10002030 朝陽路與娜娘路交叉口","POINT (121.81382686192023 24.460860446652362)"
"10002030","蘇澳鎮","朝陽路","朝陽一巷","10002030 朝陽路與朝陽一巷交叉口","POINT (121.81532294529779 24.461022857918636)"
"10002030","蘇澳鎮","朝陽路","朝陽三巷","10002030 朝陽路與朝陽三巷交叉口","POINT (121.81421085444742 24.460895489635163)"
"10002030","蘇澳鎮","八仙路","蘇花路二段492巷","10002030 八仙路與蘇花路二段492巷交叉口","POINT (121.8074150140917 24.4677880736607)"
"10002030","蘇澳鎮","蘇花路二段492巷","八仙路","10002030 蘇花路二段492巷與八仙路交叉口","POINT (121.8074150140917 24.4677880736607)"
"10002030","蘇澳鎮","冬山路一段","中山路二段","10002030 冬山路一段與中山路二段交叉口","POINT (121.81178928414818 24.615384175639235)"
"10002030","蘇澳鎮","冬山路一段","武荖坑路","10002030 冬山路一段與武荖坑路交叉口","POINT (121.81178928414818 24.615384175639235)"
"10002030","蘇澳鎮","武荖坑路","中山路二段","10002030 武荖坑路與中山路二段交叉口","POINT (121.81178928414818 24.615384175639235)"
"10002030","蘇澳鎮","武荖坑路","冬山路一段","10002030 武荖坑路與冬山路一段交叉口","POINT (121.81178928414818 24.615384175639235)"
"10002030","蘇澳鎮","中山路二段","中山路一段","10002030 中山路二段與中山路一段交叉口","POINT (121.83620221925708 24.596434108447397)"
"10002030","蘇澳鎮","中山路二段","中山路二段131巷","10002030 中山路二段與中山路二段131巷交叉口","POINT (121.83423555842433 24.603043582295527)"
"10002030","蘇澳鎮","中山路二段","中山路二段171巷","10002030 中山路二段與中山路二段171巷交叉口","POINT (121.82973755514411 24.605274889324733)"
"10002030","蘇澳鎮","中山路二段","中山路二段211巷","10002030 中山路二段與中山路二段211巷交叉口","POINT (121.82695673896239 24.607989536987589)"
"10002030","蘇澳鎮","中山路二段","中山路二段338巷","10002030 中山路二段與中山路二段338巷交叉口","POINT (121.8216476362295 24.615395943268197)"
"10002030","蘇澳鎮","中山路二段","中山路二段365巷","10002030 中山路二段與中山路二段365巷交叉口","POINT (121.82022070712003 24.615365986850861)"
"10002030","蘇澳鎮","中山路二段","中山路二段425巷","10002030 中山路二段與中山路二段425巷交叉口","POINT (121.81713305394737 24.61495309191173)"
"10002030","蘇澳鎮","中山路二段","中山路二段460巷","10002030 中山路二段與中山路二段460巷交叉口","POINT (121.81530712892095 24.614819434669243)"
"10002030","蘇澳鎮","中山路二段","中山路二段469巷","10002030 中山路二段與中山路二段469巷交叉口","POINT (121.8148794122551 24.614708797373169)"
"10002030","蘇澳鎮","中山路二段","中山路二段477巷","10002030 中山路二段與中山路二段477巷交叉口","POINT (121.81444355942278 24.614725424039136)"
"10002030","蘇澳鎮","中山路二段","中山路二段489巷","10002030 中山路二段與中山路二段489巷交叉口","POINT (121.81398339971418 24.614787416106424)"
"10002030","蘇澳鎮","中山路二段","中山路二段5巷","10002030 中山路二段與中山路二段5巷交叉口","POINT (121.8347467915313 24.597293720928519)"
"10002030","蘇澳鎮","中山路二段","中山路二段65巷","10002030 中山路二段與中山路二段65巷交叉口","POINT (121.83437385616855 24.599972468554654)"
"10002030","蘇澳鎮","中山路二段","冬山路一段","10002030 中山路二段與冬山路一段交叉口","POINT (121.81178928414818 24.615384175639235)"
"10002030","蘇澳鎮","中山路二段","聖湖路","10002030 中山路二段與聖湖路交叉口","POINT (121.83426562276031 24.599544005451548)"
"10002030","蘇澳鎮","中山路二段","聖愛路","10002030 中山路二段與聖愛路交叉口","POINT (121.83575829411007 24.596537248994878)"
"10002030","蘇澳鎮","中山路二段489巷","中山路二段","10002030 中山路二段489巷與中山路二段交叉口","POINT (121.81398339971418 24.614787416106424)"
"10002030","蘇澳鎮","朝陽三巷","娜娘路","10002030 朝陽三巷與娜娘路交叉口","POINT (121.81361721286419 24.462457773907204)"
"10002030","蘇澳鎮","朝陽三巷","朝陽二巷","10002030 朝陽三巷與朝陽二巷交叉口","POINT (121.81441869047023 24.462471607278928)"
"10002030","蘇澳鎮","中山路二段469巷","中山路二段","10002030 中山路二段469巷與中山路二段交叉口","POINT (121.8148794122551 24.614708797373169)"
"10002030","蘇澳鎮","中山路二段460巷","中山路二段","10002030 中山路二段460巷與中山路二段交叉口","POINT (121.81530712892095 24.614819434669243)"
"10002030","蘇澳鎮","朝陽二巷","朝陽一巷","10002030 朝陽二巷與朝陽一巷交叉口","POINT (121.81518825473427 24.462494907813777)"
"10002030","蘇澳鎮","朝陽二巷","朝陽三巷","10002030 朝陽二巷與朝陽三巷交叉口","POINT (121.81441869047023 24.462471607278928)"
"10002030","蘇澳鎮","朝陽二巷","朝陽路","10002030 朝陽二巷與朝陽路交叉口","POINT (121.81455664197551 24.46093570192113)"
"10002030","蘇澳鎮","中山路二段211巷","中山路二段","10002030 中山路二段211巷與中山路二段交叉口","POINT (121.82695673896239 24.607989536987589)"
"10002030","蘇澳鎮","中山路二段211巷","中山路二段181巷","10002030 中山路二段211巷與中山路二段181巷交叉口","POINT (121.82587618283958 24.606314520898479)"
"10002030","蘇澳鎮","中山路二段211巷","中山路二段211巷1弄","10002030 中山路二段211巷與中山路二段211巷1弄交叉口","POINT (121.8180756765513 24.606086251379452)"
"10002030","蘇澳鎮","中山路二段211巷","武荖坑林道","10002030 中山路二段211巷與武荖坑林道交叉口","POINT (121.81566242857832 24.606602272476948)"
"10002030","蘇澳鎮","朝陽一巷","朝陽路","10002030 朝陽一巷與朝陽路交叉口","POINT (121.81532294529779 24.461022857918636)"
"10002030","蘇澳鎮","中山路二段425巷","中山路二段","10002030 中山路二段425巷與中山路二段交叉口","POINT (121.81713305394737 24.61495309191173)"
"10002030","蘇澳鎮","隆恩路","三德路615巷","10002030 隆恩路與三德路615巷交叉口","POINT (121.82547903862678 24.636177002266891)"
"10002030","蘇澳鎮","隆恩路","區界西路","10002030 隆恩路與區界西路交叉口","POINT (121.82134324179719 24.646307341710497)"
"10002030","蘇澳鎮","隆恩路","隆恩路82巷","10002030 隆恩路與隆恩路82巷交叉口","POINT (121.81786399232942 24.654077229680468)"
"10002030","蘇澳鎮","隆恩路","福德西巷","10002030 隆恩路與福德西巷交叉口","POINT (121.82775774982031 24.640213924033446)"
"10002030","蘇澳鎮","隆恩路","德興八路","10002030 隆恩路與德興八路交叉口","POINT (121.8284140219896 24.636545048015591)"
"10002030","蘇澳鎮","隆恩路","龍祥二路","10002030 隆恩路與龍祥二路交叉口","POINT (121.8284140219896 24.636545048015591)"
"10002030","蘇澳鎮","中山路二段211巷1弄","中山路二段211巷","10002030 中山路二段211巷1弄與中山路二段211巷交叉口","POINT (121.8180756765513 24.606086251379452)"
"10002030","蘇澳鎮","德興二路","德興一路","10002030 德興二路與德興一路交叉口","POINT (121.82180979838358 24.625523904904355)"
"10002030","蘇澳鎮","德興二路","龍祥八路","10002030 德興二路與龍祥八路交叉口","POINT (121.81820105823226 24.625268912930039)"
"10002030","蘇澳鎮","龍祥八路","德興一路","10002030 龍祥八路與德興一路交叉口","POINT (121.81830124270823 24.624077609793915)"
"10002030","蘇澳鎮","龍祥八路","德興二路","10002030 龍祥八路與德興二路交叉口","POINT (121.81820105823226 24.625268912930039)"
"10002030","蘇澳鎮","德興一路","自強路","10002030 德興一路與自強路交叉口","POINT (121.82812566876464 24.63341426965286)"
