"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"10013210","佳冬鄉","北興路","中興路"
"10013210","佳冬鄉","北興路","炯興路"
"10013210","佳冬鄉","中興路","中興路331巷"
"10013210","佳冬鄉","中興路","中興路43巷"
"10013210","佳冬鄉","中興路","佳豊路"
"10013210","佳冬鄉","中興路","南寮路"
"10013210","佳冬鄉","中興路","塭田路145巷"
"10013210","佳冬鄉","中興路","塭田路171巷"
"10013210","佳冬鄉","塭田路265巷","中興路"
"10013210","佳冬鄉","塭田路265巷","中興路331巷"
"10013210","佳冬鄉","塭田路265巷","塭田路"
"10013210","佳冬鄉","塭田路","佳豊路"
"10013210","佳冬鄉","塭田路","塭田路171巷"
"10013210","佳冬鄉","塭田路","塭田路193巷"
"10013210","佳冬鄉","塭田路","塭田路251巷"
"10013210","佳冬鄉","塭田路","塭田路265巷"
"10013210","佳冬鄉","塭田路193巷","中興路"
"10013210","佳冬鄉","塭田路193巷","塭田路"
"10013210","佳冬鄉","塭田路145巷","中興路"
"10013210","佳冬鄉","塭田路145巷","塭田路"
"10013210","佳冬鄉","塭田路171巷","塭田路"
"10013210","佳冬鄉","塭田路132巷","塭田路"
"10013210","佳冬鄉","塭田路118巷","塭田路"
"10013210","佳冬鄉","塭田路107巷","塭田路"
"10013210","佳冬鄉","塭田路97巷","塭田路"
"10013210","佳冬鄉","塭田路73巷","塭田路"
"10013210","佳冬鄉","內館路","西部濱海公路"
"10013210","佳冬鄉","西部濱海公路","內館路"
"10013210","佳冬鄉","西部濱海公路","羌光路"
"10013210","佳冬鄉","羌光路","四塊路"
"10013210","佳冬鄉","羌光路","西部濱海公路"
"10013210","佳冬鄉","佳豐路345巷","佳豊路"
"10013210","佳冬鄉","豊海路","佳豊路"
"10013210","佳冬鄉","豊海路","豊海路162巷"
"10013210","佳冬鄉","豊海路","豊海路62巷"
"10013210","佳冬鄉","豊海路","豐海路321巷"
"10013210","佳冬鄉","豊海路","豐海路61巷"
"10013210","佳冬鄉","十美路","豊海路"
"10013210","佳冬鄉","豐海路161巷","豊海路"
"10013210","佳冬鄉","豐海路161巷","豊海路162巷"
"10013210","佳冬鄉","佳豐路323巷","佳豊路"
"10013210","佳冬鄉","豊海路62巷","豐海路61巷"
"10013210","佳冬鄉","南寮路","南寮路50巷"
"10013210","佳冬鄉","南寮路","南寮路73巷"
"10013210","佳冬鄉","南寮路","葫爐路"
"10013210","佳冬鄉","南寮路","豐漁路85巷"
"10013210","佳冬鄉","豐漁路85巷","佳豐路345巷"
"10013210","佳冬鄉","豐漁路85巷","南寮路"
"10013210","佳冬鄉","豐漁路85巷","豐漁路"
"10013210","佳冬鄉","豐漁路85巷","豐漁路86巷"
"10013210","佳冬鄉","佳和路","十全路"
"10013210","佳冬鄉","佳和路","文化三路"
"10013210","佳冬鄉","佳和路","民族路"
"10013210","佳冬鄉","佳和路","西部濱海公路"
"10013210","佳冬鄉","佳和路","庄美路"
"10013210","佳冬鄉","佳和路","佳園路41巷"
"10013210","佳冬鄉","佳和路","佳豊路"
"10013210","佳冬鄉","佳和路","佳興路"
"10013210","佳冬鄉","佳和路","和興街"
"10013210","佳冬鄉","佳和路","啟南路"
"10013210","佳冬鄉","佳和路","義和路"
"10013210","佳冬鄉","豐漁路113巷","佳豐路323巷"
"10013210","佳冬鄉","豐漁路113巷","豐漁路"
"10013210","佳冬鄉","豐漁路113巷","豐漁路116巷"
"10013210","佳冬鄉","豐漁路41巷","南寮路"
"10013210","佳冬鄉","豐漁路","佳豊路"
"10013210","佳冬鄉","豐漁路","南寮路"
"10013210","佳冬鄉","豐漁路","復興路"
"10013210","佳冬鄉","豐漁路","豐漁路116巷"
"10013210","佳冬鄉","豐漁路","豐漁路41巷"
"10013210","佳冬鄉","豐漁路","豐漁路42巷"
"10013210","佳冬鄉","四塊路","上隆路"
"10013210","佳冬鄉","四塊路","佳園路"
"10013210","佳冬鄉","四塊路","羌光路"
"10013210","佳冬鄉","南寮路73巷","南寮路"
"10013210","佳冬鄉","西昌路","大豐路"
"10013210","佳冬鄉","西昌路","大豐路1230巷"
"10013210","佳冬鄉","西昌路","武丁路"
"10013210","佳冬鄉","西昌路","新埔路"
"10013210","佳冬鄉","新民巷","武丁路"
"10013210","佳冬鄉","新民巷","新民巷19弄"
"10013210","佳冬鄉","上隆路","光明路"
"10013210","佳冬鄉","上隆路","佳園路"
"10013210","佳冬鄉","上隆路","和平路"
"10013210","佳冬鄉","豐漁路86巷","豐漁路"
"10013210","佳冬鄉","葫爐路","大平路"
"10013210","佳冬鄉","葫爐路","南寮路"
"10013210","佳冬鄉","南寮路50巷","南寮路"
"10013210","佳冬鄉","佳園路","佳園路322巷"
"10013210","佳冬鄉","佳園路","佳園路41巷"
"10013210","佳冬鄉","佳園路","佳園路456巷"
"10013210","佳冬鄉","佳園路","佳興路"
"10013210","佳冬鄉","豐漁路42巷","復興路"
"10013210","佳冬鄉","豐漁路42巷","豐漁路41巷"
"10013210","佳冬鄉","復興路","佳和路"
"10013210","佳冬鄉","復興路","佳昌路"
"10013210","佳冬鄉","復興路","南寮路"
"10013210","佳冬鄉","佳園路41巷","佳和路"
"10013210","佳冬鄉","佳園路41巷","佳園路"
"10013210","佳冬鄉","番寮路","四塊路"
"10013210","佳冬鄉","番寮路","新埔路"
"10013210","佳冬鄉","佳興路","光明路"
"10013210","佳冬鄉","佳興路","佳園路"
"10013210","佳冬鄉","佳興路","佳豊路"
"10013210","佳冬鄉","佳興路","佳興路92巷"
"10013210","佳冬鄉","佳興路","溝渚路"
"10013210","佳冬鄉","佳興路","溝渚路246巷"
"10013210","佳冬鄉","大東路","大豐路"
"10013210","佳冬鄉","大東路","大豐路1177巷"
"10013210","佳冬鄉","大東路","武丁路"
"10013210","佳冬鄉","佳園路22巷","佳園路"
"10013210","佳冬鄉","新埔路","西昌路"
"10013210","佳冬鄉","新埔路","武丁路"
"10013210","佳冬鄉","文昌街","冬根路"
"10013210","佳冬鄉","文昌街","佳昌路130巷"
"10013210","佳冬鄉","文昌街","啟南路"
"10013210","佳冬鄉","佳興路92巷","佳興路"
"10013210","佳冬鄉","庄美路","文昌街"
"10013210","佳冬鄉","庄美路","西邊路"
"10013210","佳冬鄉","庄美路","佳和路"
"10013210","佳冬鄉","西邊路","文昌街"
"10013210","佳冬鄉","西邊路","冬根路"
"10013210","佳冬鄉","佳昌路","文化三路"
"10013210","佳冬鄉","佳昌路","永昌街"
"10013210","佳冬鄉","佳昌路","光明路"
"10013210","佳冬鄉","佳昌路","佳和路"
"10013210","佳冬鄉","佳昌路","佳昌路122巷"
"10013210","佳冬鄉","佳昌路","佳昌路130巷"
"10013210","佳冬鄉","佳昌路","佳昌路66巷"
"10013210","佳冬鄉","佳昌路","佳昌路71巷"
"10013210","佳冬鄉","佳昌路","啟南路"
"10013210","佳冬鄉","啟南路","文化三路68巷"
"10013210","佳冬鄉","啟南路","文昌街"
"10013210","佳冬鄉","啟南路","佳和路"
"10013210","佳冬鄉","啟南路","佳昌路"
"10013210","佳冬鄉","啟南路","佳昌路130巷"
"10013210","佳冬鄉","啟南路","溝渚路"
"10013210","佳冬鄉","溝渚路","文化三路"
"10013210","佳冬鄉","溝渚路","永富街"
"10013210","佳冬鄉","溝渚路","佳昌路"
"10013210","佳冬鄉","溝渚路","佳興路"
"10013210","佳冬鄉","溝渚路","啟南路"
"10013210","佳冬鄉","溝渚路","溝渚路111巷"
"10013210","佳冬鄉","溝渚路","溝渚路312巷"
"10013210","佳冬鄉","冬根路","西邊路"
"10013210","佳冬鄉","冬根路","溝渚路"
"10013210","佳冬鄉","溝渚路302巷","溝渚路"
"10013210","佳冬鄉","溝渚路302巷","溝渚路246巷"
"10013210","佳冬鄉","佳昌路122巷","佳昌路"
"10013210","佳冬鄉","佳昌路122巷","佳昌路130巷"
"10013210","佳冬鄉","佳昌路130巷","佳昌路"
"10013210","佳冬鄉","和興街","佳和路"
"10013210","佳冬鄉","和興街","佳昌路"
"10013210","佳冬鄉","和興街","佳昌路122巷"
"10013210","佳冬鄉","和興街","佳昌路130巷"
"10013210","佳冬鄉","溝渚路255巷","溝渚路"
"10013210","佳冬鄉","大豐路1085巷","大豐路"
"10013210","佳冬鄉","大豐路1085巷","大豐路1177巷"
"10013210","佳冬鄉","光明路","上隆路"
"10013210","佳冬鄉","光明路","大安街"
"10013210","佳冬鄉","光明路","永泰街"
"10013210","佳冬鄉","光明路","佳昌路"
"10013210","佳冬鄉","光明路","和平路127巷"
"10013210","佳冬鄉","光明路","溝渚路246巷"
"10013210","佳冬鄉","佳園路456巷","光明路"
"10013210","佳冬鄉","溝渚路246巷","光明路"
"10013210","佳冬鄉","溝渚路246巷","溝渚路"
"10013210","佳冬鄉","溝渚路246巷","溝渚路312巷"
"10013210","佳冬鄉","溝渚路242巷","永泰街"
"10013210","佳冬鄉","溝渚路242巷","佳昌路22巷"
"10013210","佳冬鄉","溝渚路242巷","溝渚路"
"10013210","佳冬鄉","大豐路1177巷","大東路"
"10013210","佳冬鄉","大豐路1177巷","大豐路"
"10013210","佳冬鄉","佳園路322巷","光明路"
"10013210","佳冬鄉","溝渚路185巷","溝渚路"
"10013210","佳冬鄉","和平路301巷","光明路"
"10013210","佳冬鄉","和平路301巷","和平路"
"10013210","佳冬鄉","佳昌路22巷","佳昌路"
"10013210","佳冬鄉","佳昌路22巷","啟南路"
"10013210","佳冬鄉","玉光街","玉光街310巷"
"10013210","佳冬鄉","玉光街","光明路"
"10013210","佳冬鄉","玉光街","光前巷"
"10013210","佳冬鄉","玉光街","和平路"
"10013210","佳冬鄉","玉光街","學府街"
"10013210","佳冬鄉","西巷","光明路"
"10013210","佳冬鄉","西巷","和平路"
"10013210","佳冬鄉","西巷","忠義街"
"10013210","佳冬鄉","西巷","忠義街229巷"
"10013210","佳冬鄉","西巷","忠義街242巷"
"10013210","佳冬鄉","武丁路","大豐路"
"10013210","佳冬鄉","武丁路","縱貫公路"
"10013210","佳冬鄉","縱貫公路","大豐路"
"10013210","佳冬鄉","大豐路","大東路"
"10013210","佳冬鄉","大豐路","大豐路1085巷"
"10013210","佳冬鄉","大豐路","大豐路1177巷"
"10013210","佳冬鄉","大豐路","大豐路1230巷"
"10013210","佳冬鄉","大豐路","大豐路146巷"
"10013210","佳冬鄉","大豐路","大豐路223巷"
"10013210","佳冬鄉","大豐路","大豐路263巷"
"10013210","佳冬鄉","大豐路","大豐路590巷"
"10013210","佳冬鄉","大豐路","大豐路599巷"
"10013210","佳冬鄉","大豐路","大豐路776巷"
"10013210","佳冬鄉","大豐路","大豐路885巷"
"10013210","佳冬鄉","大豐路","中山路"
"10013210","佳冬鄉","大豐路","中正路"
"10013210","佳冬鄉","大豐路","西昌路"
"10013210","佳冬鄉","大豐路","武丁路"
"10013210","佳冬鄉","大豐路","縱貫公路"
"10013210","佳冬鄉","和平路127巷","大同路392巷"
"10013210","佳冬鄉","和平路127巷","光明路"
"10013210","佳冬鄉","和平路127巷","和平路"
"10013210","佳冬鄉","永昌街","永富街"
"10013210","佳冬鄉","永昌街","佳昌路"
"10013210","佳冬鄉","佳昌路66巷","佳昌路"
"10013210","佳冬鄉","忠義街","大同路"
"10013210","佳冬鄉","忠義街","中山路"
"10013210","佳冬鄉","忠義街","光明路"
"10013210","佳冬鄉","忠義街","和平路"
"10013210","佳冬鄉","忠義街","忠信街"
"10013210","佳冬鄉","忠義街","忠義街229巷"
"10013210","佳冬鄉","忠義街","忠義街242巷"
"10013210","佳冬鄉","忠義街","忠義街70巷"
"10013210","佳冬鄉","忠義街","進學街78巷"
"10013210","佳冬鄉","佳昌路71巷","佳昌路"
"10013210","佳冬鄉","進學街","公園街"
"10013210","佳冬鄉","進學街","光明路"
"10013210","佳冬鄉","進學街","和平路"
"10013210","佳冬鄉","進學街","忠義街229巷"
"10013210","佳冬鄉","進學街","進學街12巷"
"10013210","佳冬鄉","進學街","進學街33巷"
"10013210","佳冬鄉","進學街","進學街78巷"
"10013210","佳冬鄉","永泰街","光明路"
"10013210","佳冬鄉","永泰街","佳昌路"
"10013210","佳冬鄉","永泰街","溝渚路242巷"
"10013210","佳冬鄉","文化三路68巷","文化三路"
"10013210","佳冬鄉","文化三路68巷","佳昌路"
"10013210","佳冬鄉","永富街","文化三路68巷"
"10013210","佳冬鄉","永富街","佳昌路71巷"
"10013210","佳冬鄉","永富街50巷","永富街"
"10013210","佳冬鄉","文化三路","公園街"
"10013210","佳冬鄉","文化三路","佳和路"
"10013210","佳冬鄉","文化三路","佳昌路"
"10013210","佳冬鄉","文化三路","東鎮路"
"10013210","佳冬鄉","文化三路","溝渚路8巷"
"10013210","佳冬鄉","文化三路58巷","文化三路"
"10013210","佳冬鄉","文化三路58巷","佳昌路"
"10013210","佳冬鄉","溝渚路8巷","文化三路"
"10013210","佳冬鄉","溝渚路8巷","溝渚路"
"10013210","佳冬鄉","民生路","文化三路"
"10013210","佳冬鄉","東鎮路","文化三路"
"10013210","佳冬鄉","大豐路1230巷","大東路"
"10013210","佳冬鄉","大豐路1230巷","大豐路"
"10013210","佳冬鄉","大豐路1230巷","西昌路"
"10013210","佳冬鄉","進學街93巷","公園街"
"10013210","佳冬鄉","進學街93巷","進學街"
"10013210","佳冬鄉","進學街78巷59弄","進學街78巷"
"10013210","佳冬鄉","進學街78巷53弄","進學街78巷"
"10013210","佳冬鄉","進學街78巷32弄","進學街78巷"
"10013210","佳冬鄉","和平路","大安街"
"10013210","佳冬鄉","和平路","西巷"
"10013210","佳冬鄉","和平路","忠義街229巷"
"10013210","佳冬鄉","大豐路885巷","大豐路"
"10013210","佳冬鄉","大同路392巷","和平路"
"10013210","佳冬鄉","十全路","十全路25巷"
"10013210","佳冬鄉","中心路","大安街"
"10013210","佳冬鄉","中心路","中山路"
"10013210","佳冬鄉","大豐路599巷167弄","大豐路599巷"
"10013210","佳冬鄉","忠義街229巷","西巷"
"10013210","佳冬鄉","民族路","十全路"
"10013210","佳冬鄉","民族路","文化二路"
"10013210","佳冬鄉","民族路","民族路246巷"
"10013210","佳冬鄉","民族路","佳和路"
"10013210","佳冬鄉","文化二路","大同路"
"10013210","佳冬鄉","文化二路","中山路"
"10013210","佳冬鄉","文化二路","文化一路"
"10013210","佳冬鄉","文化二路","文化二路132巷"
"10013210","佳冬鄉","文化二路","民族路"
"10013210","佳冬鄉","文化二路","忠信街"
"10013210","佳冬鄉","文化二路","忠義街229巷"
"10013210","佳冬鄉","文化二路180巷","文化二路"
"10013210","佳冬鄉","文化二路180巷","忠義街229巷"
"10013210","佳冬鄉","民族路246巷","民族路"
"10013210","佳冬鄉","忠義街242巷","西巷"
"10013210","佳冬鄉","大同路","大同路299巷"
"10013210","佳冬鄉","大同路","大同路392巷"
"10013210","佳冬鄉","大同路","大同路502巷"
"10013210","佳冬鄉","大同路","大同路556巷"
"10013210","佳冬鄉","大同路","大同路669巷"
"10013210","佳冬鄉","大同路","中山路"
"10013210","佳冬鄉","大同路","文化二路"
"10013210","佳冬鄉","大同路","民族路"
"10013210","佳冬鄉","大同路","忠孝街"
"10013210","佳冬鄉","大同路","忠孝街128巷"
"10013210","佳冬鄉","大同路","忠信街"
"10013210","佳冬鄉","大同路","忠義街"
"10013210","佳冬鄉","大同路","國中巷"
"10013210","佳冬鄉","民族路246巷166弄","民族路246巷"
"10013210","佳冬鄉","忠義街209巷","忠義街"
"10013210","佳冬鄉","義和路","大平路"
"10013210","佳冬鄉","義和路","佳和路"
"10013210","佳冬鄉","大豐路776巷","大豐路"
"10013210","佳冬鄉","大同路669巷","大同路"
"10013210","佳冬鄉","大同路556巷","大同路"
"10013210","佳冬鄉","文化二路132巷","文化二路"
"10013210","佳冬鄉","東昌路","中正路"
"10013210","佳冬鄉","東昌路","西昌路"
"10013210","佳冬鄉","忠孝街125巷","忠孝街"
"10013210","佳冬鄉","大豐路599巷","大豐路"
"10013210","佳冬鄉","忠孝街128巷","大同路"
"10013210","佳冬鄉","忠孝街128巷","大同路392巷"
"10013210","佳冬鄉","忠孝街128巷","忠孝街"
"10013210","佳冬鄉","中正路","中山路"
"10013210","佳冬鄉","中正路","西昌路"
"10013210","佳冬鄉","中正路","東昌路"
"10013210","佳冬鄉","玉光街310巷","光前巷"
"10013210","佳冬鄉","玉光街300巷","玉光街"
"10013210","佳冬鄉","忠孝街","中山路"
"10013210","佳冬鄉","忠孝街","忠孝街128巷"
"10013210","佳冬鄉","忠孝街","忠信街"
"10013210","佳冬鄉","光前巷","大同路"
"10013210","佳冬鄉","大同路299巷","大同路"
"10013210","佳冬鄉","大同路299巷","忠孝街128巷"
"10013210","佳冬鄉","大同路299巷","忠信街"
"10013210","佳冬鄉","大豐路551巷","大豐路"
"10013210","佳冬鄉","忠信街","大同路"
"10013210","佳冬鄉","忠信街","大同路299巷"
"10013210","佳冬鄉","忠信街","玉光街"
"10013210","佳冬鄉","忠信街","忠信街177巷"
"10013210","佳冬鄉","忠信街","忠信街46巷"
"10013210","佳冬鄉","大同路280巷","大同路"
"10013210","佳冬鄉","忠信街426巷","忠信街"
"10013210","佳冬鄉","大豐路590巷","大豐路"
"10013210","佳冬鄉","忠信街66巷","忠信街"
"10013210","佳冬鄉","忠信街139巷","忠信街"
"10013210","佳冬鄉","忠信街177巷","忠信街"
"10013210","佳冬鄉","禮義巷","大同路"
"10013210","佳冬鄉","禮義巷","玉光街"
"10013210","佳冬鄉","玉光街218巷","玉光街"
"10013210","佳冬鄉","玉光街218巷","禮義巷"
"10013210","佳冬鄉","佳農街","佳和路"
"10013210","佳冬鄉","佳農街","佳農街65巷"
"10013210","佳冬鄉","忠愛街","忠孝街"
"10013210","佳冬鄉","忠愛街","忠愛街26巷"
"10013210","佳冬鄉","忠愛街","忠義街"
"10013210","佳冬鄉","忠愛街26巷","忠愛街"
"10013210","佳冬鄉","忠愛街26巷","忠愛街32巷"
"10013210","佳冬鄉","忠愛街32巷","忠愛街"
"10013210","佳冬鄉","忠愛街32巷","忠愛街26巷"
"10013210","佳冬鄉","忠愛街38巷","忠愛街"
"10013210","佳冬鄉","忠愛街38巷","忠愛街32巷"
"10013210","佳冬鄉","中山路","三民一巷"
"10013210","佳冬鄉","中山路","大同路"
"10013210","佳冬鄉","中山路","大豐路"
"10013210","佳冬鄉","中山路","中華路"
"10013210","佳冬鄉","中山路","民有街"
"10013210","佳冬鄉","中山路","玉光街"
"10013210","佳冬鄉","中山路","玉光街180巷"
"10013210","佳冬鄉","中山路","忠愛街32巷"
"10013210","佳冬鄉","中山路","忠義街"
"10013210","佳冬鄉","中山路","東角路"
"10013210","佳冬鄉","東角路","中山路"
"10013210","佳冬鄉","東角路","中巷"
"10013210","佳冬鄉","東角路","石光街"
"10013210","佳冬鄉","東角路","頂巷"
"10013210","佳冬鄉","東角路","學府街"
"10013210","佳冬鄉","三民巷","三民二巷"
"10013210","佳冬鄉","三民巷","中山路"
"10013210","佳冬鄉","大安街","中山路"
"10013210","佳冬鄉","民有街","三民一巷"
"10013210","佳冬鄉","民有街","三民二巷"
"10013210","佳冬鄉","民有街","中山路"
"10013210","佳冬鄉","民有街","民有街26巷"
"10013210","佳冬鄉","民有街","民有街33巷"
"10013210","佳冬鄉","大平路","佳和路"
