"TOWNCODE","TOWNNAME","RoadList","IntersectionList","IntersectionRoadName","Geometry"
"10013210","佳冬鄉","北興路","中興路","10013210 北興路與中興路交叉口","POINT (120.5184968127777 22.411670793872077)"
"10013210","佳冬鄉","北興路","炯興路","10013210 北興路與炯興路交叉口","POINT (120.52164053598199 22.418730632912457)"
"10013210","佳冬鄉","中興路","中興路331巷","10013210 中興路與中興路331巷交叉口","POINT (120.51899431683432 22.411444035214117)"
"10013210","佳冬鄉","中興路","中興路43巷","10013210 中興路與中興路43巷交叉口","POINT (120.52426250760868 22.40921994974093)"
"10013210","佳冬鄉","中興路","佳豊路","10013210 中興路與佳豊路交叉口","POINT (120.52530283615704 22.409163577537129)"
"10013210","佳冬鄉","中興路","南寮路","10013210 中興路與南寮路交叉口","POINT (120.52678557089746 22.408418535986698)"
"10013210","佳冬鄉","中興路","塭田路145巷","10013210 中興路與塭田路145巷交叉口","POINT (120.52175753148492 22.410416349335094)"
"10013210","佳冬鄉","中興路","塭田路171巷","10013210 中興路與塭田路171巷交叉口","POINT (120.52126561941282 22.410743569460237)"
"10013210","佳冬鄉","塭田路265巷","中興路","10013210 塭田路265巷與中興路交叉口","POINT (120.51899431683432 22.411444035214117)"
"10013210","佳冬鄉","塭田路265巷","中興路331巷","10013210 塭田路265巷與中興路331巷交叉口","POINT (120.51899431683432 22.411444035214117)"
"10013210","佳冬鄉","塭田路265巷","塭田路","10013210 塭田路265巷與塭田路交叉口","POINT (120.51987657514394 22.412628953163733)"
"10013210","佳冬鄉","塭田路","佳豊路","10013210 塭田路與佳豊路交叉口","POINT (120.52554179951449 22.409547418978264)"
"10013210","佳冬鄉","塭田路","塭田路171巷","10013210 塭田路與塭田路171巷交叉口","POINT (120.52184626399389 22.41164424768391)"
"10013210","佳冬鄉","塭田路","塭田路193巷","10013210 塭田路與塭田路193巷交叉口","POINT (120.52132100775839 22.411881229834933)"
"10013210","佳冬鄉","塭田路","塭田路251巷","10013210 塭田路與塭田路251巷交叉口","POINT (120.52011934533164 22.412484710001422)"
"10013210","佳冬鄉","塭田路","塭田路265巷","10013210 塭田路與塭田路265巷交叉口","POINT (120.51987657514394 22.412628953163733)"
"10013210","佳冬鄉","塭田路193巷","中興路","10013210 塭田路193巷與中興路交叉口","POINT (120.52072459536385 22.410883497675343)"
"10013210","佳冬鄉","塭田路193巷","塭田路","10013210 塭田路193巷與塭田路交叉口","POINT (120.52132100775839 22.411881229834933)"
"10013210","佳冬鄉","塭田路145巷","中興路","10013210 塭田路145巷與中興路交叉口","POINT (120.52175753148492 22.410416349335094)"
"10013210","佳冬鄉","塭田路145巷","塭田路","10013210 塭田路145巷與塭田路交叉口","POINT (120.52232685719878 22.411417971062576)"
"10013210","佳冬鄉","塭田路171巷","塭田路","10013210 塭田路171巷與塭田路交叉口","POINT (120.52184626399389 22.41164424768391)"
"10013210","佳冬鄉","塭田路132巷","塭田路","10013210 塭田路132巷與塭田路交叉口","POINT (120.52258550042052 22.411292648736776)"
"10013210","佳冬鄉","塭田路118巷","塭田路","10013210 塭田路118巷與塭田路交叉口","POINT (120.52288352945141 22.411153441777969)"
"10013210","佳冬鄉","塭田路107巷","塭田路","10013210 塭田路107巷與塭田路交叉口","POINT (120.52321355006529 22.411006380140407)"
"10013210","佳冬鄉","塭田路97巷","塭田路","10013210 塭田路97巷與塭田路交叉口","POINT (120.52346597087797 22.410896300423985)"
"10013210","佳冬鄉","塭田路73巷","塭田路","10013210 塭田路73巷與塭田路交叉口","POINT (120.52406261439819 22.410585549583516)"
"10013210","佳冬鄉","內館路","西部濱海公路","10013210 內館路與西部濱海公路交叉口","POINT (120.52571930680063 22.429706104852926)"
"10013210","佳冬鄉","西部濱海公路","內館路","10013210 西部濱海公路與內館路交叉口","POINT (120.52571930680063 22.429706104852926)"
"10013210","佳冬鄉","西部濱海公路","羌光路","10013210 西部濱海公路與羌光路交叉口","POINT (120.52721687046221 22.428692404331059)"
"10013210","佳冬鄉","羌光路","四塊路","10013210 羌光路與四塊路交叉口","POINT (120.53855846630029 22.432693971949277)"
"10013210","佳冬鄉","羌光路","西部濱海公路","10013210 羌光路與西部濱海公路交叉口","POINT (120.52721687046221 22.428692404331059)"
"10013210","佳冬鄉","佳豐路345巷","佳豊路","10013210 佳豐路345巷與佳豊路交叉口","POINT (120.52887424545008 22.410201513888808)"
"10013210","佳冬鄉","豊海路","佳豊路","10013210 豊海路與佳豊路交叉口","POINT (120.5340495767266 22.411283202258005)"
"10013210","佳冬鄉","豊海路","豊海路162巷","10013210 豊海路與豊海路162巷交叉口","POINT (120.53147669369457 22.415111135970221)"
"10013210","佳冬鄉","豊海路","豊海路62巷","10013210 豊海路與豊海路62巷交叉口","POINT (120.5327716347033 22.413200359908728)"
"10013210","佳冬鄉","豊海路","豐海路321巷","10013210 豊海路與豐海路321巷交叉口","POINT (120.52914089443675 22.418657464970067)"
"10013210","佳冬鄉","豊海路","豐海路61巷","10013210 豊海路與豐海路61巷交叉口","POINT (120.5327716347033 22.413200359908728)"
"10013210","佳冬鄉","十美路","豊海路","10013210 十美路與豊海路交叉口","POINT (120.53020802907736 22.417036066461321)"
"10013210","佳冬鄉","豐海路161巷","豊海路","10013210 豐海路161巷與豊海路交叉口","POINT (120.53147669369457 22.415111135970221)"
"10013210","佳冬鄉","豐海路161巷","豊海路162巷","10013210 豐海路161巷與豊海路162巷交叉口","POINT (120.53147669369457 22.415111135970221)"
"10013210","佳冬鄉","佳豐路323巷","佳豊路","10013210 佳豐路323巷與佳豊路交叉口","POINT (120.5319802124169 22.41074279604328)"
"10013210","佳冬鄉","豊海路62巷","豐海路61巷","10013210 豊海路62巷與豐海路61巷交叉口","POINT (120.5327716347033 22.413200359908728)"
"10013210","佳冬鄉","南寮路","南寮路50巷","10013210 南寮路與南寮路50巷交叉口","POINT (120.53739358974246 22.403022595616335)"
"10013210","佳冬鄉","南寮路","南寮路73巷","10013210 南寮路與南寮路73巷交叉口","POINT (120.53919440659661 22.4018376722708)"
"10013210","佳冬鄉","南寮路","葫爐路","10013210 南寮路與葫爐路交叉口","POINT (120.54047686231741 22.40406908362138)"
"10013210","佳冬鄉","南寮路","豐漁路85巷","10013210 南寮路與豐漁路85巷交叉口","POINT (120.53306993712795 22.405328968157392)"
"10013210","佳冬鄉","豐漁路85巷","佳豐路345巷","10013210 豐漁路85巷與佳豐路345巷交叉口","POINT (120.53522210561573 22.406651864591936)"
"10013210","佳冬鄉","豐漁路85巷","南寮路","10013210 豐漁路85巷與南寮路交叉口","POINT (120.53306993712795 22.405328968157392)"
"10013210","佳冬鄉","豐漁路85巷","豐漁路","10013210 豐漁路85巷與豐漁路交叉口","POINT (120.5397420874275 22.409245891584703)"
"10013210","佳冬鄉","豐漁路85巷","豐漁路86巷","10013210 豐漁路85巷與豐漁路86巷交叉口","POINT (120.5397420874275 22.409245891584703)"
