"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"10007120","田中鎮","民光路一段111巷","斗中路46巷"
"10007120","田中鎮","民光路一段111巷","斗中路二段604巷"
"10007120","田中鎮","民光路一段111巷","斗中路二段706巷"
"10007120","田中鎮","民光路一段111巷","斗中路二段802巷"
"10007120","田中鎮","民光路一段111巷","民光路一段"
"10007120","田中鎮","民光路一段111巷","民光路一段227巷"
"10007120","田中鎮","斗中路二段802巷","斗中路二段"
"10007120","田中鎮","斗中路二段802巷","民光路一段111巷"
"10007120","田中鎮","斗中路二段802巷","民光路一段227巷"
"10007120","田中鎮","民光路一段227巷","斗中路二段716巷"
"10007120","田中鎮","民光路一段227巷","斗中路二段802巷"
"10007120","田中鎮","民光路一段227巷","民光路一段"
"10007120","田中鎮","斗中路","斗中路二段"
"10007120","田中鎮","斗中路","斗中路二段851巷"
"10007120","田中鎮","斗中路二段851巷","斗中路二段"
"10007120","田中鎮","斗中路二段","三民路"
"10007120","田中鎮","斗中路二段","斗中路一段"
"10007120","田中鎮","斗中路二段","斗中路二段230巷"
"10007120","田中鎮","斗中路二段","斗中路二段545巷"
"10007120","田中鎮","斗中路二段","斗中路二段546巷"
"10007120","田中鎮","斗中路二段","斗中路二段593巷"
"10007120","田中鎮","斗中路二段","斗中路二段604巷"
"10007120","田中鎮","斗中路二段","斗中路二段634巷"
"10007120","田中鎮","斗中路二段","斗中路二段635巷"
"10007120","田中鎮","斗中路二段","斗中路二段672巷"
"10007120","田中鎮","斗中路二段","斗中路二段706巷"
"10007120","田中鎮","斗中路二段","斗中路二段716巷"
"10007120","田中鎮","斗中路二段","斗中路二段71巷"
"10007120","田中鎮","斗中路二段","斗中路二段76巷1弄"
"10007120","田中鎮","斗中路二段","斗中路二段802巷"
"10007120","田中鎮","斗中路二段","斗中路二段98巷"
"10007120","田中鎮","斗中路二段","民生路"
"10007120","田中鎮","斗中路二段","高鐵一路三段"
"10007120","田中鎮","斗中路二段","高鐵二路三段"
"10007120","田中鎮","民光路一段323巷","斗中路二段604巷"
"10007120","田中鎮","民光路一段323巷","斗中路二段716巷"
"10007120","田中鎮","民光路一段323巷","民光路一段"
"10007120","田中鎮","民光路一段323巷","民光路一段227巷20弄"
"10007120","田中鎮","民光路一段323巷","埔頭路243巷"
"10007120","田中鎮","民光路一段323巷","埔頭路413巷"
"10007120","田中鎮","埔頭路413巷","民光路一段227巷"
"10007120","田中鎮","埔頭路413巷","民光路一段395巷"
"10007120","田中鎮","斗中路二段716巷","斗中路二段"
"10007120","田中鎮","斗中路二段716巷","斗中路二段716巷380弄"
"10007120","田中鎮","斗中路二段716巷","民光路一段111巷"
