"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"65000040","永和區","福祥路","環河西路二段"
"65000040","永和區","福祥路","環河西路三段"
"65000040","永和區","環河西路二段","仁愛路352巷"
"65000040","永和區","環河西路二段","文化路"
"65000040","永和區","環河西路二段","保生路"
"65000040","永和區","環河西路二段","保安路"
"65000040","永和區","環河西路二段","保福路三段"
"65000040","永和區","環河西路二段","新北環河快速道路"
"65000040","永和區","環河西路二段","新生路"
"65000040","永和區","環河西路二段","新生路138巷"
"65000040","永和區","環河西路二段","新生路194巷"
"65000040","永和區","環河西路二段","新生路28巷"
"65000040","永和區","環河西路二段","新生路40巷"
"65000040","永和區","環河西路二段","新生路66巷"
"65000040","永和區","環河西路二段","新生路92巷"
"65000040","永和區","環河西路二段","福祥路"
"65000040","永和區","環河西路二段","環河西路二段217巷"
"65000040","永和區","環河西路二段","環河西路三段"
"65000040","永和區","環河西路三段","福祥路"
"65000040","永和區","環河西路三段","環河西路二段"
"65000040","永和區","仁愛路352巷","仁愛路352巷102弄"
"65000040","永和區","仁愛路352巷","仁愛路352巷112弄"
"65000040","永和區","仁愛路352巷","仁愛路352巷132弄"
"65000040","永和區","仁愛路352巷","仁愛路352巷92弄"
"65000040","永和區","仁愛路352巷","環河西路二段"
"65000040","永和區","仁愛路352巷132弄","仁愛路352巷"
"65000040","永和區","仁愛路352巷122弄","仁愛路352巷"
"65000040","永和區","仁愛路352巷112弄","仁愛路352巷"
"65000040","永和區","仁愛路352巷92弄","仁愛路306巷"
"65000040","永和區","仁愛路352巷92弄","仁愛路306巷35弄"
"65000040","永和區","仁愛路352巷92弄","仁愛路352巷"
"65000040","永和區","仁愛路306巷","仁愛路306巷35弄"
"65000040","永和區","仁愛路306巷","保順路37巷"
"65000040","永和區","仁愛路306巷","環河西路二段217巷"
"65000040","永和區","仁愛路282巷","仁愛路"
"65000040","永和區","仁愛路282巷","仁愛路282巷10弄"
"65000040","永和區","仁愛路282巷","仁愛路299巷"
"65000040","永和區","仁愛路282巷","仁愛路306巷"
"65000040","永和區","仁愛路282巷","仁愛路306巷18弄"
"65000040","永和區","保順路","保生路"
"65000040","永和區","保順路","保順路37巷"
"65000040","永和區","保順路","環河西路二段"
"65000040","永和區","仁愛路","仁愛路104巷"
"65000040","永和區","仁愛路","仁愛路141巷"
"65000040","永和區","仁愛路","仁愛路202巷"
"65000040","永和區","仁愛路","仁愛路282巷"
"65000040","永和區","仁愛路","仁愛路299巷"
"65000040","永和區","仁愛路","仁愛路306巷"
"65000040","永和區","仁愛路","仁愛路31巷"
"65000040","永和區","仁愛路","仁愛路352巷"
"65000040","永和區","仁愛路","仁愛路40巷"
"65000040","永和區","仁愛路","仁愛路40巷5弄"
"65000040","永和區","仁愛路","文化路113巷"
"65000040","永和區","仁愛路","永平路"
"65000040","永和區","仁愛路","永和路二段"
"65000040","永和區","仁愛路","永貞路"
"65000040","永和區","仁愛路","信義路"
"65000040","永和區","仁愛路","保生路"
"65000040","永和區","仁愛路","保福路二段"
"65000040","永和區","仁愛路306巷18弄","仁愛路282巷"
"65000040","永和區","仁愛路306巷18弄","仁愛路306巷"
"65000040","永和區","新北環河快速道路","中正橋引道"
"65000040","永和區","新北環河快速道路","保生路"
"65000040","永和區","新北環河快速道路","保安路"
"65000040","永和區","新北環河快速道路","新北環河快速道路引道"
"65000040","永和區","新北環河快速道路","環河西路二段"
"65000040","永和區","新北環河快速道路","環河東路一段"
"65000040","永和區","新北環河快速道路","環河東路三段"
"65000040","永和區","新北環河快速道路","環河東路五段"
"65000040","永和區","新北環河快速道路","環河東路四段"
"65000040","永和區","仁愛路282巷10弄","仁愛路282巷"
"65000040","永和區","仁愛路299巷","仁愛路"
"65000040","永和區","保生路","中山路一段"
"65000040","永和區","保生路","仁愛路"
"65000040","永和區","保生路","保生路22巷"
"65000040","永和區","保生路","保生路5巷"
"65000040","永和區","保生路","保安路"
"65000040","永和區","保生路","保順路"
"65000040","永和區","保生路","新北環河快速道路"
"65000040","永和區","保生路","環河西路二段"
"65000040","永和區","新生路","保生路"
"65000040","永和區","新生路","保福路三段"
"65000040","永和區","新生路","新生路118巷"
"65000040","永和區","新生路","新生路138巷"
"65000040","永和區","新生路","新生路147巷"
"65000040","永和區","新生路","新生路173巷"
"65000040","永和區","新生路","新生路193巷"
"65000040","永和區","新生路","新生路210巷"
"65000040","永和區","新生路","新生路249巷"
"65000040","永和區","新生路","新生路24巷"
"65000040","永和區","新生路","新生路265巷"
"65000040","永和區","新生路","新生路271巷"
"65000040","永和區","新生路","新生路28巷"
"65000040","永和區","新生路","新生路40巷"
"65000040","永和區","新生路","新生路53巷"
"65000040","永和區","新生路","新生路83巷"
"65000040","永和區","新生路","新生路92巷"
"65000040","永和區","新生路","新生路95巷"
"65000040","永和區","新生路210巷","新生路"
