"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"10018020","北區","海埔路518巷","海埔路518巷205弄"
"10018020","北區","海埔路518巷","海濱路266巷45弄"
"10018020","北區","海埔路518巷205弄","海濱路266巷45弄"
"10018020","北區","海濱路266巷45弄","海濱路266巷"
"10018020","北區","海濱路","天府路二段"
"10018020","北區","海濱路","西濱路一段1巷"
"10018020","北區","海濱路","尚濱路"
"10018020","北區","海濱路","東大路四段"
"10018020","北區","海濱路","海濱路266巷"
"10018020","北區","海濱路","海濱路55巷"
"10018020","北區","海濱路","嘉濱路"
"10018020","北區","西濱路一段1巷170弄","西濱路一段1巷"
"10018020","北區","西濱路一段1巷1弄","西濱路一段1巷"
"10018020","北區","天府路二段","天府路一段"
"10018020","北區","天府路二段","天府路二段45巷"
"10018020","北區","天府路二段","西濱路一段"
"10018020","北區","天府路二段","海濱路"
"10018020","北區","天府路二段","新港二路"
"10018020","北區","天府路二段","新港南路"
"10018020","北區","天府路二段","嘉濱路5巷"
"10018020","北區","天府路二段","聯興路"
"10018020","北區","新港二路","天府路二段"
"10018020","北區","新港二路","東大路四段"
"10018020","北區","新港二路","新港南路"
"10018020","北區","新港南路","天府路二段"
"10018020","北區","新港南路","新港二路"
"10018020","北區","天府路二段101巷81弄","天府路二段101巷"
"10018020","北區","西濱路一段1巷","西濱路一段1巷1弄"
"10018020","北區","西濱路一段1巷","西濱路一段1巷76弄"
"10018020","北區","西濱路一段1巷","延平路二段"
"10018020","北區","西濱路一段61巷36弄","西濱路一段61巷"
"10018020","北區","新港三路","東大路四段"
"10018020","北區","新港三路","新港路"
"10018020","北區","東大路四段","中光路"
"10018020","北區","東大路四段","西濱路一段"
"10018020","北區","東大路四段","東大路四段109巷"
"10018020","北區","東大路四段","東大路四段111巷"
"10018020","北區","東大路四段","東大路四段113巷"
"10018020","北區","東大路四段","東大路四段115巷"
"10018020","北區","東大路四段","東大路四段155巷"
"10018020","北區","東大路四段","東大路四段189巷"
"10018020","北區","東大路四段","東大路四段209巷"
"10018020","北區","東大路四段","東大路四段236巷"
"10018020","北區","東大路四段","東大路四段23巷"
"10018020","北區","東大路四段","東大路四段277巷"
"10018020","北區","東大路四段","新港一路"
"10018020","北區","東大路四段","新港二路"
"10018020","北區","東大路四段","新港三路"
"10018020","北區","東大路四段","榮濱路"
"10018020","北區","西濱路一段275巷18弄","天府路二段101巷"
"10018020","北區","西濱路一段275巷18弄","西濱路一段275巷"
"10018020","北區","嘉濱路42巷","孝賢路"
"10018020","北區","嘉濱路42巷","嘉濱路"
"10018020","北區","聯興路","天府路二段"
"10018020","北區","聯興路","孝賢路"
"10018020","北區","聯興路","尚濱路"
"10018020","北區","西濱路一段","中福路"
"10018020","北區","西濱路一段","中興路7巷"
"10018020","北區","西濱路一段","天府路一段"
"10018020","北區","西濱路一段","天府路二段"
"10018020","北區","西濱路一段","西濱路一段189巷"
"10018020","北區","西濱路一段","西濱路一段234巷"
"10018020","北區","西濱路一段","西濱路一段255巷"
"10018020","北區","西濱路一段","西濱路一段275巷"
"10018020","北區","西濱路一段","西濱路一段47巷"
"10018020","北區","西濱路一段","西濱路一段61巷"
"10018020","北區","西濱路一段","西濱路一段8巷"
"10018020","北區","西濱路一段","延平路二段"
"10018020","北區","西濱路一段","延平路三段"
"10018020","北區","西濱路一段","延平路三段271巷"
"10018020","北區","西濱路一段","延平路三段335巷1弄"
"10018020","北區","西濱路一段","延平路三段455巷"
"10018020","北區","西濱路一段","延平路三段455巷60弄"
"10018020","北區","西濱路一段","延平路三段667巷"
"10018020","北區","西濱路一段","延濱路"
"10018020","北區","西濱路一段","東大路四段"
"10018020","北區","西濱路一段","南寮端"
"10018020","北區","西濱路一段","港北八街"
"10018020","北區","西濱路一段","港北六街"
"10018020","北區","西濱路一段","港北路"
"10018020","北區","西濱路一段","榮濱南路"
"10018020","北區","西濱路一段","興濱路"
"10018020","北區","西濱路一段","興濱路11巷"
"10018020","北區","港北六街","西濱路一段"
"10018020","北區","港北六街","港北一街"
"10018020","北區","尚濱路62巷","尚濱路"
"10018020","北區","西濱路一段189巷17弄","榮濱南路"
"10018020","北區","榮濱南路","天府路二段"
"10018020","北區","榮濱南路","天府路二段45巷"
"10018020","北區","榮濱南路","西濱路一段"
"10018020","北區","榮濱南路","西濱路一段189巷17弄"
"10018020","北區","榮濱南路","西濱路一段275巷18弄"
"10018020","北區","榮濱南路","延濱路"
"10018020","北區","東大路四段289巷","東大路四段"
"10018020","北區","東大路四段289巷","海濱路55巷"
"10018020","北區","延平路二段","西濱路一段"
"10018020","北區","延平路二段","西濱路一段1巷"
"10018020","北區","延平路二段","西濱路一段8巷"
"10018020","北區","西濱路一段8巷","西濱路一段"
"10018020","北區","西濱路一段8巷","延平路二段"
"10018020","北區","嘉濱路12巷","孝賢路"
"10018020","北區","嘉濱路12巷","嘉濱路"
"10018020","北區","海濱路55巷","尚濱路62巷"
"10018020","北區","孝賢路","嘉濱路12巷"
"10018020","北區","孝賢路","聯興路"
"10018020","北區","港北路","西濱路一段"
"10018020","北區","港北路","延平路三段"
"10018020","北區","港北路","東濱街"
"10018020","北區","港北路","榮濱南路"
"10018020","北區","嘉濱路5巷","天府路二段"
"10018020","北區","嘉濱路5巷","嘉濱路"
"10018020","北區","西濱路一段2巷","西濱路一段1巷"
"10018020","北區","西濱路一段2巷","延平路二段"
"10018020","北區","延平路三段117巷","延平路三段"
"10018020","北區","延平路三段117巷","港北一街"
"10018020","北區","延平路三段117巷","港北八街"
"10018020","北區","延平路三段117巷","港北三街"
"10018020","北區","港北一街","港北八街"
"10018020","北區","港北一街","港北六街"
"10018020","北區","港北三街","港北一街"
"10018020","北區","港北三街","港北二街"
"10018020","北區","港北三街","港北八街"
"10018020","北區","港北三街","港北六街"
"10018020","北區","天府路二段101巷","天府路二段"
"10018020","北區","延平路三段","天府路一段"
"10018020","北區","延平路三段","西濱路一段"
"10018020","北區","延平路三段","延平路三段117巷"
"10018020","北區","延平路三段","延平路三段125巷"
"10018020","北區","延平路三段","延平路三段144巷"
"10018020","北區","延平路三段","延平路三段344巷"
"10018020","北區","延平路三段","延平路三段392巷"
"10018020","北區","延平路三段","延平路三段433巷"
"10018020","北區","延平路三段","延平路三段490巷"
"10018020","北區","延平路三段","延平路三段515巷"
"10018020","北區","延平路三段","延平路三段612巷"
"10018020","北區","延平路三段","延平路三段667巷"
"10018020","北區","延平路三段","東大路三段"
"10018020","北區","延平路三段","東大路四段"
"10018020","北區","延平路三段","港北二街"
"10018020","北區","延平路三段","港清街"
"10018020","北區","東大路四段304巷","東大路四段"
"10018020","北區","東大路四段304巷","海濱路"
"10018020","北區","仁和路9巷","仁和路"
"10018020","北區","仁和路9巷","仁和路6巷"
"10018020","北區","仁和路9巷","嘉濱路12巷"
"10018020","北區","尚濱路","尚濱路56巷"
"10018020","北區","尚濱路","榮濱路"
"10018020","北區","尚濱路","聯興路"
"10018020","北區","新港一路","南寮街"
"10018020","北區","新港一路","新港路"
"10018020","北區","東大路四段277巷","東大路四段"
"10018020","北區","東大路四段277巷","東大路四段277巷15弄"
"10018020","北區","東大路四段277巷17弄","東大路四段277巷"
"10018020","北區","東大路四段277巷17弄","東大路四段277巷15弄"
"10018020","北區","東大路四段277巷17弄","聖軍路97巷"
"10018020","北區","仁和路","仁和路6巷"
"10018020","北區","仁和路","孝賢路"
"10018020","北區","仁和路","尚濱路"
"10018020","北區","仁和路","嘉濱路"
"10018020","北區","仁和路","嘉濱路5巷"
"10018020","北區","港北二街","延平路三段"
"10018020","北區","港北二街","港北一街"
"10018020","北區","西濱路一段234巷","西濱路一段"
"10018020","北區","西濱路一段234巷","延平路三段247巷"
"10018020","北區","西濱路一段234巷","東濱街"
"10018020","北區","東大路四段277巷9弄","東大路四段277巷"
"10018020","北區","東大路四段277巷9弄","東大路四段277巷15弄"
"10018020","北區","聖軍路","天府路二段"
"10018020","北區","聖軍路","尚濱路"
"10018020","北區","聖軍路","東大路四段"
"10018020","北區","聖軍路","東大路四段204巷"
"10018020","北區","聖軍路","聖軍路97巷"
"10018020","北區","聖軍路","嘉濱路"
"10018020","北區","聖軍路","榮濱路19巷"
"10018020","北區","聖軍路","興濱路"
"10018020","北區","西濱路一段189巷","西濱路一段189巷17弄"
"10018020","北區","西濱路一段189巷","西濱路一段189巷9弄"
"10018020","北區","西濱路一段189巷9弄","西濱路一段189巷"
"10018020","北區","仁和路6巷","仁和路"
"10018020","北區","仁和路6巷","聖軍路"
"10018020","北區","仁和路6巷","榮濱路19巷"
"10018020","北區","延平路三段271巷","西濱路一段"
"10018020","北區","延平路三段271巷","西濱路一段189巷"
"10018020","北區","延平路三段271巷","延平路三段"
"10018020","北區","延平路三段271巷","東濱街"
"10018020","北區","西濱路一段189巷37弄","西濱路一段189巷"
"10018020","北區","東濱街","西濱路一段234巷"
"10018020","北區","東濱街","延平路三段247巷"
"10018020","北區","東濱街","延平路三段271巷"
"10018020","北區","東濱街","港北路"
"10018020","北區","延平路三段144巷","延平路三段"
"10018020","北區","延平路三段144巷","延平路三段117巷"
"10018020","北區","延平路三段144巷","港清一街"
"10018020","北區","西濱路一段275巷","天府路二段45巷"
"10018020","北區","西濱路一段275巷","西濱路一段"
"10018020","北區","西濱路一段275巷","西濱路一段189巷"
"10018020","北區","西濱路一段275巷","西濱路一段255巷"
"10018020","北區","西濱路一段275巷","西濱路一段275巷18弄"
"10018020","北區","西濱路一段275巷","西濱路一段275巷9弄"
"10018020","北區","西濱路一段275巷","延濱路"
"10018020","北區","延濱路","西濱路一段"
"10018020","北區","延濱路","西濱路一段189巷"
"10018020","北區","延平路三段247巷","延平路三段"
"10018020","北區","延平路三段247巷","東濱街"
"10018020","北區","西濱路一段275巷9弄","西濱路一段"
"10018020","北區","西濱路一段275巷9弄","西濱路一段275巷"
"10018020","北區","榮濱路19巷","聖軍路"
"10018020","北區","聖軍路97巷","尚濱路56巷"
"10018020","北區","聖軍路97巷","東大路四段189巷"
"10018020","北區","聖軍路97巷","東大路四段277巷15弄"
"10018020","北區","聖軍路97巷","聖軍路"
"10018020","北區","港清街","港清一街"
"10018020","北區","港清街","港清二街"
"10018020","北區","港清街","港清三街"
"10018020","北區","延平路二段1386巷","西濱路一段2巷"
"10018020","北區","尚濱路56巷","尚濱路"
"10018020","北區","聖軍路28巷","愛國路"
"10018020","北區","聖軍路28巷","聖軍路"
"10018020","北區","南寮街","東大路四段"
"10018020","北區","南寮街","南寮大道"
"10018020","北區","南寮街","南寮街108巷"
"10018020","北區","南寮街","南寮街26巷"
"10018020","北區","南寮街","南寮街54巷"
"10018020","北區","南寮街","南寮街5巷"
"10018020","北區","天府路二段45巷","天府路二段"
"10018020","北區","天府路二段45巷","天府路二段45巷54弄"
"10018020","北區","天府路二段45巷","延平路三段455巷60弄"
"10018020","北區","天府路二段45巷","榮濱南路"
"10018020","北區","延平路三段204巷","延平路三段"
"10018020","北區","延平路三段204巷","港北二街"
"10018020","北區","東大路四段237巷","東大路四段"
"10018020","北區","東大路四段260巷","東大路四段"
"10018020","北區","東大路四段260巷","東大路四段237巷"
"10018020","北區","南寮街90巷","南寮街"
"10018020","北區","南寮街90巷","南寮街54巷"
"10018020","北區","港清二街","港清街"
"10018020","北區","愛國路","尚濱路"
"10018020","北區","愛國路","東大路四段155巷"
"10018020","北區","愛國路","榮濱路19巷"
"10018020","北區","愛國路","興濱路"
"10018020","北區","中清路一段","天府路一段"
"10018020","北區","中清路一段","延平路三段204巷"
"10018020","北區","中清路一段","延平路三段392巷"
"10018020","北區","中清路一段","延平路三段470巷19弄"
"10018020","北區","中清路一段","延平路三段490巷"
"10018020","北區","中清路一段","港清街"
"10018020","北區","延平路三段335巷","延平路三段"
"10018020","北區","延平路三段335巷","延平路三段335巷1弄"
"10018020","北區","南寮街102巷","南寮街"
"10018020","北區","南寮街102巷","南寮街54巷"
"10018020","北區","東大路四段236巷","東大路四段"
"10018020","北區","東大路四段236巷","東大路四段236巷23弄"
"10018020","北區","東大路四段236巷","東大路四段236巷36弄"
"10018020","北區","東大路四段236巷","東大路四段236巷54弄"
"10018020","北區","東大路四段236巷","南寮街102巷"
"10018020","北區","東大路四段236巷","南寮街54巷"
"10018020","北區","東大路四段209巷","東大路四段"
"10018020","北區","榮濱路","天府路二段"
"10018020","北區","榮濱路","尚濱路"
"10018020","北區","榮濱路","榮濱南路"
"10018020","北區","榮濱路","榮濱路18巷"
"10018020","北區","榮濱路","榮濱路19巷"
"10018020","北區","榮濱路","興濱路"
"10018020","北區","東大路四段189巷","尚濱路56巷"
"10018020","北區","東大路四段189巷","東大路四段"
"10018020","北區","南寮街108巷","東大路四段236巷54弄"
