"TOWNCODE","TOWNNAME","RoadList","IntersectionList","IntersectionRoadName","Geometry"
"10018020","北區","海埔路518巷","海埔路518巷205弄","10018020 海埔路518巷與海埔路518巷205弄交叉口","POINT (120.91441389708371 24.826328418221976)"
"10018020","北區","海埔路518巷","海濱路266巷45弄","10018020 海埔路518巷與海濱路266巷45弄交叉口","POINT (120.91441389708371 24.826328418221976)"
"10018020","北區","海埔路518巷205弄","海濱路266巷45弄","10018020 海埔路518巷205弄與海濱路266巷45弄交叉口","POINT (120.91441389708371 24.826328418221976)"
"10018020","北區","海濱路266巷45弄","海濱路266巷","10018020 海濱路266巷45弄與海濱路266巷交叉口","POINT (120.91582792002259 24.830847199438779)"
"10018020","北區","海濱路","天府路二段","10018020 海濱路與天府路二段交叉口","POINT (120.92454374639681 24.841640688167274)"
"10018020","北區","海濱路","西濱路一段1巷","10018020 海濱路與西濱路一段1巷交叉口","POINT (120.91972433261196 24.829578356755803)"
"10018020","北區","海濱路","尚濱路","10018020 海濱路與尚濱路交叉口","POINT (120.92607180337109 24.84360174352571)"
"10018020","北區","海濱路","東大路四段","10018020 海濱路與東大路四段交叉口","POINT (120.92749626653949 24.845691581801134)"
"10018020","北區","海濱路","海濱路266巷","10018020 海濱路與海濱路266巷交叉口","POINT (120.91974815385424 24.829842300581731)"
"10018020","北區","海濱路","海濱路55巷","10018020 海濱路與海濱路55巷交叉口","POINT (120.92667719819417 24.844439702130614)"
"10018020","北區","海濱路","嘉濱路","10018020 海濱路與嘉濱路交叉口","POINT (120.92508326677944 24.842333517777661)"
"10018020","北區","西濱路一段1巷170弄","西濱路一段1巷","10018020 西濱路一段1巷170弄與西濱路一段1巷交叉口","POINT (120.92126193858769 24.829505855211096)"
"10018020","北區","西濱路一段1巷1弄","西濱路一段1巷","10018020 西濱路一段1巷1弄與西濱路一段1巷交叉口","POINT (120.92145200400682 24.829486722134561)"
"10018020","北區","天府路二段","天府路一段","10018020 天府路二段與天府路一段交叉口","POINT (120.931256982224 24.839540156952751)"
"10018020","北區","天府路二段","天府路二段45巷","10018020 天府路二段與天府路二段45巷交叉口","POINT (120.92983157926403 24.839710601862862)"
"10018020","北區","天府路二段","西濱路一段","10018020 天府路二段與西濱路一段交叉口","POINT (120.931256982224 24.839540156952751)"
"10018020","北區","天府路二段","海濱路","10018020 天府路二段與海濱路交叉口","POINT (120.92454374639681 24.841640688167274)"
"10018020","北區","天府路二段","新港二路","10018020 天府路二段與新港二路交叉口","POINT (120.92323253845098 24.842913532833336)"
"10018020","北區","天府路二段","新港南路","10018020 天府路二段與新港南路交叉口","POINT (120.92323253845098 24.842913532833336)"
"10018020","北區","天府路二段","嘉濱路5巷","10018020 天府路二段與嘉濱路5巷交叉口","POINT (120.92733613145731 24.840257497585469)"
"10018020","北區","天府路二段","聯興路","10018020 天府路二段與聯興路交叉口","POINT (120.9261952973751 24.840686559637049)"
"10018020","北區","新港二路","天府路二段","10018020 新港二路與天府路二段交叉口","POINT (120.92323253845098 24.842913532833336)"
"10018020","北區","新港二路","東大路四段","10018020 新港二路與東大路四段交叉口","POINT (120.9257646947849 24.846478821340611)"
"10018020","北區","新港二路","新港南路","10018020 新港二路與新港南路交叉口","POINT (120.92323253845098 24.842913532833336)"
"10018020","北區","新港南路","天府路二段","10018020 新港南路與天府路二段交叉口","POINT (120.92323253845098 24.842913532833336)"
"10018020","北區","新港南路","新港二路","10018020 新港南路與新港二路交叉口","POINT (120.92323253845098 24.842913532833336)"
"10018020","北區","天府路二段101巷81弄","天府路二段101巷","10018020 天府路二段101巷81弄與天府路二段101巷交叉口","POINT (120.9235039835221 24.834141295584402)"
"10018020","北區","西濱路一段1巷","西濱路一段1巷1弄","10018020 西濱路一段1巷與西濱路一段1巷1弄交叉口","POINT (120.92145200400682 24.829486722134561)"
"10018020","北區","西濱路一段1巷","西濱路一段1巷76弄","10018020 西濱路一段1巷與西濱路一段1巷76弄交叉口","POINT (120.92529311728356 24.826919449073387)"
"10018020","北區","西濱路一段1巷","延平路二段","10018020 西濱路一段1巷與延平路二段交叉口","POINT (120.92721989678091 24.825498169504954)"
"10018020","北區","西濱路一段61巷36弄","西濱路一段61巷","10018020 西濱路一段61巷36弄與西濱路一段61巷交叉口","POINT (120.92516229380487 24.828986046169121)"
"10018020","北區","新港三路","東大路四段","10018020 新港三路與東大路四段交叉口","POINT (120.92518914306459 24.846769552373019)"
"10018020","北區","新港三路","新港路","10018020 新港三路與新港路交叉口","POINT (120.92633901533338 24.849921034927888)"
"10018020","北區","東大路四段","中光路","10018020 東大路四段與中光路交叉口","POINT (120.93549303277735 24.841677959670164)"
"10018020","北區","東大路四段","西濱路一段","10018020 東大路四段與西濱路一段交叉口","POINT (120.93409015963323 24.842418033365618)"
"10018020","北區","東大路四段","東大路四段109巷","10018020 東大路四段與東大路四段109巷交叉口","POINT (120.93355204129375 24.8426752241823)"
"10018020","北區","東大路四段","東大路四段111巷","10018020 東大路四段與東大路四段111巷交叉口","POINT (120.93335922394908 24.842770939926993)"
"10018020","北區","東大路四段","東大路四段113巷","10018020 東大路四段與東大路四段113巷交叉口","POINT (120.93319513994379 24.842853215303705)"
"10018020","北區","東大路四段","東大路四段115巷","10018020 東大路四段與東大路四段115巷交叉口","POINT (120.93301587268445 24.842942978435758)"
"10018020","北區","東大路四段","東大路四段155巷","10018020 東大路四段與東大路四段155巷交叉口","POINT (120.93087125760246 24.844016956917073)"
"10018020","北區","東大路四段","東大路四段189巷","10018020 東大路四段與東大路四段189巷交叉口","POINT (120.93010421054089 24.844406129539323)"
"10018020","北區","東大路四段","東大路四段209巷","10018020 東大路四段與東大路四段209巷交叉口","POINT (120.92956100473668 24.844681724082363)"
"10018020","北區","東大路四段","東大路四段236巷","10018020 東大路四段與東大路四段236巷交叉口","POINT (120.92982411758896 24.844548212530015)"
"10018020","北區","東大路四段","東大路四段23巷","10018020 東大路四段與東大路四段23巷交叉口","POINT (120.9360998916967 24.841358216508524)"
"10018020","北區","東大路四段","東大路四段277巷","10018020 東大路四段與東大路四段277巷交叉口","POINT (120.92815074276268 24.845378124900606)"
"10018020","北區","東大路四段","新港一路","10018020 東大路四段與新港一路交叉口","POINT (120.92636489422455 24.8461859328346)"
"10018020","北區","東大路四段","新港二路","10018020 東大路四段與新港二路交叉口","POINT (120.9257646947849 24.846478821340611)"
"10018020","北區","東大路四段","新港三路","10018020 東大路四段與新港三路交叉口","POINT (120.92518914306459 24.846769552373019)"
"10018020","北區","東大路四段","榮濱路","10018020 東大路四段與榮濱路交叉口","POINT (120.9314621346698 24.843714923205198)"
"10018020","北區","西濱路一段275巷18弄","天府路二段101巷","10018020 西濱路一段275巷18弄與天府路二段101巷交叉口","POINT (120.92580468853566 24.837713240873427)"
"10018020","北區","西濱路一段275巷18弄","西濱路一段275巷","10018020 西濱路一段275巷18弄與西濱路一段275巷交叉口","POINT (120.92850761713294 24.836604386683177)"
"10018020","北區","嘉濱路42巷","孝賢路","10018020 嘉濱路42巷與孝賢路交叉口","POINT (120.92673941059536 24.842598088431089)"
"10018020","北區","嘉濱路42巷","嘉濱路","10018020 嘉濱路42巷與嘉濱路交叉口","POINT (120.92618911903264 24.84174859871888)"
"10018020","北區","聯興路","天府路二段","10018020 聯興路與天府路二段交叉口","POINT (120.9261952973751 24.840686559637049)"
"10018020","北區","聯興路","孝賢路","10018020 聯興路與孝賢路交叉口","POINT (120.92727405035726 24.842311935847192)"
"10018020","北區","聯興路","尚濱路","10018020 聯興路與尚濱路交叉口","POINT (120.92758650271503 24.84279543296293)"
"10018020","北區","西濱路一段","中福路","10018020 西濱路一段與中福路交叉口","POINT (120.9326386043881 24.840942697347657)"
"10018020","北區","西濱路一段","中興路7巷","10018020 西濱路一段與中興路7巷交叉口","POINT (120.93328316738428 24.84154245072358)"
"10018020","北區","西濱路一段","天府路一段","10018020 西濱路一段與天府路一段交叉口","POINT (120.931256982224 24.839540156952751)"
"10018020","北區","西濱路一段","天府路二段","10018020 西濱路一段與天府路二段交叉口","POINT (120.931256982224 24.839540156952751)"
"10018020","北區","西濱路一段","西濱路一段189巷","10018020 西濱路一段與西濱路一段189巷交叉口","POINT (120.92807819805046 24.833921080393623)"
"10018020","北區","西濱路一段","西濱路一段234巷","10018020 西濱路一段與西濱路一段234巷交叉口","POINT (120.92785011019453 24.833358887202905)"
"10018020","北區","西濱路一段","西濱路一段255巷","10018020 西濱路一段與西濱路一段255巷交叉口","POINT (120.92922641376799 24.83589104173825)"
