"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"10004110","峨眉鄉","學府路","學府路20巷"
"10004110","峨眉鄉","學府路20巷","學府路"
"10004110","峨眉鄉","忠義街36巷","忠義街"
"10004110","峨眉鄉","忠義街36巷","忠義街50巷"
"10004110","峨眉鄉","忠義街","太平街"
"10004110","峨眉鄉","忠義街","忠義街50巷"
"10004110","峨眉鄉","太平街2巷","太平街"
"10004110","峨眉鄉","東崎路166巷","東崎路"
"10004110","峨眉鄉","文化街","大同街"
"10004110","峨眉鄉","文化街","太平街"
"10004110","峨眉鄉","文化街","忠義街"
"10004110","峨眉鄉","文化街","忠義街36巷"
"10004110","峨眉鄉","太平街","太平街8巷"
"10004110","峨眉鄉","太平街","文化街"
"10004110","峨眉鄉","大同街","大同街19巷"
"10004110","峨眉鄉","大同街","大同街35巷"
"10004110","峨眉鄉","大同街","文化街"
"10004110","峨眉鄉","大同街","忠義街"
"10004110","峨眉鄉","三峰公路","三峰路一段5巷"
"10004110","峨眉鄉","三峰公路","東崎路"
"10004110","峨眉鄉","東崎路","三峰公路"
"10004110","峨眉鄉","太平街8巷","太平街"
"10004110","峨眉鄉","太平街8巷","太平街8巷2弄"
"10004110","峨眉鄉","大同街19巷","大同街9巷"
"10004110","峨眉鄉","大同街9巷","大同街19巷"
"10004110","峨眉鄉","赤科山農路","赤柯坪步道"
"10004110","峨眉鄉","赤科山農路","獅山街"
"10004110","峨眉鄉","三峰路一段5巷","三峰公路"
"10004110","峨眉鄉","梯仔桄農路","石峰道路"
"10004110","峨眉鄉","中豐公路","峨眉街"
"10004110","峨眉鄉","社寮坑二號農路","獅山道路"
"10004110","峨眉鄉","獅山道路","社寮坑二號農路"
"10004110","峨眉鄉","獅山道路","社寮坑三號農路"
"10004110","峨眉鄉","獅山道路","獅山街"
"10004110","峨眉鄉","獅山道路","獅山街36巷"
"10004110","峨眉鄉","獅山街","成功街"
"10004110","峨眉鄉","獅山街","赤科山農路"
"10004110","峨眉鄉","獅山街","峨眉街"
"10004110","峨眉鄉","獅山街","獅山街36巷"
"10004110","峨眉鄉","獅山街36巷","獅山街"
"10004110","峨眉鄉","獅山街36巷","獅山道路"
"10004110","峨眉鄉","社寮坑三號農路","獅山道路"
"10004110","峨眉鄉","峨眉街","中豐公路"
"10004110","峨眉鄉","峨眉街","成功街"
"10004110","峨眉鄉","峨眉街","獅山街"
"10004110","峨眉鄉","中山街","成功街"
"10004110","峨眉鄉","中山街","峨眉街"
"10004110","峨眉鄉","藤坪產業道路","獅山道路"
"10004110","峨眉鄉","成功街","峨眉街"
"10004110","峨眉鄉","河背一號農路","中豐公路"
"10004110","峨眉鄉","忠義街50巷","忠義街"
"10004110","峨眉鄉","忠義街50巷","忠義街36巷"
"10004110","峨眉鄉","大同街35巷","大同街"
"10004110","峨眉鄉","太平街8巷2弄","太平街8巷"
"10004110","峨眉鄉","赤柯坪步道","赤科山農路"
"10004110","峨眉鄉","石峰道路","梯仔桄農路"
"10004020","竹東鎮","竹美路二段97巷","公道五路一段"
"10004020","竹東鎮","竹美路二段97巷","竹美路二段"
"10004020","竹東鎮","竹美路二段101巷","竹美路二段"
"10004020","竹東鎮","竹美路二段101巷","竹美路二段101巷51弄"
"10004020","竹東鎮","公道五路一段","下員山路"
"10004020","竹東鎮","公道五路一段","公道路"
"10004020","竹東鎮","公道五路一段","公道路681巷"
"10004020","竹東鎮","公道五路一段","竹美路二段"
"10004020","竹東鎮","公道五路一段","竹美路二段97巷"
"10004020","竹東鎮","公道五路一段","東科路"
"10004020","竹東鎮","竹美路二段5巷16弄","竹美路二段5巷"
"10004020","竹東鎮","竹美路一段365巷","竹美路一段"
"10004020","竹東鎮","竹美路一段365巷","竹美路一段365巷67弄"
"10004020","竹東鎮","竹美路一段365巷","竹美路一段365巷90弄"
"10004020","竹東鎮","竹美路一段365巷90弄","竹美路一段365巷"
"10004020","竹東鎮","竹美路二段","下員山路"
"10004020","竹東鎮","竹美路二段","公道五路一段"
"10004020","竹東鎮","竹美路二段","公道路"
"10004020","竹東鎮","竹美路二段","竹美路二段150巷"
"10004020","竹東鎮","竹美路二段","竹美路二段201巷"
"10004020","竹東鎮","竹美路二段","竹美路二段251巷"
"10004020","竹東鎮","竹美路二段","竹美路二段50巷"
"10004020","竹東鎮","竹美路二段","竹美路二段98巷"
"10004020","竹東鎮","竹美路二段","麻園街"
"10004020","竹東鎮","竹美路二段98巷","竹美路二段"
"10004020","竹東鎮","竹美路二段77巷","竹美路二段"
"10004020","竹東鎮","竹美路二段5巷","竹美路二段"
"10004020","竹東鎮","竹美路二段5巷","竹美路二段5巷10弄"
"10004020","竹東鎮","竹美路二段5巷","竹美路二段5巷8弄"
"10004020","竹東鎮","竹美路二段5巷10弄","竹美路二段5巷"
"10004020","竹東鎮","竹美路二段5巷8弄","竹美路二段5巷"
"10004020","竹東鎮","竹美路一段365巷67弄","竹美路一段365巷"
"10004020","竹東鎮","竹美路二段155巷","竹美路二段"
"10004020","竹東鎮","竹美路二段50巷","竹美路二段"
"10004020","竹東鎮","竹美路一段","竹美路一段261巷"
"10004020","竹東鎮","竹美路一段","竹美路一段377巷"
"10004020","竹東鎮","竹美路一段","竹美路一段390巷"
"10004020","竹東鎮","竹美路一段","竹美路二段"
"10004020","竹東鎮","竹美路一段","竹美路二段5巷"
"10004020","竹東鎮","公道路","下員山路"
"10004020","竹東鎮","公道路","下員山路250巷"
"10004020","竹東鎮","公道路","下員山路250巷120弄"
"10004020","竹東鎮","公道路","工研路"
"10004020","竹東鎮","公道路","公道五路一段"
"10004020","竹東鎮","公道路","光明路"
"10004020","竹東鎮","公道路","竹美路二段"
"10004020","竹東鎮","公道路","芎林交流道聯絡道路"
"10004020","竹東鎮","公道路","東科路"
"10004020","竹東鎮","公道路","員山路"
"10004020","竹東鎮","公道路","員山路205巷"
"10004020","竹東鎮","公道路","員山路302巷"
"10004020","竹東鎮","公道路","員山路436巷"
"10004020","竹東鎮","中興路四段1042巷","中興路四段"
"10004020","竹東鎮","竹美路一段390巷","竹美路一段"
"10004020","竹東鎮","中興路四段","工研路"
"10004020","竹東鎮","中興路四段","中興路三段"
"10004020","竹東鎮","中興路四段","中興路四段1003巷"
"10004020","竹東鎮","中興路四段","中興路四段1030巷"
"10004020","竹東鎮","中興路四段","中興路四段148巷"
"10004020","竹東鎮","中興路四段","中興路四段256巷"
"10004020","竹東鎮","中興路四段","中興路四段381巷"
"10004020","竹東鎮","中興路四段","中興路四段628巷"
"10004020","竹東鎮","中興路四段","中興路四段71巷"
"10004020","竹東鎮","中興路四段","中興路四段753巷"
"10004020","竹東鎮","中興路四段","中興路四段785巷"
"10004020","竹東鎮","中興路四段","中興路四段832巷"
"10004020","竹東鎮","中興路四段","中興路四段858巷"
"10004020","竹東鎮","中興路四段","中興路四段871巷"
"10004020","竹東鎮","中興路四段","中興路四段900巷"
"10004020","竹東鎮","中興路四段","中興路四段981巷"
"10004020","竹東鎮","中興路四段","明星路"
"10004020","竹東鎮","中興路四段","東科路"
"10004020","竹東鎮","中興路四段","柯湖路一段"
"10004020","竹東鎮","中興路四段","富貴街"
"10004020","竹東鎮","竹美路一段290巷","竹美路一段"
"10004020","竹東鎮","竹美路一段290巷","竹美路一段76巷"
"10004020","竹東鎮","竹中路","中興路四段"
"10004020","竹東鎮","竹中路","竹中路128巷"
"10004020","竹東鎮","竹中路","竹中路180巷"
"10004020","竹東鎮","竹中路","竹中路246巷"
"10004020","竹東鎮","竹中路","竹中路288巷"
"10004020","竹東鎮","竹中路","竹中路51巷"
"10004020","竹東鎮","竹中路","竹中路87巷"
"10004020","竹東鎮","竹中路","竹中路89巷"
"10004020","竹東鎮","竹中路","竹美路一段"
"10004020","竹東鎮","竹中路","員山路"
"10004020","竹東鎮","竹美路一段261巷","竹美路一段"
"10004020","竹東鎮","下員山路95巷","下員山路"
"10004020","竹東鎮","下員山路95巷","下員山路95巷66弄"
"10004020","竹東鎮","下員山路95巷","麻園街"
"10004020","竹東鎮","麻園街","下員山路95巷"
"10004020","竹東鎮","中興路四段1030巷","中興路四段1030巷46弄"
"10004020","竹東鎮","中興路四段1030巷46弄","中興路四段1030巷"
"10004020","竹東鎮","柯湖路三段396巷","水仙路"
"10004020","竹東鎮","下員山路30巷","下員山路"
"10004020","竹東鎮","竹中路51巷","竹中路"
"10004020","竹東鎮","竹中路51巷","竹中路51巷13弄"
"10004020","竹東鎮","竹中路51巷13弄","竹中路51巷"
"10004020","竹東鎮","中興路四段1003巷","中興路四段"
"10004020","竹東鎮","竹美路一段76巷","竹美路一段"
"10004020","竹東鎮","竹美路一段76巷","竹美路一段290巷"
