"TOWNCODE","TOWNNAME","RoadList","IntersectionList","IntersectionRoadName","Geometry"
"10004110","峨眉鄉","學府路","學府路20巷","10004110 學府路與學府路20巷交叉口","POINT (120.96592934906028 24.6841737200412)"
"10004110","峨眉鄉","學府路20巷","學府路","10004110 學府路20巷與學府路交叉口","POINT (120.96592934906028 24.6841737200412)"
"10004110","峨眉鄉","忠義街36巷","忠義街","10004110 忠義街36巷與忠義街交叉口","POINT (120.98813525793582 24.688001166320817)"
"10004110","峨眉鄉","忠義街36巷","忠義街50巷","10004110 忠義街36巷與忠義街50巷交叉口","POINT (120.9873733190235 24.688604464824266)"
"10004110","峨眉鄉","忠義街","太平街","10004110 忠義街與太平街交叉口","POINT (120.98746010989623 24.687164426297272)"
"10004110","峨眉鄉","忠義街","忠義街50巷","10004110 忠義街與忠義街50巷交叉口","POINT (120.98773204779582 24.68778026944392)"
"10004110","峨眉鄉","太平街2巷","太平街","10004110 太平街2巷與太平街交叉口","POINT (120.98773178879105 24.687090947189517)"
"10004110","峨眉鄉","東崎路166巷","東崎路","10004110 東崎路166巷與東崎路交叉口","POINT (120.98809184226479 24.712561268287971)"
"10004110","峨眉鄉","文化街","大同街","10004110 文化街與大同街交叉口","POINT (120.98843983672919 24.687404782704618)"
"10004110","峨眉鄉","文化街","太平街","10004110 文化街與太平街交叉口","POINT (120.98832542677712 24.687077450164225)"
"10004110","峨眉鄉","文化街","忠義街","10004110 文化街與忠義街交叉口","POINT (120.98813525793582 24.688001166320817)"
"10004110","峨眉鄉","文化街","忠義街36巷","10004110 文化街與忠義街36巷交叉口","POINT (120.98813525793582 24.688001166320817)"
"10004110","峨眉鄉","太平街","太平街8巷","10004110 太平街與太平街8巷交叉口","POINT (120.98868830771926 24.68707856172631)"
"10004110","峨眉鄉","太平街","文化街","10004110 太平街與文化街交叉口","POINT (120.98832542677712 24.687077450164225)"
"10004110","峨眉鄉","大同街","大同街19巷","10004110 大同街與大同街19巷交叉口","POINT (120.98903311228833 24.687820191248875)"
"10004110","峨眉鄉","大同街","大同街35巷","10004110 大同街與大同街35巷交叉口","POINT (120.98867555533263 24.687495187952607)"
"10004110","峨眉鄉","大同街","文化街","10004110 大同街與文化街交叉口","POINT (120.98843983672919 24.687404782704618)"
"10004110","峨眉鄉","大同街","忠義街","10004110 大同街與忠義街交叉口","POINT (120.98880451361742 24.688302807028947)"
"10004110","峨眉鄉","三峰公路","三峰路一段5巷","10004110 三峰公路與三峰路一段5巷交叉口","POINT (120.99635716495129 24.715010885743823)"
"10004110","峨眉鄉","三峰公路","東崎路","10004110 三峰公路與東崎路交叉口","POINT (120.98850057873881 24.705867924565098)"
"10004110","峨眉鄉","東崎路","三峰公路","10004110 東崎路與三峰公路交叉口","POINT (120.98850057873881 24.705867924565098)"
"10004110","峨眉鄉","太平街8巷","太平街","10004110 太平街8巷與太平街交叉口","POINT (120.98868830771926 24.68707856172631)"
"10004110","峨眉鄉","太平街8巷","太平街8巷2弄","10004110 太平街8巷與太平街8巷2弄交叉口","POINT (120.98891422281315 24.685591126229554)"
"10004110","峨眉鄉","大同街19巷","大同街9巷","10004110 大同街19巷與大同街9巷交叉口","POINT (120.98953308318528 24.687975626474042)"
"10004110","峨眉鄉","大同街9巷","大同街19巷","10004110 大同街9巷與大同街19巷交叉口","POINT (120.98953308318528 24.687975626474042)"
"10004110","峨眉鄉","赤科山農路","赤柯坪步道","10004110 赤科山農路與赤柯坪步道交叉口","POINT (120.99547965596139 24.679508923098354)"
"10004110","峨眉鄉","赤科山農路","獅山街","10004110 赤科山農路與獅山街交叉口","POINT (121.0177558207746 24.686797748417405)"
"10004110","峨眉鄉","三峰路一段5巷","三峰公路","10004110 三峰路一段5巷與三峰公路交叉口","POINT (120.99635716495129 24.715010885743823)"
"10004110","峨眉鄉","梯仔桄農路","石峰道路","10004110 梯仔桄農路與石峰道路交叉口","POINT (121.00227351511069 24.698438058569593)"
"10004110","峨眉鄉","中豐公路","峨眉街","10004110 中豐公路與峨眉街交叉口","POINT (121.01488369102958 24.69045704755473)"
"10004110","峨眉鄉","社寮坑二號農路","獅山道路","10004110 社寮坑二號農路與獅山道路交叉口","POINT (121.01680850011223 24.673311728153806)"
"10004110","峨眉鄉","獅山道路","社寮坑二號農路","10004110 獅山道路與社寮坑二號農路交叉口","POINT (121.01680850011223 24.673311728153806)"
"10004110","峨眉鄉","獅山道路","社寮坑三號農路","10004110 獅山道路與社寮坑三號農路交叉口","POINT (121.01798810216928 24.674722202367775)"
"10004110","峨眉鄉","獅山道路","獅山街","10004110 獅山道路與獅山街交叉口","POINT (121.01716122680921 24.685752547342247)"
