"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"68000050","蘆竹區","中油街","中正東路二段227巷"
"68000050","蘆竹區","中油街","中油街304巷"
"68000050","蘆竹區","中油街","中油街310巷"
"68000050","蘆竹區","中油街","中油街316巷"
"68000050","蘆竹區","中油街","中油街321巷"
"68000050","蘆竹區","中油街","中油街327巷"
"68000050","蘆竹區","中油街","中油街333巷"
"68000050","蘆竹區","中油街","中油街339巷"
"68000050","蘆竹區","中油街","中油街345巷"
"68000050","蘆竹區","中油街","中油街351巷"
"68000050","蘆竹區","中油街","中油街364巷"
"68000050","蘆竹區","中油街","中油街370巷"
"68000050","蘆竹區","中油街","中油街375巷"
"68000050","蘆竹區","中油街","中油街376巷"
"68000050","蘆竹區","中油街","中油街381巷"
"68000050","蘆竹區","中油街","中油街387巷"
"68000050","蘆竹區","中油街303巷","中正東路一段840巷"
"68000050","蘆竹區","中油街303巷","中油街"
"68000050","蘆竹區","中油街304巷","中油街"
"68000050","蘆竹區","中油街309巷","中油街"
"68000050","蘆竹區","中油街309巷","中油街310巷"
"68000050","蘆竹區","中油街316巷","中油街"
"68000050","蘆竹區","中油街321巷","中油街"
"68000050","蘆竹區","中油街339巷","中油街"
"68000050","蘆竹區","中油街345巷","中油街"
"68000050","蘆竹區","中油街351巷","中油街"
"68000050","蘆竹區","中油街351巷","中油街357巷"
"68000050","蘆竹區","中油街352巷","中油街"
"68000050","蘆竹區","中油街352巷","中油街351巷"
"68000050","蘆竹區","中油街357巷","中油街"
"68000050","蘆竹區","中油街357巷","中油街351巷"
"68000050","蘆竹區","中油街358巷","中油街"
"68000050","蘆竹區","中油街358巷","中油街357巷"
"68000050","蘆竹區","中正東路一段557巷","南青路"
"68000050","蘆竹區","中油街363巷","中油街"
"68000050","蘆竹區","中油街363巷","中油街364巷"
"68000050","蘆竹區","中油街364巷","中油街"
"68000050","蘆竹區","中油街376巷","中油街375巷"
"68000050","蘆竹區","大新路938巷","大新路"
"68000050","蘆竹區","大新路938巷","大新路814巷"
"68000050","蘆竹區","大新路938巷","大新路937巷"
"68000050","蘆竹區","大新路938巷","大新路938巷260弄"
"68000050","蘆竹區","大新路938巷","大新路938巷261弄"
"68000050","蘆竹區","大新路938巷","新生路289巷"
"68000050","蘆竹區","高鐵橋下桃園段道路","大竹北路"
"68000050","蘆竹區","高鐵橋下桃園段道路","大竹交流道"
"68000050","蘆竹區","高鐵橋下桃園段道路","南青路"
"68000050","蘆竹區","中油街381巷","中油街"
"68000050","蘆竹區","大新路1018巷","大新路1018巷155弄"
"68000050","蘆竹區","大新路1018巷","大新路938巷261弄"
"68000050","蘆竹區","大新路1018巷","中油街357巷"
"68000050","蘆竹區","大新路938巷261弄","大新路938巷"
"68000050","蘆竹區","大新路938巷261弄","大新路938巷260弄"
"68000050","蘆竹區","大新路938巷261弄","中油街357巷"
"68000050","蘆竹區","中油街387巷","中油街"
"68000050","蘆竹區","大竹交流道","高鐵橋下桃園段道路"
"68000050","蘆竹區","大竹交流道","機場支線"
"68000050","蘆竹區","新生路599巷100弄","新生路599巷"
"68000050","蘆竹區","大新路814巷","大新路"
"68000050","蘆竹區","大新路814巷","大新路814巷335弄"
"68000050","蘆竹區","大新路814巷","大新路814巷361弄"
"68000050","蘆竹區","大新路814巷","大新路814巷385弄"
"68000050","蘆竹區","大新路814巷","新生路289巷"
"68000050","蘆竹區","大新路814巷","新生路439巷"
"68000050","蘆竹區","大竹北路481巷","大竹北路"
"68000050","蘆竹區","大竹北路481巷","大竹北路1085巷"
"68000050","蘆竹區","新生路599巷","新生路"
"68000050","蘆竹區","新生路599巷","新生路599巷66弄"
"68000050","蘆竹區","新生路599巷","新生路599巷82弄"
"68000050","蘆竹區","新生路599巷","新生路600巷"
"68000050","蘆竹區","新生路599巷82弄","新生路599巷"
"68000050","蘆竹區","大新路814巷361弄","大新路814巷"
"68000050","蘆竹區","新生路599巷66弄","新生路599巷"
"68000050","蘆竹區","大新路814巷385弄","大新路938巷260弄"
"68000050","蘆竹區","大竹北路","大竹北路1067巷"
"68000050","蘆竹區","大竹北路","大竹北路1085巷"
"68000050","蘆竹區","大竹北路","大竹北路151巷"
"68000050","蘆竹區","大竹北路","大竹北路15巷"
"68000050","蘆竹區","大竹北路","大竹北路331巷"
