"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"10016010","馬公市","新復路1巷","復國路"
"10016010","馬公市","新復路1巷","新復路2巷"
"10016010","馬公市","新復路2巷","新復路"
"10016010","馬公市","新復路2巷","新復路1巷"
"10016010","馬公市","介壽路","民生路"
"10016010","馬公市","介壽路","新復路"
"10016010","馬公市","介壽路","樹德路"
"10016010","馬公市","新復路","復國路"
"10016010","馬公市","新復路","新復路1巷"
"10016010","馬公市","新復路","新復路2巷"
"10016010","馬公市","民生路","三民路"
"10016010","馬公市","民生路","中正路"
"10016010","馬公市","民生路","介壽路"
"10016010","馬公市","民生路","民生路49巷"
"10016010","馬公市","民生路","民族路"
"10016010","馬公市","民生路","民權路"
"10016010","馬公市","民生路","建國路"
"10016010","馬公市","民生路","重慶街"
"10016010","馬公市","復國路","中山路"
"10016010","馬公市","復國路","仁愛路"
"10016010","馬公市","復國路","民族路"
"10016010","馬公市","復國路","民族路37巷"
"10016010","馬公市","復國路","復國路2巷"
"10016010","馬公市","復國路2巷","中山路"
"10016010","馬公市","復國路2巷","中山路12巷"
"10016010","馬公市","中山路12巷","中山路"
"10016010","馬公市","新興路","民族路"
"10016010","馬公市","新興路","復國路2巷"
"10016010","馬公市","民族路37巷","復國路"
"10016010","馬公市","中山路","中正路"
"10016010","馬公市","中山路","民福路"
"10016010","馬公市","中山路","臨海路"
"10016010","馬公市","民族路","中山路"
"10016010","馬公市","民族路","中興路"
"10016010","馬公市","民族路","仁愛路"
"10016010","馬公市","民族路","仁愛路68巷"
"10016010","馬公市","民族路","介壽路"
"10016010","馬公市","民族路","民生路"
"10016010","馬公市","民族路","光明路"
"10016010","馬公市","民族路","成功街"
"10016010","馬公市","民族路","忠孝路"
"10016010","馬公市","民族路","忠孝路101巷"
"10016010","馬公市","民族路","忠孝路89巷"
"10016010","馬公市","民族路","明遠路"
"10016010","馬公市","民族路","治平路"
"10016010","馬公市","民族路","保安街"
"10016010","馬公市","民族路","復國路"
"10016010","馬公市","民族路","復國路2巷"
"10016010","馬公市","民族路","惠安路"
"10016010","馬公市","民族路","陽明路"
"10016010","馬公市","民族路","新興路"
"10016010","馬公市","民族路","樹德路"
"10016010","馬公市","民族路","臨海路"
"10016010","馬公市","臨海路","中山路"
"10016010","馬公市","惠安路","中山路8巷"
"10016010","馬公市","惠安路","中正路"
"10016010","馬公市","惠安路","中正路2巷"
"10016010","馬公市","惠安路","復國路2巷"
"10016010","馬公市","惠安路","惠安一路"
"10016010","馬公市","保安街","中央街"
"10016010","馬公市","保安街","民族路"
"10016010","馬公市","保安街","惠民路"
"10016010","馬公市","中山路8巷","惠安路"
"10016010","馬公市","仁愛路68巷","仁愛路"
"10016010","馬公市","仁愛路68巷","民族路"
"10016010","馬公市","光明路","中正路"
"10016010","馬公市","光明路","民族路"
"10016010","馬公市","光明路","民權路"
"10016010","馬公市","光明路","建國路"
"10016010","馬公市","光明路","重慶街"
"10016010","馬公市","光明路","惠民一路"
"10016010","馬公市","正義街","中央街1巷"
"10016010","馬公市","正義街","惠民路"
"10016010","馬公市","中山路6巷","中山路"
"10016010","馬公市","中興路","中正路"
"10016010","馬公市","中興路","民生路49巷"
"10016010","馬公市","中興路","民族路"
"10016010","馬公市","中興路","民福路"
"10016010","馬公市","中興路","民權路"
"10016010","馬公市","中興路","建國路"
"10016010","馬公市","中興路","重慶街"
"10016010","馬公市","中興路","復國路"
"10016010","馬公市","中興路","惠民一路"
"10016010","馬公市","仁愛路長安巷","保安街"
"10016010","馬公市","仁愛路","中正路"
"10016010","馬公市","仁愛路","仁愛路長安巷"
"10016010","馬公市","仁愛路","民福路"
"10016010","馬公市","仁愛路","民權路"
"10016010","馬公市","仁愛路","建國路"
"10016010","馬公市","仁愛路","啟明街"
"10016010","馬公市","仁愛路","惠民一路"
"10016010","馬公市","中央街","中正路3巷"
"10016010","馬公市","中央街","惠民路"
"10016010","馬公市","中央街","惠安路"
"10016010","馬公市","惠安一路","中山路"
"10016010","馬公市","惠安一路","惠安路"
"10016010","馬公市","惠安一路","臨海路"
"10016010","馬公市","惠民一路","中央街"
"10016010","馬公市","惠民一路","中正路5巷"
"10016010","馬公市","惠民一路","中興路"
"10016010","馬公市","惠民一路","仁愛路"
"10016010","馬公市","惠民一路","民生路"
"10016010","馬公市","惠民一路","光明路"
"10016010","馬公市","惠民一路","保安街"
"10016010","馬公市","惠民一路","惠民路"
"10016010","馬公市","中正路5巷","中正路"
"10016010","馬公市","中正路5巷","惠民一路"
"10016010","馬公市","中央街1巷","中央街"
"10016010","馬公市","中正路3巷","中央街"
"10016010","馬公市","中正路3巷","中正路"
"10016010","馬公市","中正路","中山路"
"10016010","馬公市","中正路","中正路2巷"
"10016010","馬公市","中正路","中正路3巷"
"10016010","馬公市","中正路","中正路5巷"
"10016010","馬公市","中正路","中正路71巷"
"10016010","馬公市","中正路","中興路"
"10016010","馬公市","中正路","仁愛路"
"10016010","馬公市","中正路","民生路"
"10016010","馬公市","中正路","永興街"
"10016010","馬公市","中正路","光明路"
"10016010","馬公市","中正路","光武街"
"10016010","馬公市","中正路","惠民路"
"10016010","馬公市","中正路","惠安路"
"10016010","馬公市","中正路","樹德路"
"10016010","馬公市","中正路","臨海路"
"10016010","馬公市","治平路","中正路"
"10016010","馬公市","治平路","中華路"
"10016010","馬公市","治平路","文化路"
"10016010","馬公市","治平路","民族路"
"10016010","馬公市","治平路","光復路"
"10016010","馬公市","治平路","忠孝路"
"10016010","馬公市","治平路","忠孝路3巷"
"10016010","馬公市","治平路","信義路"
"10016010","馬公市","光武街","中正路"
"10016010","馬公市","光武街","建國路"
"10016010","馬公市","永興街","中正路"
"10016010","馬公市","永興街","中正路71巷"
"10016010","馬公市","永興街","建國路"
"10016010","馬公市","明遠路","民族路"
"10016010","馬公市","明遠路","光復路"
"10016010","馬公市","明遠路","忠孝路"
"10016010","馬公市","明遠路","信義路"
"10016010","馬公市","建國路","中興路"
"10016010","馬公市","建國路","仁愛路"
"10016010","馬公市","建國路","永興街"
"10016010","馬公市","建國路","光明路"
"10016010","馬公市","建國路","啟明街"
"10016010","馬公市","建國路","惠民路"
"10016010","馬公市","啟明街","中山路2巷"
"10016010","馬公市","啟明街","仁愛路"
"10016010","馬公市","啟明街","建國路"
"10016010","馬公市","啟明街","惠民路"
"10016010","馬公市","樹德路","中正路"
"10016010","馬公市","樹德路","中華路"
"10016010","馬公市","樹德路","文化路"
"10016010","馬公市","樹德路","文康街"
"10016010","馬公市","樹德路","光復路"
"10016010","馬公市","樹德路","新生路"
"10016010","馬公市","中山路2巷","中山路"
"10016010","馬公市","惠民路","中山路2巷"
"10016010","馬公市","惠民路","民權路"
"10016010","馬公市","重慶街","中興路"
"10016010","馬公市","重慶街","仁愛路"
"10016010","馬公市","重慶街","光明路"
"10016010","馬公市","重慶街","啟明街"
"10016010","馬公市","文康街","民生路"
"10016010","馬公市","忠孝路89巷","民族路"
"10016010","馬公市","忠孝路89巷","忠孝路"
"10016010","馬公市","忠孝路","民族路"
"10016010","馬公市","忠孝路","自立路"
"10016010","馬公市","忠孝路","忠孝路4巷"
"10016010","馬公市","忠孝路","忠孝路77巷"
"10016010","馬公市","忠孝路","忠孝路91巷"
"10016010","馬公市","忠孝路","明遠路"
"10016010","馬公市","忠孝路","治平路"
"10016010","馬公市","忠孝路","信義路17巷"
"10016010","馬公市","忠孝路","信義路9巷"
"10016010","馬公市","忠孝路","樹德路"
"10016010","馬公市","民權路","中山路"
"10016010","馬公市","民權路","中興路"
"10016010","馬公市","民權路","光明路"
"10016010","馬公市","忠孝路101巷","民族路"
"10016010","馬公市","忠孝路101巷","忠孝路"
"10016010","馬公市","文化路","民生路"
"10016010","馬公市","文化路","光復路5巷"
"10016010","馬公市","文化路","重慶街"
"10016010","馬公市","文化路","樹德路"
"10016010","馬公市","光復路5巷","文化路"
"10016010","馬公市","光復路5巷","光復路"
"10016010","馬公市","信義路17巷","忠孝路"
"10016010","馬公市","信義路17巷","信義路"
"10016010","馬公市","忠孝路65巷","忠孝路"
"10016010","馬公市","忠孝路77巷","忠孝路"
"10016010","馬公市","陽明路","三多路"
"10016010","馬公市","陽明路","文光路"
"10016010","馬公市","陽明路","文光路25巷"
"10016010","馬公市","陽明路","民族路"
"10016010","馬公市","陽明路","永平街"
"10016010","馬公市","陽明路","永安街"
"10016010","馬公市","陽明路","永和街"
"10016010","馬公市","陽明路","永和街32巷"
"10016010","馬公市","陽明路","光復路"
"10016010","馬公市","陽明路","成功街97巷"
"10016010","馬公市","陽明路","信義路"
"10016010","馬公市","陽明路","陽明路92巷"
"10016010","馬公市","陽明路","陽明路9巷"
"10016010","馬公市","明遠路12巷","明遠路"
"10016010","馬公市","民福路","三民路"
"10016010","馬公市","民福路","中興路"
"10016010","馬公市","民福路","仁愛路"
"10016010","馬公市","民福路","海埔路"
"10016010","馬公市","民福路","海埔路41巷"
"10016010","馬公市","民福路","興港南街"
"10016010","馬公市","民福路","臨海路6巷"
"10016010","馬公市","臨海路6巷","民福路"
"10016010","馬公市","臨海路6巷","臨海路"
"10016010","馬公市","成功街","三多路"
"10016010","馬公市","成功街","文光路61巷"
"10016010","馬公市","成功街","民族路"
"10016010","馬公市","成功街","成功街109巷"
"10016010","馬公市","成功街","成功街18巷"
"10016010","馬公市","成功街","成功街43巷"
"10016010","馬公市","成功街","成功街8巷"
"10016010","馬公市","成功街","成功街97巷"
"10016010","馬公市","成功街","自強街"
"10016010","馬公市","信義路9巷","明遠路12巷"
"10016010","馬公市","信義路","三多路"
"10016010","馬公市","信義路","文化路"
"10016010","馬公市","信義路","光復路37巷"
"10016010","馬公市","信義路","自立路"
"10016010","馬公市","信義路","忠孝路3巷"
"10016010","馬公市","信義路","忠孝路4巷"
"10016010","馬公市","信義路","明遠路"
"10016010","馬公市","信義路","治平路"
"10016010","馬公市","信義路","信義路17巷"
"10016010","馬公市","信義路","信義路9巷"
"10016010","馬公市","忠孝路91巷","忠孝路"
"10016010","馬公市","光復路37巷","光復路"
"10016010","馬公市","光復路37巷","信義路"
"10016010","馬公市","三民路","三民路7巷"
"10016010","馬公市","三民路","民福路"
"10016010","馬公市","三民路","民權路"
"10016010","馬公市","光復路","三民路"
"10016010","馬公市","光復路","大仁街"
"10016010","馬公市","光復路","大勇街"
"10016010","馬公市","光復路","大智街"
"10016010","馬公市","光復路","大智街24巷13弄"
