"TOWNCODE","TOWNNAME","RoadList","IntersectionList","IntersectionRoadName","Geometry"
"10016010","馬公市","新復路1巷","復國路","10016010 新復路1巷與復國路交叉口","POINT (119.56116256819803 23.56327934416646)"
"10016010","馬公市","新復路1巷","新復路2巷","10016010 新復路1巷與新復路2巷交叉口","POINT (119.56062454338803 23.5632057886163)"
"10016010","馬公市","新復路2巷","新復路","10016010 新復路2巷與新復路交叉口","POINT (119.56111150019569 23.563582958886514)"
"10016010","馬公市","新復路2巷","新復路1巷","10016010 新復路2巷與新復路1巷交叉口","POINT (119.56062454338803 23.5632057886163)"
"10016010","馬公市","介壽路","民生路","10016010 介壽路與民生路交叉口","POINT (119.56267766054566 23.567690493621456)"
"10016010","馬公市","介壽路","新復路","10016010 介壽路與新復路交叉口","POINT (119.56092805648473 23.564222449706335)"
"10016010","馬公市","介壽路","樹德路","10016010 介壽路與樹德路交叉口","POINT (119.56479747592289 23.568994960249256)"
"10016010","馬公市","新復路","復國路","10016010 新復路與復國路交叉口","POINT (119.56116256819803 23.56327934416646)"
"10016010","馬公市","新復路","新復路1巷","10016010 新復路與新復路1巷交叉口","POINT (119.56116256819803 23.56327934416646)"
"10016010","馬公市","新復路","新復路2巷","10016010 新復路與新復路2巷交叉口","POINT (119.56111150019569 23.563582958886514)"
"10016010","馬公市","民生路","三民路","10016010 民生路與三民路交叉口","POINT (119.56791631668477 23.567429512162335)"
"10016010","馬公市","民生路","中正路","10016010 民生路與中正路交叉口","POINT (119.56555899395244 23.567646262265214)"
"10016010","馬公市","民生路","介壽路","10016010 民生路與介壽路交叉口","POINT (119.56267766054566 23.567690493621456)"
"10016010","馬公市","民生路","民生路49巷","10016010 民生路與民生路49巷交叉口","POINT (119.56464009186686 23.567657189028125)"
"10016010","馬公市","民生路","民族路","10016010 民生路與民族路交叉口","POINT (119.56430107353583 23.567662303472559)"
"10016010","馬公市","民生路","民權路","10016010 民生路與民權路交叉口","POINT (119.56791631668477 23.567429512162335)"
"10016010","馬公市","民生路","建國路","10016010 民生路與建國路交叉口","POINT (119.56651228161661 23.56757054564423)"
"10016010","馬公市","民生路","重慶街","10016010 民生路與重慶街交叉口","POINT (119.56726944333025 23.567471067136069)"
"10016010","馬公市","復國路","中山路","10016010 復國路與中山路交叉口","POINT (119.56268627245356 23.56318696220859)"
"10016010","馬公市","復國路","仁愛路","10016010 復國路與仁愛路交叉口","POINT (119.56397155654213 23.565880937155555)"
"10016010","馬公市","復國路","民族路","10016010 復國路與民族路交叉口","POINT (119.56397155654213 23.565880937155555)"
"10016010","馬公市","復國路","民族路37巷","10016010 復國路與民族路37巷交叉口","POINT (119.56354105017942 23.566429124304705)"
"10016010","馬公市","復國路","復國路2巷","10016010 復國路與復國路2巷交叉口","POINT (119.56268627245356 23.56318696220859)"
"10016010","馬公市","復國路2巷","中山路","10016010 復國路2巷與中山路交叉口","POINT (119.56268627245356 23.56318696220859)"
"10016010","馬公市","復國路2巷","中山路12巷","10016010 復國路2巷與中山路12巷交叉口","POINT (119.56301646843531 23.563730677029184)"
"10016010","馬公市","中山路12巷","中山路","10016010 中山路12巷與中山路交叉口","POINT (119.56315905504641 23.563289283473694)"
"10016010","馬公市","新興路","民族路","10016010 新興路與民族路交叉口","POINT (119.5638410999868 23.56515092057856)"
"10016010","馬公市","新興路","復國路2巷","10016010 新興路與復國路2巷交叉口","POINT (119.56349666054246 23.565096088913435)"
"10016010","馬公市","民族路37巷","復國路","10016010 民族路37巷與復國路交叉口","POINT (119.56354105017942 23.566429124304705)"
"10016010","馬公市","中山路","中正路","10016010 中山路與中正路交叉口","POINT (119.56513572173628 23.563539214063553)"
"10016010","馬公市","中山路","民福路","10016010 中山路與民福路交叉口","POINT (119.56716511028162 23.563514666168942)"
"10016010","馬公市","中山路","臨海路","10016010 中山路與臨海路交叉口","POINT (119.5637658833889 23.563505355487791)"
"10016010","馬公市","民族路","中山路","10016010 民族路與中山路交叉口","POINT (119.5637658833889 23.563505355487791)"
"10016010","馬公市","民族路","中興路","10016010 民族路與中興路交叉口","POINT (119.56422473278531 23.567287988549879)"
"10016010","馬公市","民族路","仁愛路","10016010 民族路與仁愛路交叉口","POINT (119.56397155654213 23.565880937155555)"
"10016010","馬公市","民族路","仁愛路68巷","10016010 民族路與仁愛路68巷交叉口","POINT (119.56403717737385 23.566243099539463)"
"10016010","馬公市","民族路","介壽路","10016010 民族路與介壽路交叉口","POINT (119.56479747592289 23.568994960249256)"
"10016010","馬公市","民族路","民生路","10016010 民族路與民生路交叉口","POINT (119.56430107353583 23.567662303472559)"
"10016010","馬公市","民族路","光明路","10016010 民族路與光明路交叉口","POINT (119.56409570795063 23.566609983364117)"
"10016010","馬公市","民族路","成功街","10016010 民族路與成功街交叉口","POINT (119.56784688092887 23.575729201541492)"
"10016010","馬公市","民族路","忠孝路","10016010 民族路與忠孝路交叉口","POINT (119.56765466882791 23.574287619777863)"
"10016010","馬公市","民族路","忠孝路101巷","10016010 民族路與忠孝路101巷交叉口","POINT (119.56725047482962 23.573495753226496)"
"10016010","馬公市","民族路","忠孝路89巷","10016010 民族路與忠孝路89巷交叉口","POINT (119.56698343193989 23.573123310692267)"
"10016010","馬公市","民族路","明遠路","10016010 民族路與明遠路交叉口","POINT (119.56567382568653 23.57079998053473)"
"10016010","馬公市","民族路","治平路","10016010 民族路與治平路交叉口","POINT (119.56516259797559 23.569745434604158)"
"10016010","馬公市","民族路","保安街","10016010 民族路與保安街交叉口","POINT (119.56387895784769 23.565369506197783)"
"10016010","馬公市","民族路","復國路","10016010 民族路與復國路交叉口","POINT (119.56397155654213 23.565880937155555)"
"10016010","馬公市","民族路","復國路2巷","10016010 民族路與復國路2巷交叉口","POINT (119.5638709601767 23.564177035741636)"
"10016010","馬公市","民族路","惠安路","10016010 民族路與惠安路交叉口","POINT (119.5638709601767 23.564177035741636)"
"10016010","馬公市","民族路","陽明路","10016010 民族路與陽明路交叉口","POINT (119.56771572560035 23.574768910856619)"
