"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"66000250","龍井區","工業南路","環港南路"
"66000250","龍井區","工業南路","環港路"
"66000250","龍井區","環港南路","工業東路"
"66000250","龍井區","環港南路","龍昌路"
"66000250","龍井區","環港南路","環港路"
"66000250","龍井區","環港路","環港南路"
"66000250","龍井區","環西路","九二路"
"66000250","龍井區","環西路","九三路"
"66000250","龍井區","環西路","中央路"
"66000250","龍井區","環西路","環南路"
"66000250","龍井區","九三路","南十路"
"66000250","龍井區","九三路","環西路"
"66000250","龍井區","南十路","九三路"
"66000250","龍井區","南十路","中央路"
"66000250","龍井區","南十路","環南路"
"66000250","龍井區","九二路","南十路"
"66000250","龍井區","九二路","環西路"
"66000250","龍井區","工業東路","龍昌路"
"66000250","龍井區","工業東路","環港南路"
"66000250","龍井區","龍昌路","工業東路"
"66000250","龍井區","龍昌路","中央路"
"66000250","龍井區","龍昌路","中南一路一段"
"66000250","龍井區","龍昌路","北八路"
"66000250","龍井區","龍昌路","北四路"
"66000250","龍井區","龍昌路","南堤路"
"66000250","龍井區","龍昌路","龍昌路20巷"
"66000250","龍井區","龍昌路","環東路"
"66000250","龍井區","龍昌路","環港南路"
"66000250","龍井區","龍昌路","臨港路一段"
"66000250","龍井區","龍昌路","臨港路二段"
"66000250","龍井區","中央路","北二路"
"66000250","龍井區","中央路","北八路"
"66000250","龍井區","中央路","北五路"
"66000250","龍井區","中央路","北六路"
"66000250","龍井區","中央路","南一路"
"66000250","龍井區","中央路","南二路"
"66000250","龍井區","中央路","南三路"
"66000250","龍井區","中央路","龍昌路"
"66000250","龍井區","中央路","環西路"
"66000250","龍井區","中央路","環東路"
"66000250","龍井區","南堤路","龍昌路"
"66000250","龍井區","南堤路","環港南路"
"66000250","龍井區","南六路","中央路"
"66000250","龍井區","南六路","東九路"
"66000250","龍井區","南六路","環南路"
"66000250","龍井區","北八路","中央路"
"66000250","龍井區","南五路","中央路"
"66000250","龍井區","南五路","北五路"
"66000250","龍井區","南五路","東九路"
"66000250","龍井區","南五路","環南路"
"66000250","龍井區","環南路","東九路"
"66000250","龍井區","環南路","南二路"
"66000250","龍井區","環南路","南三路"
"66000250","龍井區","環南路","南五路"
"66000250","龍井區","環南路","環東路"
"66000250","龍井區","東九路","南二路"
"66000250","龍井區","東九路","南五路"
"66000250","龍井區","北六路","中央路"
"66000250","龍井區","南三路","中央路"
"66000250","龍井區","南三路","東九路"
"66000250","龍井區","南三路","東二路"
"66000250","龍井區","南三路","東八路"
"66000250","龍井區","南三路","東三路"
"66000250","龍井區","南三路","東五路"
"66000250","龍井區","南三路","東四路"
"66000250","龍井區","南三路","環南路"
"66000250","龍井區","東七路","南三路"
"66000250","龍井區","南二路","東一路"
"66000250","龍井區","南二路","東七路"
"66000250","龍井區","南二路","東二路"
"66000250","龍井區","南二路","東八路"
"66000250","龍井區","南二路","東三路"
"66000250","龍井區","南二路","東四路"
"66000250","龍井區","東六路","南二路"
"66000250","龍井區","東六路","南三路"
"66000250","龍井區","東五路","南二路"
"66000250","龍井區","東五路","南三路"
"66000250","龍井區","北四路","中央路"
"66000250","龍井區","東一路","南二路"
"66000250","龍井區","東一路","南三路"
"66000250","龍井區","龍港路","三港路水裡港巷"
"66000250","龍井區","龍港路","三港路田仔內巷"
"66000250","龍井區","龍港路","龍昌路"
"66000250","龍井區","龍港路","龍港路225巷"
"66000250","龍井區","龍港路","龍港路226巷"
"66000250","龍井區","龍港路","龍港路316巷"
"66000250","龍井區","龍港路","龍港路475巷"
"66000250","龍井區","龍港路","龍港路479巷"
"66000250","龍井區","龍港路","龍港路501巷"
"66000250","龍井區","龍港路","臨港路一段"
"66000250","龍井區","北二路","南二路"
"66000250","龍井區","南一路","中央路"
"66000250","龍井區","北一路","中央路"
"66000250","龍井區","中南一路一段","龍昌路"
"66000250","龍井區","三港路水裡港巷41弄","三港路水裡港巷"
"66000250","龍井區","三港路水裡港巷41弄","三港路水裡港巷36弄"
"66000250","龍井區","三港路水裡港巷36弄","三港路水裡港巷"
"66000250","龍井區","三港路水裡港巷","三港路水裡港巷3弄"
"66000250","龍井區","三港路水裡港巷","三港路田仔內巷"
"66000250","龍井區","三港路水裡港巷","三港路富美巷"
"66000250","龍井區","三港路水裡港巷","茄投路"
"66000250","龍井區","三港路水裡港巷","茄投路海埔仔巷"
"66000250","龍井區","三港路水裡港巷","龍港路"
"66000250","龍井區","三港路水裡港巷","龍港路225巷"
"66000250","龍井區","三港路水裡港巷","龍港路349巷"
"66000250","龍井區","三港路水裡港巷","龍港路349巷48弄"
"66000250","龍井區","三港路水裡港巷","龍港路477巷"
"66000250","龍井區","三港路水裡港巷","龍港路479巷"
"66000250","龍井區","三港路水裡港巷","龍港路501巷"
"66000250","龍井區","龍港路501巷","三港路水裡港巷"
"66000250","龍井區","龍港路501巷","龍港路"
"66000250","龍井區","龍港路501巷28弄","龍港路501巷"
"66000250","龍井區","龍港路479巷","三港路水裡港巷"
"66000250","龍井區","龍港路479巷","三港路富美巷"
"66000250","龍井區","龍港路479巷","龍港路"
"66000250","龍井區","龍昌路26巷","龍昌路"
"66000250","龍井區","龍昌路26巷","龍昌路20巷"
"66000250","龍井區","龍昌路26巷","臨港路二段59巷"
"66000250","龍井區","三港路富美巷","三港路水裡港巷"
"66000250","龍井區","龍港路477巷","三港路水裡港巷"
"66000250","龍井區","龍港路477巷","龍港路"
"66000250","龍井區","龍港路349巷48弄","三港路水裡港巷"
"66000250","龍井區","龍港路349巷48弄","龍港路349巷"
