"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
63000030,"大安區","羅斯福路二段15巷","和平東路一段11巷"
63000030,"大安區","羅斯福路二段15巷","羅斯福路二段"
63000030,"大安區","羅斯福路二段15巷","羅斯福路二段35巷"
63000030,"大安區","杭州南路二段","杭州南路二段25巷"
63000030,"大安區","杭州南路二段","杭州南路二段59巷"
63000030,"大安區","杭州南路二段","杭州南路二段61巷"
63000030,"大安區","杭州南路二段","杭州南路二段93巷"
63000030,"大安區","杭州南路二段","杭州南路二段9巷"
63000030,"大安區","杭州南路二段","金華街"
63000030,"大安區","杭州南路二段","愛國東路"
63000030,"大安區","杭州南路二段","潮州街"
63000030,"大安區","杭州南路二段93巷","杭州南路二段"
63000030,"大安區","杭州南路二段93巷","潮州街48巷"
63000030,"大安區","杭州南路二段93巷","潮州街60巷"
63000030,"大安區","杭州南路二段93巷","潮州街82巷"
63000030,"大安區","杭州南路二段93巷","羅斯福路二段35巷19弄"
63000030,"大安區","潮州街","永康街"
63000030,"大安區","潮州街","杭州南路二段"
63000030,"大安區","潮州街","金山南路二段"
63000030,"大安區","潮州街","青田街2巷"
63000030,"大安區","潮州街","青田街6巷"
63000030,"大安區","潮州街","潮州街107巷"
63000030,"大安區","潮州街","潮州街130巷"
63000030,"大安區","潮州街","潮州街52巷"
63000030,"大安區","潮州街","潮州街55巷"
63000030,"大安區","潮州街","潮州街59巷"
63000030,"大安區","潮州街","潮州街78巷"
63000030,"大安區","潮州街","潮州街82巷"
63000030,"大安區","潮州街","麗水街"
63000030,"大安區","杭州南路二段65巷","杭州南路二段"
63000030,"大安區","杭州南路二段65巷","金華街48巷"
63000030,"大安區","杭州南路二段65巷","潮州街55巷"
63000030,"大安區","羅斯福路二段35巷","和平東路一段11巷"
63000030,"大安區","羅斯福路二段35巷","和平東路一段55巷1弄"
63000030,"大安區","羅斯福路二段35巷","潮州街60巷"
63000030,"大安區","羅斯福路二段35巷","羅斯福路二段"
63000030,"大安區","羅斯福路二段35巷","羅斯福路二段35巷19弄"
63000030,"大安區","羅斯福路一段119巷","杭州南路二段"
63000030,"大安區","潮州街26巷","杭州南路二段93巷"
63000030,"大安區","潮州街26巷","潮州街"
63000030,"大安區","潮州街26巷","潮州街26巷3弄"
63000030,"大安區","潮州街26巷","潮州街26巷5弄"
63000030,"大安區","金華街","永康街"
63000030,"大安區","金華街","杭州南路二段"
63000030,"大安區","金華街","金山南路二段"
63000030,"大安區","金華街","金華街102巷"
63000030,"大安區","金華街","金華街106巷"
63000030,"大安區","金華街","金華街164巷"
63000030,"大安區","金華街","金華街199巷"
63000030,"大安區","金華街","金華街243巷"
63000030,"大安區","金華街","金華街254巷"
63000030,"大安區","金華街","金華街48巷"
63000030,"大安區","金華街","愛國東路210巷"
63000030,"大安區","金華街","新生南路二段"
63000030,"大安區","金華街","潮州街107巷"
63000030,"大安區","金華街","潮州街55巷"
63000030,"大安區","金華街","麗水街"
63000030,"大安區","杭州南路二段59巷","杭州南路二段"
63000030,"大安區","和平東路一段","和平東路一段104巷"
63000030,"大安區","和平東路一段","和平東路一段113巷"
63000030,"大安區","和平東路一段","和平東路一段119巷"
63000030,"大安區","和平東路一段","和平東路一段12巷"
63000030,"大安區","和平東路一段","和平東路一段188巷"
63000030,"大安區","和平東路一段","和平東路一段199巷"
63000030,"大安區","和平東路一段","和平東路一段248巷"
63000030,"大安區","和平東路一段","和平東路一段74巷"
63000030,"大安區","和平東路一段","和平東路一段85巷"
63000030,"大安區","和平東路一段","和平東路二段"
63000030,"大安區","和平東路一段","金山南路二段"
63000030,"大安區","和平東路一段","青田街"
63000030,"大安區","和平東路一段","師大路"
63000030,"大安區","和平東路一段","泰順街"
63000030,"大安區","和平東路一段","新生南路二段"
63000030,"大安區","和平東路一段","溫州街"
63000030,"大安區","和平東路一段","溫州街5巷"
63000030,"大安區","和平東路一段","羅斯福路二段"
63000030,"大安區","和平東路一段","麗水街"
63000030,"大安區","和平東路一段11巷","和平東路一段"
63000030,"大安區","和平東路一段11巷","羅斯福路二段"
63000030,"大安區","和平東路一段11巷","羅斯福路二段35巷"
63000030,"大安區","羅斯福路二段","和平東路一段"
63000030,"大安區","羅斯福路二段","羅斯福路二段101巷"
63000030,"大安區","羅斯福路二段","羅斯福路二段117巷"
63000030,"大安區","羅斯福路二段","羅斯福路二段81巷"
63000030,"大安區","羅斯福路二段","羅斯福路三段"
63000030,"大安區","愛國東路","永康街14巷"
63000030,"大安區","愛國東路","杭州南路二段"
63000030,"大安區","愛國東路","金山南路二段"
63000030,"大安區","愛國東路","金華街183巷"
63000030,"大安區","愛國東路","金華街199巷"
63000030,"大安區","愛國東路","愛國東路170巷"
63000030,"大安區","愛國東路","愛國東路210巷"
63000030,"大安區","愛國東路","愛國東路21巷"
63000030,"大安區","愛國東路","愛國東路79巷"
63000030,"大安區","愛國東路","麗水街"
63000030,"大安區","潮州街60巷10弄","潮州街60巷"
63000030,"大安區","潮州街60巷10弄","羅斯福路二段35巷19弄"
63000030,"大安區","杭州南路二段51巷","杭州南路二段"
63000030,"大安區","杭州南路二段51巷","愛國東路21巷"
63000030,"大安區","潮州街48巷","杭州南路二段93巷"
63000030,"大安區","潮州街48巷","潮州街"
63000030,"大安區","潮州街48巷","潮州街26巷3弄"
63000030,"大安區","潮州街48巷","潮州街26巷5弄"
