"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"67000010","新營區","忠孝路","忠孝路43巷"
"67000010","新營區","忠孝路","復興路"
"67000010","新營區","忠孝路","新工路"
"67000010","新營區","忠孝路","新中路"
"67000010","新營區","忠孝路","新太路"
"67000010","新營區","忠孝路","新業街"
"67000010","新營區","忠孝路","嘉芳街"
"67000010","新營區","新圳路","忠孝路"
"67000010","新營區","新圳路","新中路"
"67000010","新營區","新圳路","新太路"
"67000010","新營區","新圳路","嘉太路"
"67000010","新營區","太北街","太子路"
"67000010","新營區","太北街","新太路"
"67000010","新營區","太子路","公園路二段"
"67000010","新營區","太子路","太子路153巷"
"67000010","新營區","太子路","太子路200巷"
"67000010","新營區","太子路","太子路238巷"
"67000010","新營區","太子路","太子路256巷"
"67000010","新營區","太子路","太子路44巷"
"67000010","新營區","太子路","太子路53巷"
"67000010","新營區","太子路","太北街"
"67000010","新營區","太子路","金華路三段"
"67000010","新營區","太子路","長榮路三段"
"67000010","新營區","太子路","南紙街"
"67000010","新營區","太子路","南紙路82巷"
"67000010","新營區","太子路","新太路"
"67000010","新營區","太子路","嘉芳街"
"67000010","新營區","忠孝路43巷","忠孝路"
"67000010","新營區","新中路","八德路"
"67000010","新營區","新中路","五福路"
"67000010","新營區","新中路","四維路"
"67000010","新營區","新中路","四維路74巷"
"67000010","新營區","新中路","忠孝路"
"67000010","新營區","新中路","復興路"
"67000010","新營區","新中路","復興路1128巷"
"67000010","新營區","新中路","新中路102巷"
"67000010","新營區","新中路","新中路82巷"
"67000010","新營區","復興路1128巷","忠孝路"
"67000010","新營區","復興路1128巷","復興路"
"67000010","新營區","復興路1128巷","復興路1070巷39弄"
"67000010","新營區","復興路1112巷","復興路"
"67000010","新營區","復興路1112巷","復興路1070巷39弄"
"67000010","新營區","復興路","三民路"
"67000010","新營區","復興路","三興街"
"67000010","新營區","復興路","中山路"
"67000010","新營區","復興路","中原街"
"67000010","新營區","復興路","公園路一段"
"67000010","新營區","復興路","太子路"
"67000010","新營區","復興路","正義街"
"67000010","新營區","復興路","和平路"
"67000010","新營區","復興路","忠義街"
"67000010","新營區","復興路","金華路二段"
"67000010","新營區","復興路","金華路三段"
"67000010","新營區","復興路","長榮路二段"
"67000010","新營區","復興路","復興路1070巷"
"67000010","新營區","復興路","復興路135巷"
"67000010","新營區","復興路","復興路148巷"
"67000010","新營區","復興路","復興路161巷"
"67000010","新營區","復興路","復興路225巷"
"67000010","新營區","復興路","復興路29巷"
"67000010","新營區","復興路","復興路305巷"
"67000010","新營區","復興路","復興路378巷"
"67000010","新營區","復興路","復興路489巷"
"67000010","新營區","復興路","復興路511巷65弄"
"67000010","新營區","復興路","復興路520巷"
"67000010","新營區","復興路","復興路620巷"
"67000010","新營區","復興路","復興路682巷"
"67000010","新營區","復興路","復興路693巷"
"67000010","新營區","復興路","復興路75巷"
"67000010","新營區","復興路","復興路803巷"
"67000010","新營區","復興路","復興路971巷"
"67000010","新營區","復興路","新工路"
"67000010","新營區","復興路","裕民路"
"67000010","新營區","復興路","嘉芳街"
"67000010","新營區","復興路","興農街"
"67000010","新營區","復興路1070巷","復興路"
"67000010","新營區","復興路1070巷38弄","復興路1070巷"
"67000010","新營區","復興路1070巷38弄","復興路1070巷39弄"
"67000010","新營區","復興路1070巷39弄","復興路1070巷"
"67000010","新營區","復興路1070巷40弄","復興路1070巷"
"67000010","新營區","復興路1070巷41弄","復興路1070巷"
"67000010","新營區","復興路1070巷41弄","復興路1070巷40弄"
"67000010","新營區","太東街","太子路"
"67000010","新營區","太東街","太南街"
"67000010","新營區","新橋街","太東街"
"67000010","新營區","新嘉街","五福路"
"67000010","新營區","新嘉街","四維路"
"67000010","新營區","新嘉街","新工路4巷"
"67000010","新營區","新運七路","復興路"
"67000010","新營區","新運二路","新運一路"
"67000010","新營區","新運二路","新運七路"
"67000010","新營區","新運二路","新運三路"
"67000010","新營區","新運二路","新運五路一段"
"67000010","新營區","新運六路","新運一路"
"67000010","新營區","新運六路","新運七路"
"67000010","新營區","新運六路","新運三路"
"67000010","新營區","新運六路","新運五路一段"
"67000010","新營區","新運八路","新運一路"
"67000010","新營區","新運八路","新運七路"
"67000010","新營區","新運八路","新運三路"
"67000010","新營區","新運八路","新運五路一段"
"67000010","新營區","嘉太路","太子路"
"67000010","新營區","新工路","八德路"
"67000010","新營區","新工路","五福路"
"67000010","新營區","新工路","四維路"
"67000010","新營區","新工路","忠孝路"
"67000010","新營區","新工路","復興路"
"67000010","新營區","新工路","新工路4巷"
"67000010","新營區","新工路","新圳路"
"67000010","新營區","新工路","嘉太路"
"67000010","新營區","新運五路一段","復興路"
"67000010","新營區","新運五路一段","新工路"
"67000010","新營區","新運五路一段","新運二路"
"67000010","新營區","新運五路一段","新運八路"
"67000010","新營區","新運五路一段","新運六路"
"67000010","新營區","新運五路一段","新運四街"
"67000010","新營區","八德路","新工路"
"67000010","新營區","八德路","新業街"
"67000010","新營區","八德路","嘉芳街"
"67000010","新營區","新運四街","新運三路"
"67000010","新營區","新運四街","新運五路一段"
"67000010","新營區","新工路13巷","新工路"
"67000010","新營區","新芳街","新工路"
"67000010","新營區","新運五路二段","新運五路一段"
"67000010","新營區","新運三路","復興路"
"67000010","新營區","新運三路","新運二路"
"67000010","新營區","新運三路","新運六路"
"67000010","新營區","新業街","八德路"
"67000010","新營區","新業街","五福路"
"67000010","新營區","新業街","忠孝路"
"67000010","新營區","復興路971巷","復興路"
"67000010","新營區","復興路971巷","嘉芳街28巷"
"67000010","新營區","嘉芳街28巷","復興路971巷"
"67000010","新營區","嘉芳街","復興路"
"67000010","新營區","嘉芳街","嘉芳街25巷"
"67000010","新營區","新運一路","復興路"
"67000010","新營區","新運一路","新運二路"
"67000010","新營區","新運一路","新運六路"
"67000010","新營區","嘉芳街25巷","嘉芳街"
"67000010","新營區","嘉芳街129巷","嘉芳街"
"67000010","新營區","五福路","嘉芳街"
"67000010","新營區","中山高速公路","新營交流道"
"67000010","新營區","復興路803巷","復興路"
"67000010","新營區","復興路803巷","復興路803巷24弄"
"67000010","新營區","復興路803巷","復興路803巷34弄"
"67000010","新營區","復興路803巷4弄","復興路803巷"
"67000010","新營區","復興路803巷24弄","復興路803巷"
"67000010","新營區","新營交流道","復興路"
"67000010","新營區","新營交流道","復興路700巷"
"67000010","新營區","機慢車專用道","長榮路二段"
"67000010","新營區","機慢車專用道","復興路"
"67000010","新營區","機慢車專用道","復興路700巷"
"67000010","新營區","機慢車專用道","新營交流道"
"67000010","新營區","復興路700巷","復興路"
"67000010","新營區","復興路700巷","復興路700巷13弄"
"67000010","新營區","復興路700巷89弄","復興路700巷"
"67000010","新營區","復興路700巷13弄","復興路700巷"
"67000010","新營區","南紙路82巷","太子路"
"67000010","新營區","長榮路三段","太子路"
"67000010","新營區","長榮路三段","太子路200巷111弄"
