"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"10014020","成功鎮","隧道路","小馬路"
"10014020","成功鎮","隧道路","花東海岸公路"
"10014020","成功鎮","隧道路","富東公路"
"10014020","成功鎮","小馬路","新村路"
"10014020","成功鎮","新村路","花東海岸公路"
"10014020","成功鎮","都歷路","花東海岸公路"
"10014020","成功鎮","都歷路","豐田路"
"10014020","成功鎮","豐田路","和平路"
"10014020","成功鎮","豐田路","都歷路"
"10014020","成功鎮","和平路","花東海岸公路"
"10014020","成功鎮","和平路","豐田路"
"10014020","成功鎮","花東海岸公路","和平路"
"10014020","成功鎮","花東海岸公路","宜灣路"
"10014020","成功鎮","花東海岸公路","重安路"
"10014020","成功鎮","花東海岸公路","高台路"
"10014020","成功鎮","花東海岸公路","基翬路"
"10014020","成功鎮","花東海岸公路","鹽濱路"
"10014020","成功鎮","跋邊路","鹽濱路"
"10014020","成功鎮","興農路","富榮路"
"10014020","成功鎮","麒麟路","跋邊路"
"10014020","成功鎮","大同路","中山路"
"10014020","成功鎮","大同路","公民路"
"10014020","成功鎮","大同路","麒麟路"
"10014020","成功鎮","公民路","三民路"
"10014020","成功鎮","公民路","三民路1巷"
"10014020","成功鎮","公民路","大同路"
"10014020","成功鎮","公民路","東發路"
"10014020","成功鎮","三民路","三民路101巷"
"10014020","成功鎮","三民路","三民路1巷"
"10014020","成功鎮","三民路","大同路"
"10014020","成功鎮","富榮路","三民路"
"10014020","成功鎮","富榮路","吉林街"
"10014020","成功鎮","富榮路","富榮路28巷"
"10014020","成功鎮","富榮路28巷","吉林街"
"10014020","成功鎮","富榮路28巷","富榮路"
"10014020","成功鎮","吉林街","三民路"
"10014020","成功鎮","吉林街","三民路101巷"
"10014020","成功鎮","吉林街","上海街"
"10014020","成功鎮","吉林街","天津街"
"10014020","成功鎮","吉林街","天津街48巷"
"10014020","成功鎮","吉林街","吉林街39巷"
"10014020","成功鎮","上海街","三民路"
"10014020","成功鎮","上海街","大同路"
"10014020","成功鎮","天津街","三民路"
"10014020","成功鎮","天津街","大同路"
"10014020","成功鎮","天津街","天津街48巷"
"10014020","成功鎮","天津街","吉林街"
"10014020","成功鎮","上海街48巷","上海街"
"10014020","成功鎮","漢口街","三民路"
"10014020","成功鎮","漢口街","三民路101巷18弄"
"10014020","成功鎮","漢口街","三民路157巷"
"10014020","成功鎮","漢口街","大同路"
"10014020","成功鎮","漢口街","天津街48巷"
"10014020","成功鎮","漢口街","吉林街"
"10014020","成功鎮","漢口街","新生路"
"10014020","成功鎮","漢口街","漢口街28巷"
"10014020","成功鎮","三民路101巷18弄","三民路101巷"
"10014020","成功鎮","長春街","天津街"
"10014020","成功鎮","長春街","漢口街"
"10014020","成功鎮","長春街","瀋陽街"
"10014020","成功鎮","天津街48巷","三民路101巷"
"10014020","成功鎮","天津街48巷","三民路157巷"
"10014020","成功鎮","開封街","天津街"
"10014020","成功鎮","開封街","漢口街"
"10014020","成功鎮","開封街","瀋陽街"
"10014020","成功鎮","三民路157巷","三民路"
"10014020","成功鎮","三民路157巷","天津街48巷"
"10014020","成功鎮","三民路157巷","漢口街"
"10014020","成功鎮","三民路157巷","漢口街28巷"
"10014020","成功鎮","三民路157巷","瀋陽街"
"10014020","成功鎮","漢口街28巷","三民路157巷"
"10014020","成功鎮","漢口街28巷","天津街48巷"
"10014020","成功鎮","新生路","上海街"
"10014020","成功鎮","新生路","中山路"
"10014020","成功鎮","新生路","五權路"
"10014020","成功鎮","新生路","天津街"
"10014020","成功鎮","新生路","太平路"
"10014020","成功鎮","新生路","光復路"
"10014020","成功鎮","民生路","中山路"
"10014020","成功鎮","民生路","五權路"
"10014020","成功鎮","民生路","太平路"
"10014020","成功鎮","民生路","民族路"
"10014020","成功鎮","民生路","民權路"
"10014020","成功鎮","民生路","光復路"
"10014020","成功鎮","民生路","成功路"
"10014020","成功鎮","民生路","新生路2巷"
"10014020","成功鎮","中華路","中山路"
"10014020","成功鎮","中華路","東海路"
"10014020","成功鎮","中華路","新生路"
"10014020","成功鎮","東海路","中山東路"
"10014020","成功鎮","東海路","新生路"
