"TOWNCODE","TOWNNAME","RoadList","IntersectionList","IntersectionRoadName","Geometry"
"10014020","成功鎮","隧道路","小馬路","10014020 隧道路與小馬路交叉口","POINT (121.31387709814965 22.991715628773306)"
"10014020","成功鎮","隧道路","花東海岸公路","10014020 隧道路與花東海岸公路交叉口","POINT (121.30760742234475 22.976730517799183)"
"10014020","成功鎮","隧道路","富東公路","10014020 隧道路與富東公路交叉口","POINT (121.30315799504547 22.992460739571527)"
"10014020","成功鎮","小馬路","新村路","10014020 小馬路與新村路交叉口","POINT (121.32363567764446 23.008654729132502)"
"10014020","成功鎮","新村路","花東海岸公路","10014020 新村路與花東海岸公路交叉口","POINT (121.32795273193312 23.019961038271333)"
"10014020","成功鎮","都歷路","花東海岸公路","10014020 都歷路與花東海岸公路交叉口","POINT (121.32806920223197 23.0202711191169)"
"10014020","成功鎮","都歷路","豐田路","10014020 都歷路與豐田路交叉口","POINT (121.33364563473833 23.039066591949734)"
"10014020","成功鎮","豐田路","和平路","10014020 豐田路與和平路交叉口","POINT (121.34417645128224 23.053499305148875)"
"10014020","成功鎮","豐田路","都歷路","10014020 豐田路與都歷路交叉口","POINT (121.33364563473833 23.039066591949734)"
"10014020","成功鎮","和平路","花東海岸公路","10014020 和平路與花東海岸公路交叉口","POINT (121.34435316626571 23.058765960780534)"
"10014020","成功鎮","和平路","豐田路","10014020 和平路與豐田路交叉口","POINT (121.34417645128224 23.053499305148875)"
"10014020","成功鎮","花東海岸公路","和平路","10014020 花東海岸公路與和平路交叉口","POINT (121.34435316626571 23.058765960780534)"
"10014020","成功鎮","花東海岸公路","宜灣路","10014020 花東海岸公路與宜灣路交叉口","POINT (121.39643801140517 23.207009143856965)"
"10014020","成功鎮","花東海岸公路","重安路","10014020 花東海岸公路與重安路交叉口","POINT (121.39533314211087 23.201781579955991)"
"10014020","成功鎮","花東海岸公路","高台路","10014020 花東海岸公路與高台路交叉口","POINT (121.39531208088783 23.124018035404049)"
"10014020","成功鎮","花東海岸公路","基翬路","10014020 花東海岸公路與基翬路交叉口","POINT (121.3935858331198 23.12112004745228)"
"10014020","成功鎮","花東海岸公路","鹽濱路","10014020 花東海岸公路與鹽濱路交叉口","POINT (121.34460119748735 23.059945285846311)"
"10014020","成功鎮","跋邊路","鹽濱路","10014020 跋邊路與鹽濱路交叉口","POINT (121.35045958993817 23.073539948709708)"
"10014020","成功鎮","興農路","富榮路","10014020 興農路與富榮路交叉口","POINT (121.3553399660666 23.130213277920518)"
"10014020","成功鎮","麒麟路","跋邊路","10014020 麒麟路與跋邊路交叉口","POINT (121.35530405254008 23.085991462635945)"
"10014020","成功鎮","大同路","中山路","10014020 大同路與中山路交叉口","POINT (121.37829088051979 23.103856303525617)"
"10014020","成功鎮","大同路","公民路","10014020 大同路與公民路交叉口","POINT (121.36741575763119 23.10079949709916)"
"10014020","成功鎮","大同路","麒麟路","10014020 大同路與麒麟路交叉口","POINT (121.36626191395624 23.100003445102971)"
"10014020","成功鎮","公民路","三民路","10014020 公民路與三民路交叉口","POINT (121.36992262592855 23.101278446343258)"
"10014020","成功鎮","公民路","三民路1巷","10014020 公民路與三民路1巷交叉口","POINT (121.36934104245518 23.101520765071314)"
"10014020","成功鎮","公民路","大同路","10014020 公民路與大同路交叉口","POINT (121.36741575763119 23.10079949709916)"
"10014020","成功鎮","公民路","東發路","10014020 公民路與東發路交叉口","POINT (121.37474373853274 23.098060671163068)"
"10014020","成功鎮","三民路","三民路101巷","10014020 三民路與三民路101巷交叉口","POINT (121.37462363497286 23.103965567556941)"
"10014020","成功鎮","三民路","三民路1巷","10014020 三民路與三民路1巷交叉口","POINT (121.37024891435601 23.101637580709848)"
"10014020","成功鎮","三民路","大同路","10014020 三民路與大同路交叉口","POINT (121.36964345837896 23.100953881016835)"
"10014020","成功鎮","富榮路","三民路","10014020 富榮路與三民路交叉口","POINT (121.37094971465763 23.102292154059739)"
"10014020","成功鎮","富榮路","吉林街","10014020 富榮路與吉林街交叉口","POINT (121.37094971465763 23.102292154059739)"
"10014020","成功鎮","富榮路","富榮路28巷","10014020 富榮路與富榮路28巷交叉口","POINT (121.37036893877553 23.102595075402462)"
"10014020","成功鎮","富榮路28巷","吉林街","10014020 富榮路28巷與吉林街交叉口","POINT (121.37263390473095 23.103198458442137)"
"10014020","成功鎮","富榮路28巷","富榮路","10014020 富榮路28巷與富榮路交叉口","POINT (121.37036893877553 23.102595075402462)"
"10014020","成功鎮","吉林街","三民路","10014020 吉林街與三民路交叉口","POINT (121.37094971465763 23.102292154059739)"
"10014020","成功鎮","吉林街","三民路101巷","10014020 吉林街與三民路101巷交叉口","POINT (121.37345922066652 23.10493359870668)"
"10014020","成功鎮","吉林街","上海街","10014020 吉林街與上海街交叉口","POINT (121.37176046427408 23.102840618200048)"
"10014020","成功鎮","吉林街","天津街","10014020 吉林街與天津街交叉口","POINT (121.37325764482455 23.103525545467619)"
"10014020","成功鎮","吉林街","天津街48巷","10014020 吉林街與天津街48巷交叉口","POINT (121.37325764482455 23.103525545467619)"
"10014020","成功鎮","吉林街","吉林街39巷","10014020 吉林街與吉林街39巷交叉口","POINT (121.37312800305494 23.104253869520505)"
"10014020","成功鎮","上海街","三民路","10014020 上海街與三民路交叉口","POINT (121.37237136384738 23.102512423209816)"
"10014020","成功鎮","上海街","大同路","10014020 上海街與大同路交叉口","POINT (121.37377768499221 23.101847914149971)"
"10014020","成功鎮","天津街","三民路","10014020 天津街與三民路交叉口","POINT (121.37363305692009 23.103328495913388)"
"10014020","成功鎮","天津街","大同路","10014020 天津街與大同路交叉口","POINT (121.37497620518775 23.102473112044549)"
"10014020","成功鎮","天津街","天津街48巷","10014020 天津街與天津街48巷交叉口","POINT (121.37325764482455 23.103525545467619)"
"10014020","成功鎮","天津街","吉林街","10014020 天津街與吉林街交叉口","POINT (121.37325764482455 23.103525545467619)"
"10014020","成功鎮","上海街48巷","上海街","10014020 上海街48巷與上海街交叉口","POINT (121.373418263742 23.102002839459544)"
"10014020","成功鎮","漢口街","三民路","10014020 漢口街與三民路交叉口","POINT (121.3755430631619 23.104553492149989)"
"10014020","成功鎮","漢口街","三民路101巷18弄","10014020 漢口街與三民路101巷18弄交叉口","POINT (121.37434061292902 23.105336206300933)"
"10014020","成功鎮","漢口街","三民路157巷","10014020 漢口街與三民路157巷交叉口","POINT (121.37479067684831 23.105198041656365)"
"10014020","成功鎮","漢口街","大同路","10014020 漢口街與大同路交叉口","POINT (121.37677732691213 23.103287424774862)"
"10014020","成功鎮","漢口街","天津街48巷","10014020 漢口街與天津街48巷交叉口","POINT (121.37479067684831 23.105198041656365)"
"10014020","成功鎮","漢口街","吉林街","10014020 漢口街與吉林街交叉口","POINT (121.37357998253026 23.105187726432462)"
"10014020","成功鎮","漢口街","新生路","10014020 漢口街與新生路交叉口","POINT (121.37710308833687 23.1026711607455)"
"10014020","成功鎮","漢口街","漢口街28巷","10014020 漢口街與漢口街28巷交叉口","POINT (121.37479067684831 23.105198041656365)"
"10014020","成功鎮","三民路101巷18弄","三民路101巷","10014020 三民路101巷18弄與三民路101巷交叉口","POINT (121.37375727757637 23.1047157793098)"
"10014020","成功鎮","長春街","天津街","10014020 長春街與天津街交叉口","POINT (121.3740302398038 23.103083799377885)"
"10014020","成功鎮","長春街","漢口街","10014020 長春街與漢口街交叉口","POINT (121.37593501019262 23.104163850081648)"
"10014020","成功鎮","長春街","瀋陽街","10014020 長春街與瀋陽街交叉口","POINT (121.37743308197116 23.105011028536182)"
"10014020","成功鎮","天津街48巷","三民路101巷","10014020 天津街48巷與三民路101巷交叉口","POINT (121.37408227187939 23.104426547447247)"
"10014020","成功鎮","天津街48巷","三民路157巷","10014020 天津街48巷與三民路157巷交叉口","POINT (121.37479067684831 23.105198041656365)"
