"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"10015070","光復鄉","中山路一段","中山路一段10巷"
"10015070","光復鄉","中山路一段","中山路一段216巷"
"10015070","光復鄉","中山路一段","中興路242巷"
"10015070","光復鄉","中山路一段","民治街"
"10015070","光復鄉","中山路一段","民權街"
"10015070","光復鄉","中山路一段","明德路"
"10015070","光復鄉","中山路一段","復興街"
"10015070","光復鄉","中山路一段","農場路"
"10015070","光復鄉","中山路一段","學府路"
"10015070","光復鄉","中正北路三段","中山路一段"
"10015070","光復鄉","中正北路三段","學府路"
"10015070","光復鄉","尚德街37巷","管真巷"
"10015070","光復鄉","尚德街","尚德街34巷"
"10015070","光復鄉","尚德街","尚德街37巷"
"10015070","光復鄉","尚德街","尚德街38巷"
"10015070","光復鄉","尚德街","尚德街7巷"
"10015070","光復鄉","尚德街38巷","尚德街37巷"
"10015070","光復鄉","尚德街17巷","尚德街"
"10015070","光復鄉","尚德街17巷","尚德街20巷"
"10015070","光復鄉","尚德街17巷","尚德街37巷"
"10015070","光復鄉","尚德街17巷","尚德街7巷"
"10015070","光復鄉","尚德街7巷","尚德街37巷"
"10015070","光復鄉","尚德街30巷","尚德街"
"10015070","光復鄉","尚德街26巷","尚德街"
"10015070","光復鄉","尚德街26巷","尚德街20巷"
"10015070","光復鄉","尚德街20巷","尚德街"
"10015070","光復鄉","尚德街20巷","尚德街2巷"
"10015070","光復鄉","尚德街20巷","尚德街34巷"
"10015070","光復鄉","新興路","學府路"
"10015070","光復鄉","學府路","新興路"
"10015070","光復鄉","大興產業道路","民生街21巷"
"10015070","光復鄉","尚德街2巷","尚德街"
"10015070","光復鄉","尚德街2巷","尚德街20巷"
"10015070","光復鄉","明德路2巷","中山路一段10巷"
"10015070","光復鄉","明德路","明德路29巷"
"10015070","光復鄉","明德路","明德路2巷"
"10015070","光復鄉","明德路","明德路30巷"
"10015070","光復鄉","明德路","明德路71巷"
"10015070","光復鄉","明德路3巷","明德路"
"10015070","光復鄉","明德路3巷","明德路2巷"
"10015070","光復鄉","明德路3巷","明德路71巷"
"10015070","光復鄉","中山路一段10巷16弄","中山路一段10巷"
"10015070","光復鄉","中山路一段10巷","中山路一段10巷6弄"
"10015070","光復鄉","中山路一段10巷","明德路30巷"
"10015070","光復鄉","明德路30巷","中山路一段10巷"
"10015070","光復鄉","明德路30巷","明德路29巷"
"10015070","光復鄉","明德路29巷1弄","明德路29巷"
"10015070","光復鄉","明德路29巷1弄","明德路71巷"
"10015070","光復鄉","明德路71巷","明德路29巷1弄"
"10015070","光復鄉","民權街","中山路一段"
"10015070","光復鄉","民權街","民權街19巷"
"10015070","光復鄉","民權街","民權街1巷"
"10015070","光復鄉","民權街","民權街49巷"
"10015070","光復鄉","民權街","民權街70巷"
"10015070","光復鄉","民權街","民權街90巷"
"10015070","光復鄉","民權街49巷","民權街"
"10015070","光復鄉","民生街","民生街21巷"
"10015070","光復鄉","民生街","民權街"
"10015070","光復鄉","民生街","民權街19巷"
"10015070","光復鄉","民生街21巷","民權街19巷"
"10015070","光復鄉","民族街","民族街16巷"
