"TOWNCODE","TOWNNAME","RoadList","IntersectionList","IntersectionRoadName","Geometry"
"10015070","光復鄉","中山路一段","中山路一段10巷","10015070 中山路一段與中山路一段10巷交叉口","POINT (121.39182144600295 23.603998446671028)"
"10015070","光復鄉","中山路一段","中山路一段216巷","10015070 中山路一段與中山路一段216巷交叉口","POINT (121.41721406028069 23.6522269683)"
"10015070","光復鄉","中山路一段","中興路242巷","10015070 中山路一段與中興路242巷交叉口","POINT (121.42046270648882 23.659313784303777)"
"10015070","光復鄉","中山路一段","民治街","10015070 中山路一段與民治街交叉口","POINT (121.41537089165342 23.645663619780294)"
"10015070","光復鄉","中山路一段","民權街","10015070 中山路一段與民權街交叉口","POINT (121.40626209841719 23.630446697756952)"
"10015070","光復鄉","中山路一段","明德路","10015070 中山路一段與明德路交叉口","POINT (121.39259441779825 23.605534162271795)"
"10015070","光復鄉","中山路一段","復興街","10015070 中山路一段與復興街交叉口","POINT (121.41806710861022 23.654427256812482)"
"10015070","光復鄉","中山路一段","農場路","10015070 中山路一段與農場路交叉口","POINT (121.40126741845666 23.622347386322872)"
"10015070","光復鄉","中山路一段","學府路","10015070 中山路一段與學府路交叉口","POINT (121.38307962832221 23.587943475211262)"
"10015070","光復鄉","中正北路三段","中山路一段","10015070 中正北路三段與中山路一段交叉口","POINT (121.38307962832221 23.587943475211262)"
"10015070","光復鄉","中正北路三段","學府路","10015070 中正北路三段與學府路交叉口","POINT (121.38307962832221 23.587943475211262)"
"10015070","光復鄉","尚德街37巷","管真巷","10015070 尚德街37巷與管真巷交叉口","POINT (121.38434781270144 23.603711974827831)"
"10015070","光復鄉","尚德街","尚德街34巷","10015070 尚德街與尚德街34巷交叉口","POINT (121.3875751557689 23.60421491438683)"
"10015070","光復鄉","尚德街","尚德街37巷","10015070 尚德街與尚德街37巷交叉口","POINT (121.38532585330552 23.60536606549158)"
"10015070","光復鄉","尚德街","尚德街38巷","10015070 尚德街與尚德街38巷交叉口","POINT (121.38731973301935 23.604346678556396)"
"10015070","光復鄉","尚德街","尚德街7巷","10015070 尚德街與尚德街7巷交叉口","POINT (121.38879190971898 23.603590916187898)"
"10015070","光復鄉","尚德街38巷","尚德街37巷","10015070 尚德街38巷與尚德街37巷交叉口","POINT (121.38731973301935 23.604346678556396)"
"10015070","光復鄉","尚德街17巷","尚德街","10015070 尚德街17巷與尚德街交叉口","POINT (121.38822100479558 23.60387844023785)"
"10015070","光復鄉","尚德街17巷","尚德街20巷","10015070 尚德街17巷與尚德街20巷交叉口","POINT (121.38822100479558 23.60387844023785)"
"10015070","光復鄉","尚德街17巷","尚德街37巷","10015070 尚德街17巷與尚德街37巷交叉口","POINT (121.387705391091 23.602877222306006)"
"10015070","光復鄉","尚德街17巷","尚德街7巷","10015070 尚德街17巷與尚德街7巷交叉口","POINT (121.387705391091 23.602877222306006)"
"10015070","光復鄉","尚德街7巷","尚德街37巷","10015070 尚德街7巷與尚德街37巷交叉口","POINT (121.387705391091 23.602877222306006)"
"10015070","光復鄉","尚德街30巷","尚德街","10015070 尚德街30巷與尚德街交叉口","POINT (121.38779498335191 23.604099855124275)"
"10015070","光復鄉","尚德街26巷","尚德街","10015070 尚德街26巷與尚德街交叉口","POINT (121.38802691940691 23.603979346869437)"
"10015070","光復鄉","尚德街26巷","尚德街20巷","10015070 尚德街26巷與尚德街20巷交叉口","POINT (121.38858307544865 23.604940003578349)"
"10015070","光復鄉","尚德街20巷","尚德街","10015070 尚德街20巷與尚德街交叉口","POINT (121.38822100479558 23.60387844023785)"
"10015070","光復鄉","尚德街20巷","尚德街2巷","10015070 尚德街20巷與尚德街2巷交叉口","POINT (121.38891760975992 23.605460332428436)"
"10015070","光復鄉","尚德街20巷","尚德街34巷","10015070 尚德街20巷與尚德街34巷交叉口","POINT (121.38848484879679 23.605672646175719)"
"10015070","光復鄉","新興路","學府路","10015070 新興路與學府路交叉口","POINT (121.38843900315749 23.586235087978991)"
"10015070","光復鄉","學府路","新興路","10015070 學府路與新興路交叉口","POINT (121.38843900315749 23.586235087978991)"
"10015070","光復鄉","大興產業道路","民生街21巷","10015070 大興產業道路與民生街21巷交叉口","POINT (121.38876855432534 23.629183507313087)"
"10015070","光復鄉","尚德街2巷","尚德街","10015070 尚德街2巷與尚德街交叉口","POINT (121.38890634934865 23.603533645561356)"
"10015070","光復鄉","尚德街2巷","尚德街20巷","10015070 尚德街2巷與尚德街20巷交叉口","POINT (121.38891760975992 23.605460332428436)"
"10015070","光復鄉","明德路2巷","中山路一段10巷","10015070 明德路2巷與中山路一段10巷交叉口","POINT (121.38960985301242 23.605013470095628)"
"10015070","光復鄉","明德路","明德路29巷","10015070 明德路與明德路29巷交叉口","POINT (121.3903971249274 23.605653129088694)"
"10015070","光復鄉","明德路","明德路2巷","10015070 明德路與明德路2巷交叉口","POINT (121.38974496715662 23.60568845265999)"
"10015070","光復鄉","明德路","明德路30巷","10015070 明德路與明德路30巷交叉口","POINT (121.3903971249274 23.605653129088694)"
"10015070","光復鄉","明德路","明德路71巷","10015070 明德路與明德路71巷交叉口","POINT (121.39173983882256 23.605584815686768)"
"10015070","光復鄉","明德路3巷","明德路","10015070 明德路3巷與明德路交叉口","POINT (121.38974496715662 23.60568845265999)"
"10015070","光復鄉","明德路3巷","明德路2巷","10015070 明德路3巷與明德路2巷交叉口","POINT (121.38974496715662 23.60568845265999)"
"10015070","光復鄉","明德路3巷","明德路71巷","10015070 明德路3巷與明德路71巷交叉口","POINT (121.39212477743661 23.607693160211227)"
"10015070","光復鄉","中山路一段10巷16弄","中山路一段10巷","10015070 中山路一段10巷16弄與中山路一段10巷交叉口","POINT (121.39005538165065 23.60491111735422)"
"10015070","光復鄉","中山路一段10巷","中山路一段10巷6弄","10015070 中山路一段10巷與中山路一段10巷6弄交叉口","POINT (121.39110386525124 23.604372774184242)"
"10015070","光復鄉","中山路一段10巷","明德路30巷","10015070 中山路一段10巷與明德路30巷交叉口","POINT (121.39027319025558 23.604796961910324)"
"10015070","光復鄉","明德路30巷","中山路一段10巷","10015070 明德路30巷與中山路一段10巷交叉口","POINT (121.39027319025558 23.604796961910324)"
"10015070","光復鄉","明德路30巷","明德路29巷","10015070 明德路30巷與明德路29巷交叉口","POINT (121.3903971249274 23.605653129088694)"
"10015070","光復鄉","明德路29巷1弄","明德路29巷","10015070 明德路29巷1弄與明德路29巷交叉口","POINT (121.39048871008595 23.606120421320441)"
"10015070","光復鄉","明德路29巷1弄","明德路71巷","10015070 明德路29巷1弄與明德路71巷交叉口","POINT (121.39145868557 23.606441822831925)"
"10015070","光復鄉","明德路71巷","明德路29巷1弄","10015070 明德路71巷與明德路29巷1弄交叉口","POINT (121.39145868557 23.606441822831925)"
"10015070","光復鄉","民權街","中山路一段","10015070 民權街與中山路一段交叉口","POINT (121.40626209841719 23.630446697756952)"
"10015070","光復鄉","民權街","民權街19巷","10015070 民權街與民權街19巷交叉口","POINT (121.39826560467395 23.632594259917198)"
"10015070","光復鄉","民權街","民權街1巷","10015070 民權街與民權街1巷交叉口","POINT (121.40247837897402 23.632043439553115)"
"10015070","光復鄉","民權街","民權街49巷","10015070 民權街與民權街49巷交叉口","POINT (121.39225478882747 23.635699529909402)"
