"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"10005160","三灣鄉","北坪產業道路","九車籠二寮坑道路"
"10005160","三灣鄉","北坪產業道路","二十四份道路"
"10005160","三灣鄉","北坪產業道路","和興產業道路"
"10005160","三灣鄉","犀_豬崎古道","九車籠二寮坑道路"
"10005160","三灣鄉","和興產業道路","雙坑產業道路"
"10005160","三灣鄉","雙坑產業道路","中油產業道路"
"10005160","三灣鄉","雙坑產業道路","和興產業道路"
"10005160","三灣鄉","雙坑產業道路","頭份下林坪道"
"10005160","三灣鄉","二十四份道路","北坪產業道路"
"10005160","三灣鄉","中油產業道路","頭份下林坪道"
"10005160","三灣鄉","頭份下林坪道","北坑道"
"10005160","三灣鄉","頭份下林坪道","龍峎頂道"
"10005160","三灣鄉","頭份下林坪道","龍崀頂道"
"10005160","三灣鄉","龍崀頂道","內埔道"
"10005160","三灣鄉","龍崀頂道","龍峎頂道"
"10005160","三灣鄉","九份寮農路","二十四份道路"
"10005160","三灣鄉","中豐公路","大河農路"
"10005160","三灣鄉","中豐公路","中正路"
"10005160","三灣鄉","中豐公路","忠信路"
"10005160","三灣鄉","中豐公路","苗栗縣北橫公路"
"10005160","三灣鄉","中豐公路","聯興農路"
"10005160","三灣鄉","聯興農路","中豐公路"
"10005160","三灣鄉","頭寮坑農路","中豐公路"
"10005160","三灣鄉","內埔道","龍崀頂道"
"10005160","三灣鄉","苗栗縣北橫公路","中豐公路"
"10005160","三灣鄉","苗栗縣北橫公路","隆恩路"
"10005160","三灣鄉","內山公路","中正路"
"10005160","三灣鄉","內山公路","親民路1巷"
"10005160","三灣鄉","內山公路","親民路2巷"
"10005160","三灣鄉","中正路","三灣南庄道路"
"10005160","三灣鄉","中正路","內山公路"
"10005160","三灣鄉","中正路","民生街"
"10005160","三灣鄉","中正路","民享街"
"10005160","三灣鄉","中正路","民族街"
"10005160","三灣鄉","中正路","民權街"
"10005160","三灣鄉","中正路","忠信路"
"10005160","三灣鄉","中正路","親民路"
"10005160","三灣鄉","忠信路","中正路"
"10005160","三灣鄉","中山路","三灣堤防"
"10005160","三灣鄉","中山路","文化街"
"10005160","三灣鄉","中山路","民生街"
"10005160","三灣鄉","中山路","民族街"
"10005160","三灣鄉","中山路","民權街"
"10005160","三灣鄉","民權街","中山路"
"10005160","三灣鄉","民權街","民權街1巷"
"10005160","三灣鄉","中正路2巷","中正路"
"10005160","三灣鄉","民生街","中山路"
"10005160","三灣鄉","民生街","中正路"
"10005160","三灣鄉","文化街","三灣堤防"
"10005160","三灣鄉","文化街","中正路"
"10005160","三灣鄉","文化街","文化街1巷"
"10005160","三灣鄉","文化街","文化街2巷"
"10005160","三灣鄉","文化街","民有街"
"10005160","三灣鄉","中正路1巷","中正路"
"10005160","三灣鄉","親民路","中正路"
"10005160","三灣鄉","親民路","民族街"
"10005160","三灣鄉","親民路","親民路1巷"
"10005160","三灣鄉","親民路","親民路5巷"
