"TOWNCODE","TOWNNAME","RoadList","IntersectionList","IntersectionRoadName","Geometry"
"10005160","三灣鄉","北坪產業道路","九車籠二寮坑道路","10005160 北坪產業道路與九車籠二寮坑道路交叉口","POINT (120.9160430576411 24.621816904826346)"
"10005160","三灣鄉","北坪產業道路","二十四份道路","10005160 北坪產業道路與二十四份道路交叉口","POINT (120.92320197948777 24.621864523928707)"
"10005160","三灣鄉","北坪產業道路","和興產業道路","10005160 北坪產業道路與和興產業道路交叉口","POINT (120.93727157702176 24.630835375552181)"
"10005160","三灣鄉","犀_豬崎古道","九車籠二寮坑道路","10005160 犀_豬崎古道與九車籠二寮坑道路交叉口","POINT (120.91859483988003 24.611657805963034)"
"10005160","三灣鄉","和興產業道路","雙坑產業道路","10005160 和興產業道路與雙坑產業道路交叉口","POINT (120.91904369600979 24.635050667954033)"
"10005160","三灣鄉","雙坑產業道路","中油產業道路","10005160 雙坑產業道路與中油產業道路交叉口","POINT (120.92494887479086 24.639481167222129)"
"10005160","三灣鄉","雙坑產業道路","和興產業道路","10005160 雙坑產業道路與和興產業道路交叉口","POINT (120.91904369600979 24.635050667954033)"
"10005160","三灣鄉","雙坑產業道路","頭份下林坪道","10005160 雙坑產業道路與頭份下林坪道交叉口","POINT (120.92494887479086 24.639481167222129)"
"10005160","三灣鄉","二十四份道路","北坪產業道路","10005160 二十四份道路與北坪產業道路交叉口","POINT (120.92320197948777 24.621864523928707)"
"10005160","三灣鄉","中油產業道路","頭份下林坪道","10005160 中油產業道路與頭份下林坪道交叉口","POINT (120.92494887479086 24.639481167222129)"
"10005160","三灣鄉","頭份下林坪道","北坑道","10005160 頭份下林坪道與北坑道交叉口","POINT (120.93386275346336 24.649524549418459)"
"10005160","三灣鄉","頭份下林坪道","龍峎頂道","10005160 頭份下林坪道與龍峎頂道交叉口","POINT (120.9402522162668 24.65614245261213)"
"10005160","三灣鄉","頭份下林坪道","龍崀頂道","10005160 頭份下林坪道與龍崀頂道交叉口","POINT (120.9402522162668 24.65614245261213)"
"10005160","三灣鄉","龍崀頂道","內埔道","10005160 龍崀頂道與內埔道交叉口","POINT (120.9465492242673 24.655061624894131)"
"10005160","三灣鄉","龍崀頂道","龍峎頂道","10005160 龍崀頂道與龍峎頂道交叉口","POINT (120.9402522162668 24.65614245261213)"
"10005160","三灣鄉","九份寮農路","二十四份道路","10005160 九份寮農路與二十四份道路交叉口","POINT (120.94382150495858 24.619982002767244)"
"10005160","三灣鄉","中豐公路","大河農路","10005160 中豐公路與大河農路交叉口","POINT (120.95782193473451 24.600900815320415)"
"10005160","三灣鄉","中豐公路","中正路","10005160 中豐公路與中正路交叉口","POINT (120.96547759711348 24.667131967466389)"
"10005160","三灣鄉","中豐公路","忠信路","10005160 中豐公路與忠信路交叉口","POINT (120.9548628333531 24.647079772113841)"
"10005160","三灣鄉","中豐公路","苗栗縣北橫公路","10005160 中豐公路與苗栗縣北橫公路交叉口","POINT (120.96555938775555 24.671699906525532)"
"10005160","三灣鄉","中豐公路","聯興農路","10005160 中豐公路與聯興農路交叉口","POINT (120.94413525863536 24.616434256435809)"
"10005160","三灣鄉","聯興農路","中豐公路","10005160 聯興農路與中豐公路交叉口","POINT (120.94413525863536 24.616434256435809)"
"10005160","三灣鄉","頭寮坑農路","中豐公路","10005160 頭寮坑農路與中豐公路交叉口","POINT (120.9460314494919 24.616352506263183)"
"10005160","三灣鄉","內埔道","龍崀頂道","10005160 內埔道與龍崀頂道交叉口","POINT (120.9465492242673 24.655061624894131)"
"10005160","三灣鄉","苗栗縣北橫公路","中豐公路","10005160 苗栗縣北橫公路與中豐公路交叉口","POINT (120.96555938775555 24.671699906525532)"
"10005160","三灣鄉","苗栗縣北橫公路","隆恩路","10005160 苗栗縣北橫公路與隆恩路交叉口","POINT (120.950576897406 24.674927706448557)"
"10005160","三灣鄉","內山公路","中正路","10005160 內山公路與中正路交叉口","POINT (120.95430819896433 24.650142110270224)"
"10005160","三灣鄉","內山公路","親民路1巷","10005160 內山公路與親民路1巷交叉口","POINT (120.95673138534517 24.652146150524459)"
"10005160","三灣鄉","內山公路","親民路2巷","10005160 內山公路與親民路2巷交叉口","POINT (120.95697614843061 24.652220444418049)"
"10005160","三灣鄉","中正路","三灣南庄道路","10005160 中正路與三灣南庄道路交叉口","POINT (120.95757322992074 24.647082095961991)"
"10005160","三灣鄉","中正路","內山公路","10005160 中正路與內山公路交叉口","POINT (120.95430819896433 24.650142110270224)"
"10005160","三灣鄉","中正路","民生街","10005160 中正路與民生街交叉口","POINT (120.95646643247994 24.654607381825258)"
"10005160","三灣鄉","中正路","民享街","10005160 中正路與民享街交叉口","POINT (120.95969145259858 24.657328468633978)"
"10005160","三灣鄉","中正路","民族街","10005160 中正路與民族街交叉口","POINT (120.95602784480923 24.653722436341411)"
"10005160","三灣鄉","中正路","民權街","10005160 中正路與民權街交叉口","POINT (120.95620169365327 24.654086924372109)"
"10005160","三灣鄉","中正路","忠信路","10005160 中正路與忠信路交叉口","POINT (120.95436689231826 24.6489569827786)"
