"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"09007010","南竿鄉","中央路","建國路"
"09007010","南竿鄉","中央路","莒光路"
"09007010","南竿鄉","中央路","環島路"
"09007010","南竿鄉","環島路","中央路"
"09007010","南竿鄉","建國路","中央路"
"09007010","南竿鄉","莒光路","中央路"
"09007030","莒光鄉","中興路","大埔路"
"09007030","莒光鄉","中興路","自強路"
"09007030","莒光鄉","中興路","復興路"
"09007030","莒光鄉","自強路","中興路"
"09007030","莒光鄉","大埔路","中興路"
"09007030","莒光鄉","復興路","中興路"
"09007020","北竿鄉","津沙路","中央大道"
"09007020","北竿鄉","津沙路","津板路"
"09007020","北竿鄉","津沙路","勝天路"
"09007020","北竿鄉","四維路","中山路"
"09007020","北竿鄉","勝天路","中央大道"
"09007020","北竿鄉","秋桂路","中央大道"
"09007020","北竿鄉","秋桂路","四維路"
"09007020","北竿鄉","秋桂路","濱海大道"
"09007020","北竿鄉","秋桂路","觀海路"
"09007020","北竿鄉","觀海路","秋桂路"
"09007020","北竿鄉","中央大道","仁愛路"
"09007020","北竿鄉","中央大道","介壽路"
"09007020","北竿鄉","中央大道","文化路"
"09007020","北竿鄉","中央大道","津沙路"
"09007020","北竿鄉","中央大道","清水路"
"09007020","北竿鄉","中央大道","復興路"
"09007020","北竿鄉","中央大道","環山路"
"09007020","北竿鄉","中央大道","環保路"
"09007020","北竿鄉","文化路","中央大道"
"09007020","北竿鄉","文化路","清水路"
"09007020","北竿鄉","津板路","仁愛路"
"09007020","北竿鄉","仁愛路","中央大道"
"09007020","北竿鄉","介壽路","中央大道"
"09007020","北竿鄉","介壽路","聚英路"
"09007020","北竿鄉","介壽路","環保路"
"09007020","北竿鄉","濱海大道","清水路"
"09007020","北竿鄉","濱海大道","福沃路"
"09007020","北竿鄉","清水路","介壽路"
"09007020","北竿鄉","圓環","午沙路"
"09007020","北竿鄉","圓環","北竿大道"
"09007020","北竿鄉","圓環","濱海大道"
"09007020","北竿鄉","福沃路","中央大道"
"09007020","北竿鄉","福沃路","復國路"
"09007020","北竿鄉","福沃路","濱海大道"
"09007020","北竿鄉","復國路","濱海大道"
"09007020","北竿鄉","復興路","中央大道"
"09007020","北竿鄉","復興路","北竿大道"
"09007020","北竿鄉","復興路","復國路"
"09007020","北竿鄉","復興路","環保路"
"09007020","北竿鄉","聚英路","中央大道"
"09007020","北竿鄉","環山路","聚英路"
"09007020","北竿鄉","環島北路","北竿大道"
"09007020","北竿鄉","北竿大道","中山路"
"09007020","北竿鄉","北竿大道","午沙路"
"09007020","北竿鄉","北竿大道","圓環"
"09007020","北竿鄉","北竿大道","壁山路"
"09007020","北竿鄉","壁山路","圓環"
"09007020","北竿鄉","壁山路","環島東路"
"09007020","北竿鄉","午沙路","北竿大道"
"09007020","北竿鄉","環島東路","壁山路"
"09007020","北竿鄉","環島東路","環島北路"
"09007020","北竿鄉","中山路","北竿大道"
"09007020","北竿鄉","中正路","中山路"
"09007020","北竿鄉","中正路","復興路"
"09007020","北竿鄉","中正路","塘后路"
"09007020","北竿鄉","中正路","環島東路"
"09007020","北竿鄉","塘后路","中山路"
"09007020","北竿鄉","環保路","中央大道"
"09007020","北竿鄉","環保路","介壽路"
"09007020","北竿鄉","環保路","復興路"
"09007040","東引鄉","南澳路","中清路"
"09007040","東引鄉","南澳路","北澳路"
"09007040","東引鄉","南澳路","燈塔路"
"09007040","東引鄉","中清路","中正路"
"09007040","東引鄉","中正路","南澳路"
"09007040","東引鄉","中正路","燈塔路"
"09007040","東引鄉","北澳路","燈塔路"
"09007040","東引鄉","燈塔路","北澳路"
