"TOWNCODE","TOWNNAME","RoadList","IntersectionList","IntersectionRoadName","Geometry"
"09007010","南竿鄉","中央路","建國路","09007010 中央路與建國路交叉口","POINT (119.93482792317013 25.970585593550368)"
"09007010","南竿鄉","中央路","莒光路","09007010 中央路與莒光路交叉口","POINT (119.93513436266073 25.972610516062502)"
"09007010","南竿鄉","中央路","環島路","09007010 中央路與環島路交叉口","POINT (119.93019841472517 25.976535355322426)"
"09007010","南竿鄉","環島路","中央路","09007010 環島路與中央路交叉口","POINT (119.93019841472517 25.976535355322426)"
"09007010","南竿鄉","建國路","中央路","09007010 建國路與中央路交叉口","POINT (119.93482792317013 25.970585593550368)"
"09007010","南竿鄉","莒光路","中央路","09007010 莒光路與中央路交叉口","POINT (119.93513436266073 25.972610516062502)"
"09007030","莒光鄉","中興路","大埔路","09007030 中興路與大埔路交叉口","POINT (119.97119096329243 25.959737051024149)"
"09007030","莒光鄉","中興路","自強路","09007030 中興路與自強路交叉口","POINT (119.96601284591611 25.957331620857644)"
"09007030","莒光鄉","中興路","復興路","09007030 中興路與復興路交叉口","POINT (119.97210117972577 25.960847704757839)"
"09007030","莒光鄉","自強路","中興路","09007030 自強路與中興路交叉口","POINT (119.96601284591611 25.957331620857644)"
"09007030","莒光鄉","大埔路","中興路","09007030 大埔路與中興路交叉口","POINT (119.97119096329243 25.959737051024149)"
"09007030","莒光鄉","復興路","中興路","09007030 復興路與中興路交叉口","POINT (119.97210117972577 25.960847704757839)"
"09007020","北竿鄉","津沙路","中央大道","09007020 津沙路與中央大道交叉口","POINT (119.92310324132154 26.148718329387464)"
"09007020","北竿鄉","津沙路","津板路","09007020 津沙路與津板路交叉口","POINT (119.91533302330049 26.146291233653585)"
"09007020","北竿鄉","津沙路","勝天路","09007020 津沙路與勝天路交叉口","POINT (119.91413579812866 26.147556496135451)"
"09007020","北竿鄉","四維路","中山路","09007020 四維路與中山路交叉口","POINT (119.9192467244568 26.160422093005252)"
"09007020","北竿鄉","勝天路","中央大道","09007020 勝天路與中央大道交叉口","POINT (119.92013456305972 26.157978922789084)"
"09007020","北竿鄉","秋桂路","中央大道","09007020 秋桂路與中央大道交叉口","POINT (119.92023698504886 26.159582205354525)"
"09007020","北竿鄉","秋桂路","四維路","09007020 秋桂路與四維路交叉口","POINT (119.92019446240454 26.159987794201413)"
"09007020","北竿鄉","秋桂路","濱海大道","09007020 秋桂路與濱海大道交叉口","POINT (119.92026474622116 26.159724204708311)"
"09007020","北竿鄉","秋桂路","觀海路","09007020 秋桂路與觀海路交叉口","POINT (119.92094485941777 26.1612979751215)"
"09007020","北竿鄉","觀海路","秋桂路","09007020 觀海路與秋桂路交叉口","POINT (119.92094485941777 26.1612979751215)"
"09007020","北竿鄉","中央大道","仁愛路","09007020 中央大道與仁愛路交叉口","POINT (119.92813804273658 26.147100182827216)"
"09007020","北竿鄉","中央大道","介壽路","09007020 中央大道與介壽路交叉口","POINT (119.93412269460669 26.148637447959914)"
"09007020","北竿鄉","中央大道","文化路","09007020 中央大道與文化路交叉口","POINT (119.92414590990586 26.152683391725191)"
"09007020","北竿鄉","中央大道","津沙路","09007020 中央大道與津沙路交叉口","POINT (119.92310324132154 26.148718329387464)"
"09007020","北竿鄉","中央大道","清水路","09007020 中央大道與清水路交叉口","POINT (119.93843203720883 26.148726878342814)"
"09007020","北竿鄉","中央大道","復興路","09007020 中央大道與復興路交叉口","POINT (119.95193679124998 26.160868574924848)"
"09007020","北竿鄉","中央大道","環山路","09007020 中央大道與環山路交叉口","POINT (119.94748487642596 26.159280920777917)"
"09007020","北竿鄉","中央大道","環保路","09007020 中央大道與環保路交叉口","POINT (119.95209757204543 26.160928173896139)"
"09007020","北竿鄉","文化路","中央大道","09007020 文化路與中央大道交叉口","POINT (119.92414590990586 26.152683391725191)"
"09007020","北竿鄉","文化路","清水路","09007020 文化路與清水路交叉口","POINT (119.93659698316435 26.151224613125464)"
"09007020","北竿鄉","津板路","仁愛路","09007020 津板路與仁愛路交叉口","POINT (119.92612301456552 26.142362181069871)"
"09007020","北竿鄉","仁愛路","中央大道","09007020 仁愛路與中央大道交叉口","POINT (119.92813804273658 26.147100182827216)"
"09007020","北竿鄉","介壽路","中央大道","09007020 介壽路與中央大道交叉口","POINT (119.93412269460669 26.148637447959914)"
"09007020","北竿鄉","介壽路","聚英路","09007020 介壽路與聚英路交叉口","POINT (119.95183869230186 26.156385303439038)"
"09007020","北竿鄉","介壽路","環保路","09007020 介壽路與環保路交叉口","POINT (119.95209757204543 26.160928173896139)"
"09007020","北竿鄉","濱海大道","清水路","09007020 濱海大道與清水路交叉口","POINT (119.93776558921059 26.153134001532976)"
"09007020","北竿鄉","濱海大道","福沃路","09007020 濱海大道與福沃路交叉口","POINT (119.93946947353743 26.154446447845316)"
"09007020","北竿鄉","清水路","介壽路","09007020 清水路與介壽路交叉口","POINT (119.93843203720883 26.148726878342814)"
"09007020","北竿鄉","圓環","午沙路","09007020 圓環與午沙路交叉口","POINT (119.99224307166048 26.2205316382246)"
"09007020","北竿鄉","圓環","北竿大道","09007020 圓環與北竿大道交叉口","POINT (119.98322587257599 26.221786141217478)"
"09007020","北竿鄉","圓環","濱海大道","09007020 圓環與濱海大道交叉口","POINT (119.93934782943882 26.15439957787828)"
"09007020","北竿鄉","福沃路","中央大道","09007020 福沃路與中央大道交叉口","POINT (119.94747076336512 26.159433390038942)"
"09007020","北竿鄉","福沃路","復國路","09007020 福沃路與復國路交叉口","POINT (119.94341441624238 26.157450957795504)"
"09007020","北竿鄉","福沃路","濱海大道","09007020 福沃路與濱海大道交叉口","POINT (119.93946947353743 26.154446447845316)"
"09007020","北竿鄉","復國路","濱海大道","09007020 復國路與濱海大道交叉口","POINT (119.94341441624238 26.157450957795504)"
"09007020","北竿鄉","復興路","中央大道","09007020 復興路與中央大道交叉口","POINT (119.95193679124998 26.160868574924848)"
"09007020","北竿鄉","復興路","北竿大道","09007020 復興路與北竿大道交叉口","POINT (119.99655212827815 26.222785639645622)"
"09007020","北竿鄉","復興路","復國路","09007020 復興路與復國路交叉口","POINT (119.94430918861826 26.161139331115294)"
"09007020","北竿鄉","復興路","環保路","09007020 復興路與環保路交叉口","POINT (119.95200367652853 26.160957320024352)"
"09007020","北竿鄉","聚英路","中央大道","09007020 聚英路與中央大道交叉口","POINT (119.94684172716404 26.156830149491839)"
"09007020","北竿鄉","環山路","聚英路","09007020 環山路與聚英路交叉口","POINT (119.95121443959476 26.1572297569478)"
"09007020","北竿鄉","環島北路","北竿大道","09007020 環島北路與北竿大道交叉口","POINT (119.97517758507752 26.220810446944597)"
"09007020","北竿鄉","北竿大道","中山路","09007020 北竿大道與中山路交叉口","POINT (119.9969810446396 26.22259463533419)"
"09007020","北竿鄉","北竿大道","午沙路","09007020 北竿大道與午沙路交叉口","POINT (119.99214952957721 26.220538692506693)"
"09007020","北竿鄉","北竿大道","圓環","09007020 北竿大道與圓環交叉口","POINT (119.98322587257599 26.221786141217478)"
"09007020","北竿鄉","北竿大道","壁山路","09007020 北竿大道與壁山路交叉口","POINT (119.98335303311603 26.221860194092756)"
"09007020","北竿鄉","壁山路","圓環","09007020 壁山路與圓環交叉口","POINT (119.98323439635033 26.221847645852222)"
"09007020","北竿鄉","壁山路","環島東路","09007020 壁山路與環島東路交叉口","POINT (119.99504381232214 26.230370021759143)"
"09007020","北竿鄉","午沙路","北竿大道","09007020 午沙路與北竿大道交叉口","POINT (119.99214952957721 26.220538692506693)"
"09007020","北竿鄉","環島東路","壁山路","09007020 環島東路與壁山路交叉口","POINT (119.99504381232214 26.230370021759143)"
"09007020","北竿鄉","環島東路","環島北路","09007020 環島東路與環島北路交叉口","POINT (119.99499111564751 26.234022668611317)"
