"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"09020040","金寧鄉","環島南路三段","中山路"
"09020040","金寧鄉","環島南路三段","經武路"
"09020040","金寧鄉","環島南路三段","環島南路四段"
"09020040","金寧鄉","環島南路三段","瓊徑路"
"09020040","金寧鄉","環島南路三段","瓊義路"
"09020040","金寧鄉","中山路","中山路1巷"
"09020040","金寧鄉","中山路","伯玉路三段"
"09020040","金寧鄉","中山路","環島南路三段"
"09020040","金寧鄉","伯玉路三段","中山路"
"09020040","金寧鄉","伯玉路三段","瓊義路"
"09020040","金寧鄉","環島北路二段","環島北路二段980巷1弄"
"09020040","金寧鄉","環島北路二段","瓊義路"
"09020040","金寧鄉","瓊安路","環島北路二段"
"09020040","金寧鄉","瓊安路","環島北路三段"
"09020040","金寧鄉","瓊義路","伯玉路三段"
"09020040","金寧鄉","瓊義路","伯玉路四段"
"09020040","金寧鄉","瓊義路","經武路"
"09020040","金寧鄉","瓊義路","環島北路二段"
"09020040","金寧鄉","瓊義路","環島北路三段"
"09020040","金寧鄉","瓊義路","環島南路三段"
"09020040","金寧鄉","瓊義路","雙瓊路"
"09020040","金寧鄉","瓊義路","瓊林街"
"09020040","金寧鄉","環島北路三段","瓊徑路"
"09020040","金寧鄉","環島北路三段","瓊義路"
"09020040","金寧鄉","雙瓊路","瓊義路"
"09020040","金寧鄉","瓊林街","瓊義路"
"09020040","金寧鄉","瓊徑路","伯玉路四段"
"09020040","金寧鄉","瓊徑路","經武路"
"09020040","金寧鄉","瓊徑路","環島北路三段"
"09020040","金寧鄉","瓊徑路","環島南路四段"
"09020040","金寧鄉","伯玉路四段","瓊徑路"
"09020040","金寧鄉","伯玉路四段","瓊義路"
"09020040","金寧鄉","伯玉路五段","太湖路一段"
"09020040","金寧鄉","伯玉路五段","瓊徑路"
"09020040","金寧鄉","經武路","瓊徑路"
"09020040","金寧鄉","環中路","玉章路"
"09020040","金寧鄉","環中路","伯玉路五段"
"09020040","金寧鄉","玉章路","圓環"
"09020040","金寧鄉","玉章路","環中路"
"09020040","金寧鄉","太湖路一段","公園路"
"09020040","金寧鄉","太湖路一段","市港路"
"09020040","金寧鄉","太湖路一段","玉章路"
"09020040","金寧鄉","太湖路一段","伯玉路五段"
"09020040","金寧鄉","太湖路一段","赤東路"
"09020040","金寧鄉","太湖路一段","黃海路"
"09020040","金寧鄉","太湖路一段","經武路"
"09020040","金寧鄉","太湖路一段","擎天路"
"09020040","金寧鄉","公園路","太湖路一段"
"09020040","金寧鄉","公園路","環島南路四段"
"09020040","金寧鄉","圓環","玉章路"
"09020040","金寧鄉","圓環","擎天路"
"09020040","金寧鄉","擎天路","公園路"
"09020040","金寧鄉","擎天路","太湖路一段"
"09020040","金寧鄉","擎天路","圓環"
"09020040","金寧鄉","環島南路四段","市港路"
"09020040","金寧鄉","環島南路四段","環島南路塔后段"
"09020040","金寧鄉","環島南路塔后段1巷","環島南路塔后段"
"09020040","金寧鄉","環島南路塔后段2巷","環島南路塔后段"
"09020040","金寧鄉","環島南路塔后段2巷","環島南路塔后段3巷"
"09020040","金寧鄉","環島南路塔后段3巷","環島南路塔后段"
"09020040","金寧鄉","環島南路塔后段3巷","環島南路塔后段2巷"
"09020040","金寧鄉","環島南路塔后段3巷","環島南路塔后段4巷"
"09020040","金寧鄉","環島南路塔后段3巷","環島南路塔后段5巷"
"09020040","金寧鄉","環島南路塔后段5巷","市港一路"
"09020040","金寧鄉","環島南路塔后段5巷","環島南路塔后段3巷"
"09020040","金寧鄉","環島南路塔后段4巷","市港一路"
"09020040","金寧鄉","環島南路塔后段4巷","環島南路塔后段3巷"
"09020040","金寧鄉","環島南路塔后段4巷","環島南路塔后段5巷"
"09020040","金寧鄉","環島南路五段","士校路"
"09020040","金寧鄉","環島南路五段","市港路"
"09020040","金寧鄉","環島南路五段","金港路"
"09020040","金寧鄉","環島南路五段","前港路"
"09020040","金寧鄉","環島南路五段","復國路"
"09020040","金寧鄉","環島南路五段","環島南路五段165巷"
"09020040","金寧鄉","環島南路五段","環島南路四段"
"09020040","金寧鄉","市港三路","市港路"
"09020040","金寧鄉","市港三路","赤東路"
"09020040","金寧鄉","市港路2巷","市港路"
"09020040","金寧鄉","市港路","太湖路一段"
"09020040","金寧鄉","市港路","太湖路二段"
"09020040","金寧鄉","市港路","市港一路"
"09020040","金寧鄉","市港路","市港三路"
"09020040","金寧鄉","市港路","市港五路"
"09020040","金寧鄉","市港路","市港六路"
"09020040","金寧鄉","市港五路","市港路"
"09020040","金寧鄉","市港五路","赤東路"
"09020040","金寧鄉","赤東路","市港五路"
"09020040","金寧鄉","赤東路","市港六路"
"09020040","金寧鄉","市港二路","市港路"
"09020040","金寧鄉","環島南路五段165巷6弄","環島南路五段165巷"
"09020040","金寧鄉","環島南路五段165巷6弄","環島南路五段165巷8弄"
"09020040","金寧鄉","黃海路","下莊中興路"
"09020040","金寧鄉","黃海路","下莊光武路"
"09020040","金寧鄉","黃海路","下莊新生街"
"09020040","金寧鄉","黃海路","中正路"
"09020040","金寧鄉","黃海路","中興路"
"09020040","金寧鄉","黃海路","太湖路一段"
"09020040","金寧鄉","黃海路","林森路"
"09020040","金寧鄉","黃海路","復興西路"
"09020040","金寧鄉","黃海路","復興路"
"09020040","金寧鄉","黃海路","環島東路二段"
"09020040","金寧鄉","黃海路","環島東路三段"
"09020040","金寧鄉","環島南路五段165巷","環島南路五段165巷3弄"
"09020040","金寧鄉","環島南路五段165巷","環島南路五段165巷6弄"
"09020040","金寧鄉","環島南路五段165巷8弄","環島南路五段165巷"
"09020040","金寧鄉","環島南路五段165巷8弄","環島南路五段165巷6弄"
"09020040","金寧鄉","太湖路二段","太湖路二段3巷"
"09020040","金寧鄉","太湖路二段","太湖路二段4巷"
"09020040","金寧鄉","太湖路二段","太湖路三段"
"09020040","金寧鄉","太湖路二段","太湖路三段1巷"
"09020040","金寧鄉","太湖路二段","市港路"
"09020040","金寧鄉","太湖路二段","黃海路"
"09020040","金寧鄉","環島南路五段165巷3弄","環島南路五段165巷"
"09020040","金寧鄉","環島南路五段165巷3弄","環島南路五段165巷1弄"
"09020040","金寧鄉","前港路","前港路1巷"
"09020040","金寧鄉","前港路","前港路7巷"
"09020040","金寧鄉","前港路","前港路9巷"
"09020040","金寧鄉","前港路7巷","前港路"
"09020040","金寧鄉","環島南路五段165巷1弄","環島南路五段165巷3弄"
"09020040","金寧鄉","中正路","自強路"
"09020040","金寧鄉","中正路","黃海路"
"09020040","金寧鄉","山外街","復興西路"
"09020040","金寧鄉","前港路5巷","前港路"
"09020040","金寧鄉","復興西路","復興路"
"09020040","金寧鄉","復興西路","黃海路"
"09020040","金寧鄉","復興路","士校路"
"09020040","金寧鄉","復興路","中正路"
"09020040","金寧鄉","復興路","自強路"
"09020040","金寧鄉","復興路","黃海路"
"09020040","金寧鄉","前港路3巷","前港路"
"09020040","金寧鄉","自強路","中正路"
"09020040","金寧鄉","自強路","中興路"
"09020040","金寧鄉","自強路","太湖路二段"
"09020040","金寧鄉","自強路","林森路"
"09020040","金寧鄉","自強路","武德新莊自強路"
"09020040","金寧鄉","武德新莊自強路","太湖路二段"
"09020040","金寧鄉","中興路","自強路"
"09020040","金寧鄉","林森路","自強路"
"09020040","金寧鄉","國順街","太湖路二段"
"09020040","金寧鄉","太湖路二段3巷1弄","太湖路二段3巷"
"09020040","金寧鄉","太湖路二段3巷","太湖路二段"
"09020040","金寧鄉","士校路","太湖路二段"
"09020040","金寧鄉","士校路","太湖路三段"
"09020040","金寧鄉","士校路","太湖路三段1巷"
"09020040","金寧鄉","士校路","南機路"
"09020040","金寧鄉","士校路","埔華路"
"09020040","金寧鄉","士校路","復國路"
"09020040","金寧鄉","士校路","復興路"
"09020040","金寧鄉","士校路","環島東路三段"
"09020040","金寧鄉","士校路","環島東路四段"
"09020040","金寧鄉","士校路","環島南路五段"
"09020040","金寧鄉","太湖路二段4巷","太湖路二段"
"09020040","金寧鄉","太湖路三段1巷","太湖路三段"
"09020040","金寧鄉","太湖路三段1巷","太湖路三段2巷"
"09020040","金寧鄉","太湖路三段1巷","復國路"
"09020040","金寧鄉","太湖路三段2巷","太湖路三段1巷"
"09020040","金寧鄉","下莊中興路","下莊光武路"
"09020040","金寧鄉","下莊中興路","下莊新生街"
"09020040","金寧鄉","下莊中興路","黃海路"
"09020040","金寧鄉","下莊光武路","下莊中興路"
"09020040","金寧鄉","下莊光武路","士校路"
"09020040","金寧鄉","復國路","太湖路三段"
"09020040","金寧鄉","南機路","三多路"
"09020040","金寧鄉","南機路","士校路"
"09020040","金寧鄉","南機路","黃海路"
"09020040","金寧鄉","三多路","工二路"
"09020040","金寧鄉","三多路","太湖路三段"
"09020040","金寧鄉","三多路","南機路"
"09020040","金寧鄉","三多路","環島東路五段"
"09020040","金寧鄉","三多路","環島東路四段"
"09020040","金寧鄉","三多路","環島南路五段"
"09020040","金寧鄉","太湖路三段","三多路"
"09020040","金寧鄉","太湖路三段","環島東路五段"
"09020040","金寧鄉","工二路","三多路"
"09020040","金寧鄉","四維路","金港路"
"09020040","金寧鄉","四維路","柏村路"
"09020040","金寧鄉","新興街","金港路"
"09020040","金寧鄉","柏村路","金港路"
"09020040","金寧鄉","柏村路","環島東路五段"
"09020040","金寧鄉","環島東路二段","黃海路"
"09020040","金寧鄉","鵲山圓環","環島東路二段"
"09020040","金寧鄉","鵲山圓環","環島東路三段"
"09020040","金寧鄉","環島東路五段","太湖路三段"
"09020040","金寧鄉","環島東路五段","南機路"
"09020040","金寧鄉","環島東路五段","環島東路四段"
"09020040","金寧鄉","埔華路","環島東路三段"
"09020040","金寧鄉","環島東路四段","埔華路"
"09020040","金寧鄉","環島東路四段","環島東路三段"
"09020040","金寧鄉","中山路1巷","中山路"
"09020040","金寧鄉","環島北路二段980巷1弄","環島北路二段"
"09020040","金寧鄉","環島南路塔后段","環島南路四段"
"09020040","金寧鄉","環島南路塔后段","環島南路塔后段1巷"
"09020040","金寧鄉","環島南路塔后段","環島南路塔后段2巷"
"09020040","金寧鄉","環島南路塔后段","環島南路塔后段3巷"
