"TOWNCODE","TOWNNAME","RoadList","IntersectionList","IntersectionRoadName","Geometry"
"09020040","金寧鄉","環島南路三段","中山路","09020040 環島南路三段與中山路交叉口","POINT (118.36390984386424 24.438089932604385)"
"09020040","金寧鄉","環島南路三段","經武路","09020040 環島南路三段與經武路交叉口","POINT (118.376234103721 24.444130028578)"
"09020040","金寧鄉","環島南路三段","環島南路四段","09020040 環島南路三段與環島南路四段交叉口","POINT (118.39178729394848 24.440499911541735)"
"09020040","金寧鄉","環島南路三段","瓊徑路","09020040 環島南路三段與瓊徑路交叉口","POINT (118.39178729394848 24.440499911541735)"
"09020040","金寧鄉","環島南路三段","瓊義路","09020040 環島南路三段與瓊義路交叉口","POINT (118.376234103721 24.444130028578)"
"09020040","金寧鄉","中山路","中山路1巷","09020040 中山路與中山路1巷交叉口","POINT (118.3650565055533 24.445606711780385)"
"09020040","金寧鄉","中山路","伯玉路三段","09020040 中山路與伯玉路三段交叉口","POINT (118.36502414434881 24.446025727505344)"
"09020040","金寧鄉","中山路","環島南路三段","09020040 中山路與環島南路三段交叉口","POINT (118.36390984386424 24.438089932604385)"
"09020040","金寧鄉","伯玉路三段","中山路","09020040 伯玉路三段與中山路交叉口","POINT (118.36502414434881 24.446025727505344)"
"09020040","金寧鄉","伯玉路三段","瓊義路","09020040 伯玉路三段與瓊義路交叉口","POINT (118.37639467767235 24.446777437528795)"
"09020040","金寧鄉","環島北路二段","環島北路二段980巷1弄","09020040 環島北路二段與環島北路二段980巷1弄交叉口","POINT (118.36748806821981 24.455223350377366)"
"09020040","金寧鄉","環島北路二段","瓊義路","09020040 環島北路二段與瓊義路交叉口","POINT (118.3705736637437 24.455768067942017)"
"09020040","金寧鄉","瓊安路","環島北路二段","09020040 瓊安路與環島北路二段交叉口","POINT (118.37043471489028 24.455815346201291)"
"09020040","金寧鄉","瓊安路","環島北路三段","09020040 瓊安路與環島北路三段交叉口","POINT (118.37044879017958 24.455897122454303)"
"09020040","金寧鄉","瓊義路","伯玉路三段","09020040 瓊義路與伯玉路三段交叉口","POINT (118.37639467767235 24.446777437528795)"
"09020040","金寧鄉","瓊義路","伯玉路四段","09020040 瓊義路與伯玉路四段交叉口","POINT (118.37648497859891 24.446876412416543)"
"09020040","金寧鄉","瓊義路","經武路","09020040 瓊義路與經武路交叉口","POINT (118.376234103721 24.444130028578)"
"09020040","金寧鄉","瓊義路","環島北路二段","09020040 瓊義路與環島北路二段交叉口","POINT (118.3705736637437 24.455768067942017)"
"09020040","金寧鄉","瓊義路","環島北路三段","09020040 瓊義路與環島北路三段交叉口","POINT (118.37062040780563 24.455857294178827)"
"09020040","金寧鄉","瓊義路","環島南路三段","09020040 瓊義路與環島南路三段交叉口","POINT (118.376234103721 24.444130028578)"
"09020040","金寧鄉","瓊義路","雙瓊路","09020040 瓊義路與雙瓊路交叉口","POINT (118.37132852409218 24.455204785672379)"
"09020040","金寧鄉","瓊義路","瓊林街","09020040 瓊義路與瓊林街交叉口","POINT (118.37270732957961 24.455029830662227)"
"09020040","金寧鄉","環島北路三段","瓊徑路","09020040 環島北路三段與瓊徑路交叉口","POINT (118.37592761746566 24.457517887840311)"
"09020040","金寧鄉","環島北路三段","瓊義路","09020040 環島北路三段與瓊義路交叉口","POINT (118.37062040780563 24.455857294178827)"
"09020040","金寧鄉","雙瓊路","瓊義路","09020040 雙瓊路與瓊義路交叉口","POINT (118.37132852409218 24.455204785672379)"
"09020040","金寧鄉","瓊林街","瓊義路","09020040 瓊林街與瓊義路交叉口","POINT (118.37270732957961 24.455029830662227)"
"09020040","金寧鄉","瓊徑路","伯玉路四段","09020040 瓊徑路與伯玉路四段交叉口","POINT (118.38507044464541 24.447338574915364)"
"09020040","金寧鄉","瓊徑路","經武路","09020040 瓊徑路與經武路交叉口","POINT (118.38817104805548 24.443437460670339)"
"09020040","金寧鄉","瓊徑路","環島北路三段","09020040 瓊徑路與環島北路三段交叉口","POINT (118.37592761746566 24.457517887840311)"
"09020040","金寧鄉","瓊徑路","環島南路四段","09020040 瓊徑路與環島南路四段交叉口","POINT (118.39178729394848 24.440499911541735)"
"09020040","金寧鄉","伯玉路四段","瓊徑路","09020040 伯玉路四段與瓊徑路交叉口","POINT (118.38507044464541 24.447338574915364)"
"09020040","金寧鄉","伯玉路四段","瓊義路","09020040 伯玉路四段與瓊義路交叉口","POINT (118.37648497859891 24.446876412416543)"
"09020040","金寧鄉","伯玉路五段","太湖路一段","09020040 伯玉路五段與太湖路一段交叉口","POINT (118.39609265165461 24.453517511823748)"
"09020040","金寧鄉","伯玉路五段","瓊徑路","09020040 伯玉路五段與瓊徑路交叉口","POINT (118.38510658120379 24.447402380915207)"
"09020040","金寧鄉","經武路","瓊徑路","09020040 經武路與瓊徑路交叉口","POINT (118.38817104805548 24.443437460670339)"
"09020040","金寧鄉","環中路","玉章路","09020040 環中路與玉章路交叉口","POINT (118.39580488838499 24.453706885664303)"
"09020040","金寧鄉","環中路","伯玉路五段","09020040 環中路與伯玉路五段交叉口","POINT (118.39577669014216 24.453546498771971)"
"09020040","金寧鄉","玉章路","圓環","09020040 玉章路與圓環交叉口","POINT (118.40215385022009 24.456134172953796)"
