"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"10009130","麥寮鄉","南環路","東環路"
"10009130","麥寮鄉","南環路","環港路"
"10009130","麥寮鄉","8道","3路"
"10009130","麥寮鄉","8道","5.2路"
"10009130","麥寮鄉","8道","5.5路"
"10009130","麥寮鄉","8道","5.6路"
"10009130","麥寮鄉","8道","5.8路"
"10009130","麥寮鄉","8道","6.2路"
"10009130","麥寮鄉","8道","6.3路"
"10009130","麥寮鄉","8道","6.4路"
"10009130","麥寮鄉","8道","6.8路"
"10009130","麥寮鄉","8道","7.5路"
"10009130","麥寮鄉","8道","北五之二路"
"10009130","麥寮鄉","8道","北六路"
"10009130","麥寮鄉","8道","南五路"
"10009130","麥寮鄉","8道","南六路"
"10009130","麥寮鄉","環港路","5.2路"
"10009130","麥寮鄉","環港路","6.4路"
"10009130","麥寮鄉","環港路","9.9道"
"10009130","麥寮鄉","7路","5道"
"10009130","麥寮鄉","7路","6.6道"
"10009130","麥寮鄉","7路","6道"
"10009130","麥寮鄉","7路","7道"
"10009130","麥寮鄉","7路","8道"
"10009130","麥寮鄉","7路","東環路"
"10009130","麥寮鄉","6.7道","7.5路"
"10009130","麥寮鄉","6.7道","7.7路"
"10009130","麥寮鄉","7.7路","6.7道"
"10009130","麥寮鄉","7.7路","6道"
"10009130","麥寮鄉","7.5路","6.7道"
"10009130","麥寮鄉","7.5路","6道"
"10009130","麥寮鄉","7.5路","7道"
"10009130","麥寮鄉","6.6道","7.5路"
"10009130","麥寮鄉","6.6道","7路"
"10009130","麥寮鄉","北五路","3道"
"10009130","麥寮鄉","北五路","5道"
"10009130","麥寮鄉","北五路","7道"
"10009130","麥寮鄉","北五路","8道"
"10009130","麥寮鄉","北五路","9.9道"
"10009130","麥寮鄉","6道","0.2路"
"10009130","麥寮鄉","6道","2.3路"
"10009130","麥寮鄉","6道","2.4路"
"10009130","麥寮鄉","6道","2.7路"
"10009130","麥寮鄉","6道","3路"
"10009130","麥寮鄉","6道","6.2路"
"10009130","麥寮鄉","6道","6.5路"
"10009130","麥寮鄉","6道","7.4路"
"10009130","麥寮鄉","6道","7.7路"
"10009130","麥寮鄉","6道","北五路"
"10009130","麥寮鄉","6道","東環路"
"10009130","麥寮鄉","6道","南五路"
"10009130","麥寮鄉","6道","南六路"
"10009130","麥寮鄉","6道","南環路"
"10009130","麥寮鄉","7道","2.4路"
"10009130","麥寮鄉","7道","2.7路"
"10009130","麥寮鄉","7道","2.8路"
"10009130","麥寮鄉","7道","3.5路"
"10009130","麥寮鄉","7道","3路"
"10009130","麥寮鄉","7道","5.2路"
"10009130","麥寮鄉","7道","5.4路"
"10009130","麥寮鄉","7道","5.6路"
"10009130","麥寮鄉","7道","6.2路"
"10009130","麥寮鄉","7道","6.3路"
"10009130","麥寮鄉","7道","6.8路"
"10009130","麥寮鄉","7道","7路"
"10009130","麥寮鄉","7道","北五路"
"10009130","麥寮鄉","7道","北六路"
"10009130","麥寮鄉","7道","南五路"
"10009130","麥寮鄉","7道","南六路"
"10009130","麥寮鄉","6.2路","4.4道"
"10009130","麥寮鄉","6.2路","5.4道"
"10009130","麥寮鄉","6.2路","5道"
"10009130","麥寮鄉","6.2路","8道"
"10009130","麥寮鄉","6.8路","6.6道"
"10009130","麥寮鄉","6.8路","6道"
"10009130","麥寮鄉","6.5路","4.4道"
"10009130","麥寮鄉","6.5路","5道"
"10009130","麥寮鄉","6.5路","6.6道"
"10009130","麥寮鄉","6.5路","6道"
"10009130","麥寮鄉","6.5路","7道"
"10009130","麥寮鄉","7.4路","5.6道"
"10009130","麥寮鄉","5道","0.2路"
"10009130","麥寮鄉","5道","1路"
"10009130","麥寮鄉","5道","2.2路"
"10009130","麥寮鄉","5道","2.3路"
"10009130","麥寮鄉","5道","2.7路"
"10009130","麥寮鄉","5道","2路"
"10009130","麥寮鄉","5道","3.5路"
"10009130","麥寮鄉","5道","6.5路"
"10009130","麥寮鄉","5道","7.4路"
"10009130","麥寮鄉","5道","7路"
"10009130","麥寮鄉","5道","北五路"
"10009130","麥寮鄉","5道","南五路"
"10009130","麥寮鄉","南六路","4.4道"
"10009130","麥寮鄉","南六路","5.4道"
"10009130","麥寮鄉","南六路","5道"
"10009130","麥寮鄉","南六路","6道"
"10009130","麥寮鄉","南六路","7道"
"10009130","麥寮鄉","南六路","外東環路"
"10009130","麥寮鄉","南六路","東環路"
"10009130","麥寮鄉","北五之一路","北五路"
"10009130","麥寮鄉","北六路","4.4道"
"10009130","麥寮鄉","北六路","4.5道"
"10009130","麥寮鄉","北六路","6道"
"10009130","麥寮鄉","北六路","7道"
"10009130","麥寮鄉","5.6路","8道"
"10009130","麥寮鄉","9道","北五路"
"10009130","麥寮鄉","5.4路","4.4道"
"10009130","麥寮鄉","5.4路","7道"
"10009130","麥寮鄉","5.4路","8道"
"10009130","麥寮鄉","5.4路","東環路"
"10009130","麥寮鄉","5.2路","7道"
"10009130","麥寮鄉","5.2路","8道"
"10009130","麥寮鄉","西北環路","3路"
"10009130","麥寮鄉","西北環路","7.8道"
"10009130","麥寮鄉","5.4道","南六路"
"10009130","麥寮鄉","北五之二路","8道"
"10009130","麥寮鄉","4.4道","5.3路"
"10009130","麥寮鄉","4.4道","5.6路"
"10009130","麥寮鄉","4.4道","6.2路"
"10009130","麥寮鄉","4.4道","南五路"
"10009130","麥寮鄉","4.4道","南六路"
"10009130","麥寮鄉","5.7路","4.4道"
"10009130","麥寮鄉","南五路","3道"
"10009130","麥寮鄉","南五路","6道"
"10009130","麥寮鄉","南五路","外東環路"
"10009130","麥寮鄉","外東環路","1道"
"10009130","麥寮鄉","外東環路","工業路"
"10009130","麥寮鄉","外東環路","仁德西路二段"
"10009130","麥寮鄉","外東環路","東環路"
"10009130","麥寮鄉","外東環路","南五路"
"10009130","麥寮鄉","3路","1道"
"10009130","麥寮鄉","3路","2道"
"10009130","麥寮鄉","3路","3道"
"10009130","麥寮鄉","3路","4道"
"10009130","麥寮鄉","3路","5道"
"10009130","麥寮鄉","3路","6道"
"10009130","麥寮鄉","3路","7道"
"10009130","麥寮鄉","3路","仁德西路二段"
"10009130","麥寮鄉","3路","東環路"
"10009130","麥寮鄉","2.4路","6.5道"
"10009130","麥寮鄉","2.4路","7.8道"
"10009130","麥寮鄉","2.4路","7道"
"10009130","麥寮鄉","7.8道","2.4路"
"10009130","麥寮鄉","7.8道","西北環路"
"10009130","麥寮鄉","2.8路","7道"
"10009130","麥寮鄉","3.5路","2道"
"10009130","麥寮鄉","3.5路","4道"
"10009130","麥寮鄉","3.5路","5道"
"10009130","麥寮鄉","3.5路","6道"
"10009130","麥寮鄉","2.7路","1道"
"10009130","麥寮鄉","2.7路","4道"
"10009130","麥寮鄉","2.7路","5道"
"10009130","麥寮鄉","2.7路","6.5道"
"10009130","麥寮鄉","2.7路","6道"
"10009130","麥寮鄉","2.7路","7道"
"10009130","麥寮鄉","3道","1路"
"10009130","麥寮鄉","3道","2.2路"
"10009130","麥寮鄉","3道","2.5路"
"10009130","麥寮鄉","3道","3.5路"
"10009130","麥寮鄉","3道","3路"
"10009130","麥寮鄉","3道","5.3路"
"10009130","麥寮鄉","3道","5.4路"
"10009130","麥寮鄉","3道","北五路"
"10009130","麥寮鄉","3道","南五路"
"10009130","麥寮鄉","6.5道","2.4路"
"10009130","麥寮鄉","6.5道","2.7路"
"10009130","麥寮鄉","6.5道","2路"
"10009130","麥寮鄉","4.5道","南五路"
"10009130","麥寮鄉","2路","1.6道"
"10009130","麥寮鄉","2路","1道"
"10009130","麥寮鄉","2路","2道"
"10009130","麥寮鄉","2路","3道"
"10009130","麥寮鄉","2路","4道"
"10009130","麥寮鄉","2路","5道"
"10009130","麥寮鄉","2路","6.5道"
"10009130","麥寮鄉","2路","6道"
"10009130","麥寮鄉","2路","7道"
"10009130","麥寮鄉","1.3路","6.5道"
"10009130","麥寮鄉","1.3路","7道"
"10009130","麥寮鄉","東環路","1路"
"10009130","麥寮鄉","東環路","1道"
"10009130","麥寮鄉","東環路","3.5路"
"10009130","麥寮鄉","東環路","3路"
"10009130","麥寮鄉","東環路","5.4路"
"10009130","麥寮鄉","東環路","仁德西路二段"
"10009130","麥寮鄉","東環路","外東環路"
"10009130","麥寮鄉","東環路","許厝路"
"10009130","麥寮鄉","北堤路","西北堤路"
"10009130","麥寮鄉","北堤路","東環路"
"10009130","麥寮鄉","2.3路","5道"
"10009130","麥寮鄉","2.3路","6道"
"10009130","麥寮鄉","4道","1路"
"10009130","麥寮鄉","4道","2.2路"
"10009130","麥寮鄉","4道","2.7路"
"10009130","麥寮鄉","4道","2路"
"10009130","麥寮鄉","4道","3.5路"
"10009130","麥寮鄉","2道","2.5路"
"10009130","麥寮鄉","2道","2.6路"
"10009130","麥寮鄉","2道","2.7路"
"10009130","麥寮鄉","2道","3.2路"
"10009130","麥寮鄉","2道","3.5路"
"10009130","麥寮鄉","2道","3路"
"10009130","麥寮鄉","2道","北五路"
"10009130","麥寮鄉","1路","1.6道"
"10009130","麥寮鄉","1路","4道"
"10009130","麥寮鄉","1路","6道"
"10009130","麥寮鄉","1路","東環路"
"10009130","麥寮鄉","北環路","5道"
"10009130","麥寮鄉","北環路","西北環路"
"10009130","麥寮鄉","北環路","東環路"
"10009130","麥寮鄉","2.2路","4道"
"10009130","麥寮鄉","2.2路","5道"
"10009130","麥寮鄉","2.5路","2道"
"10009130","麥寮鄉","2.5路","3道"
"10009130","麥寮鄉","1道","1路"
"10009130","麥寮鄉","1道","2.6路"
"10009130","麥寮鄉","1道","2路"
"10009130","麥寮鄉","1道","3路"
"10009130","麥寮鄉","1道","東環路"
"10009130","麥寮鄉","0.2路","5道"
"10009130","麥寮鄉","工業路","1道"
"10009130","麥寮鄉","工業路","工業路212巷"
"10009130","麥寮鄉","工業路","工業路247巷"
"10009130","麥寮鄉","工業路","工業路262巷"
"10009130","麥寮鄉","工業路","工業路315巷"
