"TOWNCODE","TOWNNAME","RoadList","IntersectionList","IntersectionRoadName","Geometry"
"10009130","麥寮鄉","南環路","東環路","10009130 南環路與東環路交叉口","POINT (120.17795447981541 23.758921074448097)"
"10009130","麥寮鄉","南環路","環港路","10009130 南環路與環港路交叉口","POINT (120.1695715285033 23.77042571737303)"
"10009130","麥寮鄉","8道","3路","10009130 8道與3路交叉口","POINT (120.19530304420016 23.807977487670996)"
"10009130","麥寮鄉","8道","5.2路","10009130 8道與5.2路交叉口","POINT (120.18821297534862 23.795005128683783)"
"10009130","麥寮鄉","8道","5.5路","10009130 8道與5.5路交叉口","POINT (120.18626365074692 23.791303006528551)"
"10009130","麥寮鄉","8道","5.6路","10009130 8道與5.6路交叉口","POINT (120.18513382436652 23.789233311268333)"
"10009130","麥寮鄉","8道","5.8路","10009130 8道與5.8路交叉口","POINT (120.18296239060192 23.78525239208426)"
"10009130","麥寮鄉","8道","6.2路","10009130 8道與6.2路交叉口","POINT (120.17972521074989 23.779329282620324)"
"10009130","麥寮鄉","8道","6.3路","10009130 8道與6.3路交叉口","POINT (120.17888456137348 23.777790512921911)"
"10009130","麥寮鄉","8道","6.4路","10009130 8道與6.4路交叉口","POINT (120.17902049839734 23.778038750987605)"
"10009130","麥寮鄉","8道","6.8路","10009130 8道與6.8路交叉口","POINT (120.17615255769442 23.772790182520964)"
"10009130","麥寮鄉","8道","7.5路","10009130 8道與7.5路交叉口","POINT (120.17301545799705 23.766069121692681)"
"10009130","麥寮鄉","8道","北五之二路","10009130 8道與北五之二路交叉口","POINT (120.1903514282759 23.798912027368203)"
"10009130","麥寮鄉","8道","北六路","10009130 8道與北六路交叉口","POINT (120.18177531338006 23.783088005407194)"
"10009130","麥寮鄉","8道","南五路","10009130 8道與南五路交叉口","POINT (120.19002518751245 23.79829356089914)"
"10009130","麥寮鄉","8道","南六路","10009130 8道與南六路交叉口","POINT (120.18130819201952 23.782233360781049)"
"10009130","麥寮鄉","環港路","5.2路","10009130 環港路與5.2路交叉口","POINT (120.18418868905678 23.796866495092729)"
"10009130","麥寮鄉","環港路","6.4路","10009130 環港路與6.4路交叉口","POINT (120.17498336708877 23.779909664599415)"
