"TOWNCODE","TOWNNAME","RoadList","IntersectionList"
"64000110","小港區","高雄港聯外高架道路","新生路"
"64000110","小港區","亞太路","新生路"
"64000110","小港區","東亞路","平和西路"
"64000110","小港區","東亞路","玉豐街"
"64000110","小港區","東亞路","東亞南路"
"64000110","小港區","東亞路","崇明街"
"64000110","小港區","崇明街","天順街"
"64000110","小港區","崇明街","平和路296巷"
"64000110","小港區","崇明街","同利路"
"64000110","小港區","崇明街","崇明街10巷"
"64000110","小港區","玉豐街","同利路"
"64000110","小港區","玉豐街","東亞路"
"64000110","小港區","平和路","小港路"
"64000110","小港區","平和路","平和七路"
"64000110","小港區","平和路","平和九路"
"64000110","小港區","平和路","平和十路"
"64000110","小港區","平和路","平和五路"
"64000110","小港區","平和路","平和六路"
"64000110","小港區","平和路","平和四路"
"64000110","小港區","平和路","平和西路"
"64000110","小港區","平和路","平和南路"
"64000110","小港區","平和路","平和路180巷"
"64000110","小港區","平和路","平和路218巷"
"64000110","小港區","平和路","平和路240巷"
"64000110","小港區","平和路","平和路248巷"
"64000110","小港區","平和路","平和路256巷"
"64000110","小港區","平和路","平和路296巷"
"64000110","小港區","平和路","平和路2巷"
"64000110","小港區","平和路","同利路"
"64000110","小港區","平和路","孝先街19巷"
"64000110","小港區","平和路","信義二路"
"64000110","小港區","平和路","崇明街"
"64000110","小港區","平和路","港平路"
"64000110","小港區","平和路","港後路"
"64000110","小港區","平和路","港源街"
"64000110","小港區","平和路","達德街"
"64000110","小港區","東亞南路","平和七路"
"64000110","小港區","東亞南路","平和二路"
"64000110","小港區","東亞南路","平和西路"
"64000110","小港區","東亞南路","光和路"
"64000110","小港區","平和路270巷","平和路"
"64000110","小港區","平和路270巷","孝先街"
"64000110","小港區","鋼成街","平和十路"
"64000110","小港區","鋼成街","平和西路"
"64000110","小港區","鋼成街東巷","平和西路"
"64000110","小港區","鋼成街東巷","鋼平街167巷"
"64000110","小港區","鋼成街東巷","鋼平街175巷"
"64000110","小港區","鋼成街東巷","鋼成街"
"64000110","小港區","孝先街","平和路248巷"
"64000110","小港區","孝先街","平和路296巷"
"64000110","小港區","孝先街","百善街"
"64000110","小港區","孝先街","百善街15巷"
"64000110","小港區","孝先街","孝先街14巷"
"64000110","小港區","孝先街","孝先街19巷"
"64000110","小港區","孝先街","孝先街22巷"
"64000110","小港區","孝先街","崇明街"
"64000110","小港區","平和路248巷","百善街15巷"
"64000110","小港區","百善街","平和路240巷"
"64000110","小港區","百善街","平和路248巷"
"64000110","小港區","百善街","百善街15巷"
"64000110","小港區","百善街","孝先街"
"64000110","小港區","港興街","平和路"
"64000110","小港區","港興街","孝先街"
"64000110","小港區","港興街","港壽街"
"64000110","小港區","孝先街100巷","百善街"
"64000110","小港區","孝先街100巷","孝先街"
"64000110","小港區","百善街15巷","平和路240巷"
"64000110","小港區","港順街","天順街"
"64000110","小港區","港順街","百善街"
"64000110","小港區","港順街","孝先街"
"64000110","小港區","港順街","港壽街"
"64000110","小港區","鴻星二路","鴻星一路"
"64000110","小港區","崇敬街","崇本街82巷"
"64000110","小港區","崇敬街","崇善街"
"64000110","小港區","港壽街","平和路248巷"
"64000110","小港區","港壽街","平和路296巷"
"64000110","小港區","港壽街","孝先街14巷"
"64000110","小港區","港壽街","崇本街"
"64000110","小港區","港壽街","崇明街"
"64000110","小港區","港壽街","港中街"
"64000110","小港區","漢威街","平和東路"
"64000110","小港區","漢威街","崇本街"
"64000110","小港區","漢威街","崇安街"
"64000110","小港區","漢威街","崇明街"
"64000110","小港區","漢威街","崇明街60巷"
"64000110","小港區","漢威街","崇敬街"
"64000110","小港區","漢威街","港安街"
"64000110","小港區","漢威街","港後路"
"64000110","小港區","漢威街","港順街"
"64000110","小港區","漢威街","港興街"
"64000110","小港區","漢威街","達德街"
"64000110","小港區","漢威街","漢威街180巷"
"64000110","小港區","漢威街","漢威街29巷"
"64000110","小港區","平和路248巷25弄","平和路248巷"
"64000110","小港區","平和路248巷25弄","孝先街100巷"
"64000110","小港區","港安街","天順街"
"64000110","小港區","港安街","平和路180巷"
"64000110","小港區","港安街","孝先街"
"64000110","小港區","港安街","港安街104巷"
"64000110","小港區","港安街","港安街23巷"
"64000110","小港區","港安街","港壽街"
"64000110","小港區","港安街","港福街"
"64000110","小港區","港安街","豐登街"
"64000110","小港區","港盛街","平和路180巷"
"64000110","小港區","港盛街","孝先街19巷"
"64000110","小港區","港盛街","港安街"
"64000110","小港區","信義二路","平和十路5巷"
"64000110","小港區","信義二路","信義二路8巷"
"64000110","小港區","信義二路","鋼成街東巷"
"64000110","小港區","崇本街","崇本街46巷"
"64000110","小港區","崇本街","崇本街82巷"
"64000110","小港區","崇本街","崇明街10巷"
"64000110","小港區","崇本街","崇明街60巷"
"64000110","小港區","崇本街","崇善街"
"64000110","小港區","鋼平街","平和七路"
"64000110","小港區","鋼平街","平和九路"
"64000110","小港區","鋼平街","平和二路"
"64000110","小港區","鋼平街","平和二路43巷"
"64000110","小港區","鋼平街","平和十路"
"64000110","小港區","鋼平街","平和十路5巷1弄"
"64000110","小港區","鋼平街","平和五路"
"64000110","小港區","鋼平街","平和六路"
"64000110","小港區","鋼平街","平和四路"
"64000110","小港區","鋼平街","信義二路"
"64000110","小港區","鋼平街","鋼平街166巷"
"64000110","小港區","鋼平街","鋼平街167巷"
"64000110","小港區","鋼平街","鋼平街175巷"
"64000110","小港區","鋼平街","鋼平街176巷"
"64000110","小港區","鋼平街176巷","信義二路8巷"
"64000110","小港區","鋼平街176巷","鋼平街175巷"
"64000110","小港區","港順街72巷","港順街"
"64000110","小港區","港後路","平和東路"
"64000110","小港區","港後路","平和路"
"64000110","小港區","港後路","孝先街"
"64000110","小港區","港後路","港中街"
"64000110","小港區","港後路","港後路89巷"
"64000110","小港區","港後路","港壽街"
"64000110","小港區","港後路","翠亨南路"
"64000110","小港區","港壽街118巷","港壽街"
"64000110","小港區","信義二路8巷","平和十路5巷"
"64000110","小港區","信義二路8巷","平和西路"
"64000110","小港區","信義二路8巷","鋼平街176巷"
"64000110","小港區","平和十路","平和十路5巷"
"64000110","小港區","平和十路","鋼船街"
"64000110","小港區","崇安街","崇善街"
"64000110","小港區","港中街","港後路"
"64000110","小港區","港中街","福利路"
"64000110","小港區","鋼平街172巷","鋼平街"
"64000110","小港區","孝先街19巷","孝先街14巷"
"64000110","小港區","平和九路","鋼船街"
"64000110","小港區","達德街","平和路"
"64000110","小港區","達德街","同利路"
"64000110","小港區","達德街","港後路"
"64000110","小港區","達德街","港後路89巷"
"64000110","小港區","達德街","漢威街"
"64000110","小港區","達德街","福利路"
"64000110","小港區","達德街","豐田街"
"64000110","小港區","鋼平街167巷","鋼平街166巷"
"64000110","小港區","平和東路","中山四路"
"64000110","小港區","平和東路","平和西路"
"64000110","小港區","平和東路","平和南路"
"64000110","小港區","平和東路","平和路"
